Los Angeles,ロサンゼルス
Massachusetts,マサチューセッツ州
Pennsylvania,ペンシルベニア州
White House,ホワイトハウス
Naval Station Norfolk Chambers Field,ノーフォーク海軍基地
Silicon Valley,シリコンバレー
Braintree,ブレインツリー
Arden-Arcade,アーデンアーケード
Beale Air Force Base,ビール空軍基地
Deming,デミング
Silver City,シルヴァーシティ
Los Alamos,ロスアラモス
Ruidoso,ルイドソ
Carlsbad,カールズバッド
Clovis,クローヴィス
Las Vegas,ラスベガス
Sun Valley,サンバレー
Twin Falls,ツインフォールズ
Coeur d'Alene,コー・ダリーン
Lewiston,ルイストン
Claremont,クレアモント
Clayton,クレイトン
Tombstone,トゥームストーン
Bishop,ビショップ
Blythe,ブライス
El Centro,エル・セントロ
Emeryville,エメリービル
Burbank Bob Hope Airport,ボブ・ホープ空港
Phoenix Sky Harbor International Airport,フェニックス・スカイハーバー国際空港
Central Falls,セントラルフォールズ
East Providence,イーストプロビデンス
North Kingstown,ノースキングスタウン
Rhode Island,ロードアイランド州
General Mitchell International Airport,ジェネラル・ミッチェル国際空港
Superior,スペリオル
West Bend,ウエストベンド
Foster City,フォスターシティ
Sacramento International Airport,サクラメント国際空港
Durango,デュランゴ
Florence,フローレンス
Glenwood Springs,グレンウッド・スプリングス
Salton Sea,ソルトン湖
San Diego International Airport,サンディエゴ国際空港
Norman Y. Mineta San José International Airport,ノーマン・Y・ミネタ・サンノゼ国際空港
San Pablo,サンパブロ
Sausalito,サウサリート
Dodge City,ドッジシティ
West Hollywood,ウェスト・ハリウッド
Solvang,ソルバング
Pinole,ピノール
Denver International Airport,デンバー国際空港
Healdsburg,ヒールスバーグ
Hercules,ハーキュリーズ
Hollister,ホリスター
Aspen,アスペン
Venice,ヴェニス
Oakley,オークレー
Reno/Tahoe International Airport,リノ・タホ国際空港
Enterprise,エンタープライズ
Nye County,ナイ郡
Arches National Park,アーチーズ国立公園
El Paso International Airport,エルパソ国際空港
Wheeling,ホイーリング
Ansonia,アンソニア
Fortuna,フォーチュナ
Susanville,スーザンビル
Sitka,シトカ
Arcata,アーケータ
Ketchikan,ケチカン
Manitowoc,マニトワック
Westerly,ウェスタリー
Woonsocket,ウーンソケット
Aberdeen,アバディーン
Brookings,ブルッキングズ
Colchester,コルチェスター
Rutland,ラトランド
South Burlington,サウスバーリントン
Ontario International Airport,オンタリオ国際空港
Orinda,オリンダ
Oroville,オーロビル
Paso Robles,パソロブレス
Grass Valley,グラスバレー
Half Moon Bay,ハーフムーンベイ
Oakland International Airport,オークランド国際空港
Mono Lake,モノ湖
Montclair,モントクレア
Lafayette,ラファイエット
Laguna Beach,ラグナ・ビーチ
Lake Tahoe,タホ湖
Livingston,リビングストン
Long Beach Airport,ロングビーチ空港
Martinez,マーティネズ
Monroeville,モンロービル
Auburn,オーバーン
Azusa,アズサ
Bradley International Airport,ブラッドレー国際空港
Lebanon,レバノン
Wilkes-Barre,ウィルクスバリ
Bluefield,ブルーフィールド
South Portland,サウスポートランド
Waterville,ウォータービル
Westbrook,ウェストブルック
Port Huron,ポートヒューロン
Martinsburg,マーティンズバーグ
Shelton,シェルトン
Torrington,トリントン
Wallingford,ウォリングフォード
Fairmont,フェアモント
Washington Dulles International Airport,ワシントン・ダレス国際空港
Marshalltown,マーシャルタウン
Randolph,ランドルフ
Shrewsbury,シュルーズベリー
Portland International Jetport,ポートランド国際ジェットポート
Saco,ソコー
Leominster,レミンスター
Malden,モールデン
Marlborough,マールボロ
West Springfield,ウェストスプリングフィールド
Weymouth,ウェイマス
Auburn,オーバーン
Biddeford,ビデフォード
Brunswick,ブランズウィック
Methuen,マスーアン
Natick,ネイティック
Newburyport,ニューベリーポート
Steubenville,スチューベンビル
Marysville,メアリーズビル
Butler,バトラー
Bensalem,ベンセイラム
Pittsburgh International Airport,ピッツバーグ国際空港
Greensburg,グリーンズバーグ
Hazleton,ヘイズルトン
West Fargo,ウェストファーゴ
Eagan,イーガン
Edina,イーダイナ
Londonderry,ロンドンデリー
Merrimack,メリマック
Hector International Airport,ヘクター国際空港
Derry,デリー
Hampton,ハンプトン
Keene,キーン
Laconia,ラコニア
Lebanon,レバノン
Findlay,フィンドレー
Hastings,ヘイスティングズ
Saratoga Springs,サラトガスプリング
Defiance,ディファイアンス
Washington Heights,ワシントンハイツ
Watertown,ウォータータウン
West Point,ウェストポイント
Plattsburgh,プラッツバーグ
Rego Park,レゴ・パーク地区
Spring Valley,スプリング・バレー
Ashtabula,アシュタビューラ
La Guardia Airport,ラガーディア空港
Lake Placid,レークプラシッド
Lockport,ロックポート
Long Beach,ロングビーチ
Middletown,ミドルタウン
North Tonawanda,ノーストナワンダ
Clarksburg,クラークスバーグ
Galesburg,ゲイルズバーグ
Hoffman Estates,ホフマンエステーツ
West Hartford,ウエストハートフォード
Willimantic,ウィリマンティック
Chicago Midway International Airport,シカゴ・ミッドウェー国際空港
Chicago O'Hare International Airport,シカゴ・オヘア国際空港
Danville,ダンビル
Lansing,ランシング
Maywood,メイウッド
Enfield,エンフィールド
Fairfield,フェアフィールド
Groton,グロトン
Williamsburg,ウィリアムズバーグ
Somerset,ソメルセット
Teterboro Airport,テターボロ空港
Fort Lee,フォートリー
Hackensack,ハッケンサック
Somersworth,サマーズワース
Kingston,キングストン
Kearny,カーニー
Linden,リンデン
Long Branch,ロングブランチ
Middletown,ミドルタウン
Morristown,モリスタウン
New Jersey,ニュージャージー州
Newark Liberty International Airport,ニューアーク・リバティー国際空港
Chinatown,チャイナタウン
Amherst,アムハースト
Amsterdam,アムステルダム
Batavia,バタビア
Glen Cove,グレンコーブ
Glens Falls,グレンズフォールズ
Coney Island,コニーアイランド
Corning,コーニング
Endicott,エンディコット
Hibbing,ヒビング
Auburn Hills,オーバーンヒルズ
Northfield,ノースフィールド
Ypsilanti,イプシランティ
Winona,ウィノナ
Minneapolis-St Paul International Airport,ミネアポリス・セントポール国際空港
Everett,エバレット
Falmouth,ファルマス
Fitchburg,フィッチバーグ
Franklin,フランクリン
Danvers,ダンバース
Dedham,デダム
Noblesville,ノーブルズビル
Agawam,アガワム
Attleboro,アトルボロ
Beverly,ビバリー
Billerica,ビレリカ
Connecticut,コネチカット州
Derby,ダービー
Memphis International Airport,メンフィス国際空港
Smyrna,スマーナ
Mauldin,モールディン
North Augusta,ノースオーガスタ
Brentwood,ブレントウッド
Cayce,ケイシー
Simpsonville,シンプソンビル
Gaffney,ガフニー
Goose Creek,グースクリーク
Hilton Head Island,ヒルトンヘッドアイランド
Takoma Park,タコマパーク
Havre de Grace,ハバディグレイス
Ocean City,オーシャンシティ
Shelby,シェルビー
Mount Airy,マウント・エアリー
Raleigh-Durham International Airport,ローリー・ダーラム国際空港
Reidsville,リーズビル
Moore,ムーア
Loveland,ラブランド
Zanesville,ゼインズビル
Radford,ラドフォード
Ronald Reagan Washington National Airport,ロナルド・レーガン・ワシントン・ナショナル空港
Falls Church,フォールズチャーチ
Norfolk International Airport,ノーフォーク国際空港
Staunton,スタントン
Fairfax,フェアファックス
Lexington,レキシントン
Dallas Love Field,ダラス・ラブフィールド空港
George Bush Intercontinental Airport,ジョージ・ブッシュ・インターコンチネンタル空港
Austin-Bergstrom International Airport,オースチン・バーグストロム国際空港
Denison,デニソン
Garner,ガーナー
Lumberton,ランバートン
Mooresville,ムーアズビル
Morganton,モーガントン
Wake Forest,ウェイクフォレスト
Southern Pines,サザンパインズ
Henderson,ヘンダーソン
Hendersonville,ヘンダーソンビル
Kernersville,カーナーズビル
Charlotte Douglas International Airport,シャーロット・ダグラス国際空港
Clayton,クレイトン
Aberdeen,アバディーン
Dunn,ダン
Eden,イーデン
Elizabeth City,エリザベスシティ
Asheboro,アシュボロ
West Chester,ウェストチェスター
Philadelphia International Airport,フィラデルフィア国際空港
Bridgeton,ブリッジトン
Ocean City,オーシャンシティ
Athens,アセンズ
Lambert–St. Louis International Airport,ランバート・セントルイス国際空港
Westminster,ウェストミンスター
Fulton,フルトン
Hannibal,ハンニバル
Branson,ブランソン
Kansas City International Airport,カンザスシティ国際空港
Monroe,モンロー
Lake Pontchartrain,ポンチャートレイン湖
Winchester,ウィンチェスター
Louis Armstrong New Orleans International Airport,ルイ・アームストロング・ニューオーリンズ国際空港
Hartsfield-Jackson Atlanta International Airport,ハーツフィールド・ジャクソン・アトランタ国際空港
Jacksonville,ジャクソンビル
Texarkana,テクサーカナ
Van Buren,ヴァンビューレン
District of Columbia,ワシントン・コロンビア特別区
Delaware,デラウェア州
Lewes,ルイス
Middletown,ミドルタウン
Milford,ミルフォード
Tampa International Airport,タンパ国際空港
Miami International Airport,マイアミ国際空港
Orlando International Airport,オーランド国際空港
Cocoa Beach,ココアビーチ
Everglades National Park,エバーグレーズ国立公園
Fort Lauderdale–Hollywood International Airport,フォートローダーデール・ハリウッド国際空港
Jacksonville International Airport,ジャクソンビル国際空港
Paducah,パデューカ
Birmingham–Shuttlesworth International Airport,バーミングハム国際空港
Radcliff,ラドクリフ
Cincinnati/Northern Kentucky International Airport,シンシナティ・ノーザンケンタッキー国際空港
Hopkinsville,ホプキンスビル
Independence,インディペンデンス
Mammoth Cave National Park,マンモス・ケーブ国立公園
Nicholasville,ニコラスビル
Salina,サライナ
Erlanger,アーランガー
Georgetown,ジョージタウン
Henderson,ヘンダーソン
Leavenworth,レブンワース
Richmond,リッチモンド
Indianapolis International Airport,インディアナポリス国際空港
Commonwealth of the Northern Mariana Islands,北マリアナ諸島
Yorktown,ヨークタウン
Portland International Airport,ポートランド国際空港
Redmond,レドモンド
Salt Lake City International Airport,ソルトレイクシティ国際空港
Aberdeen,アバディーン
Coos Bay,クーズベイ
Tigard,タイガード
Tualatin,テュアラティン
West Linn,ウェストリン
Park City,パークシティ
Keizer,カイザー
Klamath Falls,クラマスフォールズ
Albany,オールバニ
Ashland,アシュランド
Newberg,ニューバーグ
Oregon City,オレゴンシティ
Rock Springs,ロックスプリングス
Evanston,エバンストン
Lake Stevens,レイクスティーブンス
Longview,ロングビュー
Waipahu,ワイパフ
Hilo International Airport,ヒロ国際空港
Daniel K. Inouye International Airport,ホノルル国際空港
Centralia,セントラリア
Cheney,チーニー
Anacortes,アナコルテス
Arlington,アーリントン
Battle Ground,バトルグラウンド
Burien,ベリアン
Lynden,リンデン
Maple Valley,メイプルバレー
Mercer Island,マーサーアイランド
Monroe,モンロー
Mount Vernon,マウントバーノン
Mukilteo,ムキルテオ
Oak Harbor,オークハーバー
Port Angeles,ポートエンジェルス
Port Orchard,ポートオーチャード
Sammamish,サマミッシュ
Seattle-Tacoma International Airport,シアトル・タコマ国際空港
Shoreline,ショアライン
Sunnyside,サニーサイド
University Place,ユニバーシティプレース
Walla Walla,ワラワラ
Washougal,ワシューガル
Wenatchee,ワナッチー
West Richland,ウェストリッチランド
Bethel,ベセル
Kahului Airport,カフルイ空港
Kailua,カイルア
Kona International Airport,コナ国際空港
Fairbanks International Airport,フェアバンクス国際空港
Fox Islands,フォックス諸島
Lahaina,ラハイナ
Yellowstone National Park,イエローストーン国立公園
Nome,ノーム
Northwest Arctic Borough,ノースウエストアークティック郡
Kenai,キナイ
Kenai Peninsula Borough,キナイペニンシュラ郡
Kodiak Island Borough,コディアックアイランド郡
Lake and Peninsula Borough,レイクアンドペニンシュラ郡
Unalaska,ウナラスカ
Aleutians East Borough,アリューシャンズイースト郡
Anchorage International Airport,テッド・スティーブンス・アンカレッジ国際空港
Lake Mead,ミード湖
Richmond International Airport,リッチモンド国際空港
Orlando Sanford International Airport,オーランド・サンフォード国際空港
Appalachian Mountains,アパラチア山脈
Walt Disney World Resort,ウォルト・ディズニー・ワールド・リゾート
Scott Air Force Base,スコット空軍基地
West Bloomfield Township,ウェスト・ブルームフィールド
Tri-Cities,トリシティズ
Los Alamos National Laboratory,ロスアラモス国立研究所
Sunland Park,サンランドパーク
Chaco Culture National Historical Park,チャコ文化国立歴史公園
Grants,グランツ
Blackfoot,ブラックフット
Boise Air Terminal,ボイシ空港
Safford,サフォード
Coconino County,ココニノ郡
Clearlake,クリアレイク
Tucson International Airport,ツーソン国際空港
Williams,ウィリアムズ
Alamo,アラモ
Alcatraz Island,アルカトラズ島
Corcoran,コーコラン
Death Valley,デスヴァレー
Disneyland,ディズニーランド
Edwards,エドワーズ空軍基地
El Cerrito,エルサリート
Mohave County,モハーヴェ郡
Coventry,コベントリー
Cumberland,カンバーランド
East Greenwich,イーストグリニッジ
Middletown,ミドルタウン
Narragansett,ナラガンセット
North Providence,ノースプロビデンス
North Smithfield,ノーススミスフィールド
Portsmouth,ポーツマス
Fresno County,フレズノ郡
San Bernardino County,サンバーナーディーノ郡
Sequoia National Park,セコイア国立公園
Placerville,プラサービル
Ukiah,ユカイア
Indian Wells,インディアンウェルズ
Inyo County,インヨー郡
Jackson,ジャクソン
Nevada City,ネバダシティ
Bryce Canyon National Park,ブライスキャニオン国立公園
Capitol Reef National Park,キャピトル・リーフ国立公園
Rick Husband Amarillo International Airport,リック・ハズバンド・アマリロ国際空港
Big Bend National Park,ビッグ・ベンド国立公園
Weirton,ウィアトン
Red Bluff,レッドブラフ
Mount Shasta,シャスタ山
Crescent City,クレセントシティ
Lassen Volcanic National Park,ラッセン火山国立公園
Zion National Park,ザイオン国立公園
Skagway,スカグウェイ
Juneau International Airport,ジュノー国際空港
Menasha,メナシャ
Warren,ウォーレン
West Warwick,ウェストウォリック
Barre,バリ
Bennington,ベニントン
Burlington International Airport,バーリントン国際空港
Vergennes,バージェンズ
Winooski,ウィヌースキー
Pottstown,ポッツタウン
Penn State University Park Airport,ユニバーシティパーク空港
Marysville,メアリーズビル
Lindsay,リンジー
Avalon,アバロン
Indiana,インディアナ
Kingston,キングストン
Washington,ワシントン
West Mifflin,ウェストミフリン
Barrington,バーリントン
Bristol,ブリストル
Rochelle,ロシェル
Putnam,パットナム
Des Moines International Airport,デモイン国際空港
Wallops Flight Facility,ワロップス飛行施設
Waynesboro,ウェインズボロ
Hallowell,ハロウェル
Sandwich,サンドウィッチ
Old Orchard Beach,オールドオーチャードビーチ
Old Town,オールドタウン
Orono,オロノ
Presque Isle,プレスクアイル
Scarborough,スカボロー
Eastport,イーストポート
Falmouth,ファルマス
Hyannis,ハイアニス
Southbridge,サウスブリッジ
Uxbridge,アクスブリッジ
Wilmington,ウィルミントン
Winthrop,ウィンスロップ
Acadia National Park,アーカディア国立公園
Brewer,ブルワー
North Adams,ノースアダムズ
Palmer,パーマー
Milan,ミラン
Wooster,ウースター
Rainy Lake,レイニー湖
Duluth International Airport,ダルース国際空港
East Grand Forks,イーストグランドフォークス
Bedford,ベドフォード
Berlin,バーリン
Claremont,クレアモント
Conway,コンウェイ
Milford,ミルフォード
Salem,セイラム
Durham,ダーラム
Exeter,エクセター
Franklin,フランクリン
Hooksett,フックセット
Marquette,マーケット
Michigan,ミシガン州
Eppley Airfield,エプリー・エアフィールド
Delaware,デラウェア
Pearl River,パール・リバー
Stewart International Airport,スチュワート国際空港
Suffern,サファーン
Monsey,モンゼイ
New City,ニュー・シティ
Oswego,オスウェゴ
Winsted,ウィンステッド
Litchfield,リッチフィールド
Buffalo Grove,バッファローグローブ
La Harpe,ラ・ハープ
Lake Forest,レイクフォレスト
East Rutherford,イーストラザフォード
Windham,ウィンダム
Haverstraw,ハベストロー
Central Park,セントラル・パーク
Armonk,アーモンク
Beacon,ビーコン
Lake George,ジョージ湖
Dobbs Ferry,ドブス・フェリー
East Village,イースト・ヴィレッジ
Austin,オースティン
Mille Lacs Lake,ミラックス湖
Near North Side,ニアー・ノース・サイド
Easthampton,イーストハンプトン
Harvard University,ハーバード大学
Bridgewater,ブリッジウォーター
Chatham,チャタム
Concord,コンコード
Vienna,ビエナ
Amesbury,エイムズベリー
Barnstable,バーンスタブル
Bay City,ベイシティ
Nashville International Airport,ナッシュビル国際空港
Great Smoky Mountains National Park,グレート・スモーキー山脈国立公園
Elizabethton,エリザベストン
Newberry,ニューベリー
Clarksdale,クラークスデール
Boone,ブーン
Owings Mills,オーウィングス・ミルズ
Roanoke Rapids,ロアノークラピッズ
Wilmington,ウィルミントン
Jamestown,ジェームズタウン
Poquoson,ポコソン
Christiansburg,クリスチャンズバーグ
William P Hobby Airport,ウィリアム・P・ホビー空港
Sullivans Island,サリバンズアイランド
Fredericksburg,フレデリックスバーグ
Fuquay-Varina,フキーバリナ
Havelock,ハブロック
Holly Springs,ホリースプリングス
Hope Mills,ホープミルズ
Kitty Hawk,キティホーク
Laurinburg,ローリンバーグ
Lenoir,レノア
Carrboro,カーボロ
Albemarle,アルベマール
Beavercreek,ビーバークリーク
Ferguson,ファーガソン
Crowley,クロウリー
Rayne,レイン
Eunice,ユーニス
Opelousas,オペルーサス
Baton Rouge Metropolitan Airport,バトンルージュ・メトロポリタン空港
Dahlonega,ダロネガ
Dublin,ダブリン
Jackson,ジャクソン
Bald Knob,ボールドノブ
Thomasville,トーマスビル
Tuscumbia,タスカンビア
Tuskegee,タスキーギ
Eureka Springs,ユーレカスプリングス
Cape Canaveral,ケープカナベラル
Delaware City,デラウェアシティ
New Castle Airport,ニューカッスル空港
Harrington,ハリントン
Rehoboth Beach,レホボスビーチ
Seaford,シーフォード
Palm Beach,パームビーチ
Key West International Airport,キーウェスト国際空港
Boaz,ボアズ
Lawrenceburg,ローレンスバーグ
Madisonville,マディソンビル
Murray,マレー
Blue Grass Airport,ブルーグラス空港
Hays,ヘイズ
Lansing,ランシング
Abilene,アビリーン
Guam,グアム
Roseburg,ローズバーグ
Cornelius,コーネリアス
Crater Lake National Park,クレーターレイク国立公園
Florence,フローレンス
Forest Grove,フォレストグローヴ
La Grande,ラグランド
Astoria,アストリア
Newport,ニューポート
Glacier National Park,グレイシャー国立公園
Elko County,エルコ郡
Pyramid Lake,ピラミッド湖
Devils Tower,デビルスタワー
Fremont County,フレモント郡
Grand Teton National Park,グランドティトン国立公園
Green River,グリーン・リバー
Kelso,ケルソー
Kenmore,ケンモア
Waimea,ワイメア
Enumclaw,イーナムクロー
Theodore Roosevelt National Park,セオドア・ルーズベルト国立公園
Des Moines,デモイン
East Wenatchee,イーストワナッチー
Ellensburg,エレンズバーグ
Camas,キャマス
Cascade Range,カスケード山脈
Moses Lake,モーゼスレイク
Mountlake Terrace,マウントレイクテラス
North Cascades National Park,ノース・カスケード国立公園
Mount Rainier,レーニア山
SeaTac,シータック
Sedro-Woolley,セドロウーリー
Sequim,スクイム
Spokane International Airport,スポケーン国際空港
Tumwater,タムウォーター
Bainbridge Island,ベインブリッジアイランド
Woodinville,ウッディンビル
Barrow,バロー
Cordova,コードバ
Denali Borough,デナリ郡
Glacier Bay National Park and Preserve,グレイシャーベイ国立公園
Kailua-Kona,カイルア・コナ
Homer,ホーマー
Maunaloa,マウナ・ロア山
Maunakea,マウナ・ケア山
Seward,スワード
North Pole,ノースポール
Pribilof Islands,プリビロフ諸島
King Salmon Airport,キングサーモン空港
Kodiak Island,コディアック島
Matanuska-Susitna Borough,マタヌスカ・スシトナ郡
Valdez,バルディーズ
North America,北アメリカ
Austin Straubel International Airport,オースチン・ストローベル国際空港
Syracuse Hancock International Airport,シラキューズ・ハンコック国際空港
Tulsa International Airport,タルサ国際空港
Northwest Arkansas Regional Airport,ノースウエストアーカンソー地方空港
Naval Station Mayport,メイポート海軍補給基地
Naval Air Station North Island,ノースアイランド海軍航空基地
National Mall,ナショナル・モール
Miller Park,ミラー・パーク
Dollywood,ドリーウッド
Universal Orlando Resort,ユニバーサル・オーランド・リゾート
Millennium Park,ミレニアム・パーク
Kapolei,カポレイ
Block Island,ブロック島
One World Trade Center,1 ワールドトレードセンター
Fort Leonard Wood,フォート・レオナード・ウッド
Redstone Arsenal,レッドストーン兵器廠
Edwards Air Force Base,エドワーズ空軍基地