México,メキシコ
Copa Mundial de Fútbol de 1986,1986・FIFAワールドカップ
Liga de Ascenso de México,リーガ・デ・アセンソ
Ciudad Universitaria (Universidad Nacional Autónoma de México),大学都市・(メキシコ国立自治大学)
Suprema Corte de Justicia de la Nación,国家最高司法裁判所・(メキシコ)
Hermanos de las Escuelas Cristianas,ラ・サール会
Zacatecas (Zacatecas),サカテカス
RWE,RWE
Ciudad Victoria,シウダービクトリア
Nuevo Laredo,ヌエボ・ラレド
México en los Juegos Olímpicos de Los Ángeles 1984,1984年ロサンゼルスオリンピックのメキシコ選手団
Río Colorado,コロラド川
Coahuila,コアウイラ州
Hermosillo,エルモシージョ
Estadio Azteca,エスタディオ・アステカ
Lago de Chapala,チャパラ湖
Lucha libre profesional,プロレス
Oaxaca de Juárez,オアハカ
Desierto de Sonora,ソノラ砂漠
Ciudad de México,メキシコシティ
Peso mexicano,メキシコ・ペソ
México en los Juegos Olímpicos de Pekín 2008,2008年北京オリンピックのメキシコ選手団
Morelia,モレリア
Himno Nacional Mexicano,メキシコの国歌
Anexo:Gran Premio de México de 1966,1966年メキシコグランプリ
Anexo:Gran Premio de México de 1964,1964年メキシコグランプリ
Copa Mundial de Fútbol de 1970,1970・FIFAワールドカップ
Espanglish,スパングリッシュ
Cráter de Chicxulub,チクシュルーブ・クレーター
Idioma español,スペイン語
Aguascalientes (Aguascalientes),アグアスカリエンテス
Academia de San Carlos,アカデミア・デ・サン・カルロス
Compañía Mexicana de Aviación,メキシカーナ航空
Anexo:Gran Premio de México de 1965,1965年メキシコグランプリ
Meridiano 105 oeste,西経105度線
Anexo:Gran Premio de México de 1963,1963年メキシコグランプリ
Chihuahua,チワワ州
Mar Caribe,カリブ海
Valle de México,メキシコ盆地
Televisa,テレビサ
Conector NEMA,NEMA規格
Día de Muertos,死者の日・(メキシコ)
Abierto Mexicano de Tenis,メキシコ・オープン
Molokanes,モロカン派
Las Californias,ラス・カリフォルニアス
Golfo de California,カリフォルニア湾
Municipio de Chimalhuacán,チマルワカン
Canal de Yucatán,ユカタン海峡
Mexicali,メヒカリ・(バハ・カリフォルニア州)
Kabah (sitio arqueológico),カバー・(マヤ遺跡)
México en los Juegos Olímpicos de Melbourne 1956,1956年メルボルンオリンピックのメキシコ選手団
Idioma ayapaneco,アヤパネコ語
México en los Juegos Olímpicos de Montreal 1976,1976年モントリオールオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Múnich 1972,1972年ミュンヘンオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Tokio 1964,1964年東京オリンピックのメキシコ選手団
México en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Moscú 1980,1980年モスクワオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Roma 1960,1960年ローマオリンピックのメキシコ選手団
Saltillo,サルティーヨ
Península de Yucatán,ユカタン半島
Ejército Zapatista de Liberación Nacional,サパティスタ民族解放軍
Día del maestro,教師の日
León de Los Aldama,レオン・(メキシコ)
Chichén Itzá,チチェン・イッツァ
Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピック
Gran Premio de México,メキシコグランプリ
Baja California,バハ・カリフォルニア州
Chiapas,チアパス州
México en los Juegos Olímpicos de Londres 2012,2012年ロンドンオリンピックのメキシコ選手団
México en los Juegos Olímpicos de Atenas 2004,2004年アテネオリンピックのメキシコ選手団
México en los Juegos Olímpicos de París 1900,1900年パリオリンピックのメキシコ選手団
Cuernavaca,クエルナバカ
Segundo Imperio mexicano,メキシコ第二帝政
Niños Héroes,ニーニョス・エロエス
Anexo:Gran Premio de México de 1992,1992年メキシコグランプリ
Anexo:Gran Premio de México de 1991,1991年メキシコグランプリ
Campeonato Mundial de Lucha de 1978,1978年レスリング世界選手権
Anexo:Gran Premio de México de 1990,1990年メキシコグランプリ
Anexo:Gran Premio de México de 1987,1987年メキシコグランプリ
Anexo:Gran Premio de México de 1988,1988年メキシコグランプリ
Anexo:Gran Premio de México de 1989,1989年メキシコグランプリ
Yidis,イディッシュ語
Estado de Veracruz,ベラクルス州
Estado de Guerrero,ゲレーロ州
México en los Juegos Olímpicos de Londres 1948,1948年ロンドンオリンピックのメキシコ選手団
Zapopan,サポパン
Yucatán,ユカタン州
México en los Juegos Olímpicos de Atlanta 1996,1996年アトランタオリンピックのメキシコ選手団
San Luis Potosí (ciudad),サン・ルイス・ポトシ
Tuxtla Gutiérrez,トゥストラ・グティエレス
Estadio de Béisbol Monterrey,エスタディオ・デ・ベイスボル・モンテレイ
Explosiones de Guadalajara de 1992,グアダラハラ爆発事故
Chilpancingo de los Bravo,チルパンシンゴ
Golfo de México,メキシコ湾
Guadalajara (México),グアダラハラ・(メキシコ)
Cancún,カンクン
Jalisco,ハリスコ州
Colima,コリマ州
Anexo:Ríos de México,メキシコの河川の一覧
Ciudad Nezahualcóyotl,ネサワルコヨトル・(メヒコ州)
Golfo de Campeche,カンペチェ湾
Guanajuato (Guanajuato),グアナフアト
Universidad de Guadalajara,グアダラハラ大学
Fosa mesoamericana,中央アメリカ海溝
Selección de fútbol de México,サッカーメキシコ代表
Culiacán,クリアカン
Villahermosa (Tabasco),ビヤエルモサ
San Pedro Tlaquepaque,トラケパケ
Miss Universo 1978,ミス・ユニバース1978
Miss Universo 1965,ミス・ユニバース1965
Miss Universo 1964,ミス・ユニバース1964
Miss Universo 1977,ミス・ユニバース1977
Miss Universo 1971,ミス・ユニバース1971
Miss Universo 1962,ミス・ユニバース1962
Miss Universo 1970,ミス・ユニバース1970
Colima (Colima),コリマ
Chihuahua (Chihuahua),チワワ・(チワワ州)
San Francisco de Campeche,カンペチェ
Miss Universo 1972,ミス・ユニバース1972
Morelos,モレロス州
Pachuca de Soto,パチューカ
Chocolate caliente,ホット・チョコレート
Lenguas zapotecas,サポテク語
Náhuatl,ナワトル語
Río Bravo,リオ・グランデ川
Gastronomía de México,メキシコ料理
Toluca de Lerdo,トルーカ
Tepic,テピク
Partido Verde Ecologista de México,緑の党・(メキシコ)
Torreón (Coahuila),トレオン
Aeroméxico,アエロメヒコ航空
Aeroméxico Connect,アエロメヒコ・コネクト
Idioma maya,ユカテコ語
Lago de Texcoco,テスココ湖
Mesoamérica,メソアメリカ
Revolución mexicana,メキシコ革命
Estatuilla de Tuxtla,トゥシュトラの小像
Tigres de Quintana Roo,キンタナロー・タイガース
Placa norteamericana,北アメリカプレート
Xalapa-Enríquez,ハラパ
Querétaro,ケレタロ州
Michoacán,ミチョアカン州
Universidad Nacional Autónoma de México,メキシコ国立自治大学
Anexo:Saltos en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの飛込競技
San Luis Potosí,サン・ルイス・ポトシ州
Miss Universo 1963,ミス・ユニバース1963
Mérida (México),メリダ・(ユカタン州)
Incidente de Tampico,タンピコ事件
Policía Federal (México),連邦警察・(メキシコ)
Vuelta a Chihuahua,ブエルタ・チワワ・インテルナシオナル
Escudo Nacional de México,メキシコの国章
Uxmal,ウシュマル
La Paz (Baja California Sur),ラパス・(バハ・カリフォルニア・スル州)
Anexo:Boxeo en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのボクシング競技
Istmo de Tehuantepec,テワンテペク地峡
Durango,ドゥランゴ州
Anexo:Gran Premio de México de 1986,1986年メキシコグランプリ
Anexo:Gran Premio de México de 1969,1969年メキシコグランプリ
Anexo:Gran Premio de México de 1967,1967年メキシコグランプリ
Anexo:Gran Premio de México de 1968,1968年メキシコグランプリ
Anexo:Gran Premio de México de 1970,1970年メキシコグランプリ
Teotihuacán,テオティワカン
Municipio de Naucalpan de Juárez,ナウカルパン
Nuevo León,ヌエボ・レオン州
Ciudad Juárez,シウダー・フアレス
Puebla,プエブラ州
Nayarit,ナヤリット州
Dzibilchaltún (zona arqueológica),ジビルチャルトゥン
Universidad Autónoma de Nuevo León,ヌエボ・レオン州立大学
Idioma véneto,ヴェネト語
Pirámide de la Luna,月のピラミッド
Team Rebaque,レバーク
Autódromo Hermanos Rodríguez,エルマノス・ロドリゲス・サーキット
Aguascalientes,アグアスカリエンテス州
Zacatecas,サカテカス州
Pueblo rarámuri,タラフマラ族
Veracruz,ベラクルス
Anexo:Halterofilia en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのウエイトリフティング競技
Paricutín,パリクティン山
Árbol del Tule,トゥーレの木
Municipio de Apaxco,アパスコ
Las Estrellas,ラス・エストレージャス
Trópico de Cáncer,北回帰線
Santiago de Querétaro,ケレタロ
Criollo afrosemínola,アフロ・セミノール語
Río Grijalva,グリハルバ川
Hospicio Cabañas,オスピシオ・カバーニャス
Pirámide del Sol,太陽のピラミッド
ISO 3166-2:MX,ISO・3166-2:MX
Quintana Roo,キンタナ・ロー州
Sinaloa,シナロア州
Tamaulipas,タマウリパス州
Tlalpan,トラルパン
Tláhuac,トラウアック
Batalla de Camarón,カマロンの戦い
Uruapan del Progreso,ウルアパン
Citlaltépetl,オリサバ山
Álamos (Sonora),アラモス・(ソノラ州)
Chinantequilla,サンホセ・チナンテキリア
Los Zetas,ロス・セタス
Idioma mam,マム語
Idioma jacalteco,ハカルテク語
Oaxaca,オアハカ州
Estado de Hidalgo,イダルゴ州
Tabasco,タバスコ州
Campeche,カンペチェ州
Península de Baja California,バハ・カリフォルニア半島
Municipio de Tequixquiac,テキシキアック
Popocatépetl,ポポカテペトル山
Tampico,タンピコ
Calakmul,カラクムル
Acapulco de Juárez,アカプルコ
Deportes ecuestres en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの馬術競技
Zona Rosa (Ciudad de México),ソナ・ロサ
País neutral,中立国
Reserva de la biosfera El Vizcaíno,エル・ビスカイノ生物圏保護区
Volaris,ボラリス
Zona arqueológica de Palenque,パレンケ
Chetumal,チェトゥマル
Club América,クラブ・アメリカ
Desierto del Colorado,コロラド砂漠
Carretera Panamericana,パンアメリカンハイウェイ
Monterrey,モンテレイ・(メキシコ)
Escolapios,エスコラピオス修道会
Husos horarios de México,メキシコ時間
Miss Universo 1993,ミス・ユニバース1993
Miss Universo 1989,ミス・ユニバース1989
Idioma chuj,チュフ語
Idioma akateko,アカテコ語
Idioma chontal de Tabasco,チョンタル語
Idioma chol,チョル語
Tlaxcala,トラスカラ州
Estado de México,メヒコ州
Idioma quekchí,ケクチ語
Idioma ixil,イシル語
Isla de Jaina,ハイナ島
Meridiano 90 oeste,西経90度線
Universidad de Monterrey,モンテレイ大学
Auditorio Nacional (México),ナショナル・オーディトリアム
Primer Imperio mexicano,メキシコ第一帝政
Guerra contra el narcotráfico en México,メキシコ麻薬戦争
Monte Albán,モンテ・アルバン
Rambler Classic,ランブラー・クラシック
Toniná,トニナ
Complejo Cantarell,カンタレル油田
Idioma huasteco,ワステコ語
Idioma lacandón,ラカンドン語
Idioma huichol,ウイチョル語
Ligas Menores de Béisbol,マイナーリーグベースボール
Idioma quiché,キチェ語
Idioma seri,セリ語
Idioma tectiteco,テクティテコ語
Victoria de Durango,ドゥランゴ・(ドゥランゴ州)
Anexo:Ciudades más pobladas de México,メキシコの都市の一覧
El Siglo de Torreón,エル・シグロ・デ・トレオン
Coatzacoalcos,コアツァコアルコス
Carrera Panamericana,カレラ・パナメリカーナ・メヒコ
Anexo:Medallero de los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのメダル受賞数一覧
Club Deportivo Guadalajara (México),CDグアダラハラ
Fuerzas Armadas de México,メキシコ軍
Casa Luis Barragán,ルイス・バラガン邸と仕事場
Pericos de Puebla,プエブラ・パロッツ
Diablos Rojos del México,メキシコシティ・レッドデビルズ
Mexcaltitán,メスカルティタン
Algodoneros de Guasave,アルゴドネロス・デ・グアサベ
Cemex,セメックス
Yaquis de Ciudad Obregón,ヤキス・デ・オブレゴン
Cempoala,センポアラ
Desierto de Yuma,ユマ砂漠
Idioma tojolabal,トホラバル語
Idioma tsotsil,ツォツィル語
Idioma purépecha,タラスコ語
Municipio de Jaltenco,ハルテリコ
Organización territorial de México,メキシコの行政区画
Mazatlán,マサトラン
.mx,.mx
Pulque,プルケ
Tres Zapotes,トレス・サポーテス
Centro de Investigación y Seguridad Nacional,国家安全調査局
Chicha,チチャ
Río Fuerte,フエルテ川
Frontera entre Estados Unidos y México,アメリカ＝メキシコ国境
Cervecería Cuauhtémoc Moctezuma,クアウテモック・モクテスマ醸造会社
Liga Mexicana del Pacífico,リーガ・メヒカーナ・デル・パシフィコ
Happy Science,幸福の科学
Batalla de Puebla,プエブラの会戦
Isla de Cedros,セドロス島
Pueblo maya,マヤ人
Chapultepec,チャプルテペク
Estadio Cuauhtémoc,エスタディオ・クアウテモック
Puebla de Zaragoza,プエブラ
Tequila,テキーラ
Sonora,ソノラ州
Baja California Sur,バハ・カリフォルニア・スル州
Guanajuato,グアナフアト州
Sisal (Yucatán),シサル
Tijuana,ティフアナ
Batalla de San Juan de Ulúa (1838),ベラクルスの戦い・(1838年)
San Cristóbal de Las Casas,サン・クリストバル・デ・ラス・カサス
Museo Nacional de Antropología (México),国立人類学博物館
Copa Mundial de Fútbol Juvenil de 1983,1983・FIFAワールドユース選手権
Brote de cólera en Haití,ハイチのコレラ流行
911 (teléfono),911番
Anexo:Final de la Copa Mundial de Fútbol de 1970,1970・FIFAワールドカップ・決勝
Castillo de Chapultepec,チャプルテペク城
Partido del Trabajo (México),労働党・(メキシコ)
Plan de Ayutla,アユトラ綱領
San Luis Fútbol Club (México),サン・ルイスFC
Viesca,ビエスカ・(コアウイラ州)
Coatepec (Veracruz),コアテペク・(ベラクルス州)
Cobá,コバー
Club Tijuana,クラブ・ティフアナ
Club Universidad Nacional,クラブ・ウニベルシダ・ナシオナル
Juegos Panamericanos de 2011,2011年パンアメリカン競技大会
Paralelo 31 norte,北緯31度線
Meridiano 95 oeste,西経95度線
Aeropuerto Internacional de Puebla,プエブラ国際空港
Museo Guggenheim Guadalajara,グッゲンハイム・グアダラハラ
Torneo masculino de béisbol en los Juegos Panamericanos de 2011,2011年パンアメリカン競技大会における野球競技
Interjet,インテルジェット
Comala,コマラ・(コリマ州)
Comic Relief,コミックリリーフ・(慈善団体)
Primera República Federal (México),メキシコ合衆国・(19世紀)
Municipio de Zumpango,スンパンゴ・(メキシコ)
Ciudad Tula,トゥラ・(タマウリパス州)
Tlatlauquitepec,トゥラトゥラウキテペク
Tajín (condimento),タヒン
Sian Ka'an,シアン・カアン生物圏保護区
Pinturas rupestres de la sierra de San Francisco,シエラ・デ・サン・フランシスコの岩絵群
Huamantla,ウアマントゥラ・(トラスカラ州)
Tollan-Xicocotitlan,トゥーラ・シココティトラン
Mayapán,マヤパン
Celaya,セラヤ・(メキシコ)
Cosalá,コサラ・(シナロア州)
Paralelo 32 norte,北緯32度線
Aeropuerto Internacional de Puerto Vallarta,プエルト・バヤルタ国際空港
Campeonato Mundial de Judo de 1969,1969年世界柔道選手権大会
Vuelo 302 de AeroUnión,アエロユニオン302便墜落事故
Distrito Federal (México),メキシコ連邦区
Batalla del Molino del Rey,モリノ・デル・レイの戦い
Anexo:Guerras de México,メキシコの関連する戦争一覧
Palacio de Bellas Artes (Ciudad de México),ベジャス・アルテス宮殿
Museo Nacional de Arte (México),メキシコ国立美術館
Río Usumacinta,ウスマシンタ川
Sierra Madre Occidental,西シエラ・マドレ山脈
Kahlúa,カルーア
Texcoco de Mora,テスココ
Monasterios en las faldas del Popocatépetl,ポポカテペトル山腹の16世紀初頭の修道院群
Isla Tiburón,ティブロン島
Pueblo huasteco,ワステカ
Copa México,コパ・メヒコ
Gustavo A. Madero (Ciudad de México),グスタボ・A・マデロ・(メキシコシティ)
Estadio Corona (TSM),エスタディオ・コロナ
Anexo:Baloncesto en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのバスケットボール競技
Colonia Roma,コロニア・ローマ
Cuicuilco,クィクィルコ
Grito de Dolores,ドロレスの叫び
Capulálpam de Méndez,カプラルパム・デ・メンデス
Selección de béisbol de México,野球メキシコ代表
Accidente aéreo del Learjet 45 de la Secretaría de Gobernación,2008年メキシコ内務省チャーター機墜落事故
Río Rico (Tamaulipas),リオ・リコ
Federación Mexicana de Fútbol Asociación,メキシコサッカー連盟
World Trade Center Ciudad de México,ワールド・トレード・センター・メキシコシティ
Aeropuerto Internacional de Los Cabos,ロス・カボス国際空港
Municipio de Tapachula,タパチュラ
Reserva de la biosfera de Calakmul,カンペチェ州カラクムルの古代マヤ都市と熱帯保護林
Paralelo 30 norte,北緯30度線
Paralelo 20 norte,北緯20度線
Acueducto del Padre Tembleque,パドレ・テンブレケ水道橋
Náhuatl del Istmo,地峡メカヤパン・ナワトル語
Ciudad Constitución (Baja California Sur),シウダーコンスティトゥシオン
Selección femenina de voleibol de México,バレーボールメキシコ女子代表
Selección femenina de fútbol de México,サッカーメキシコ女子代表
Municipio de Temixco,テミスコ
Rito de los voladores,ダンサ・デ・ロス・ボラドーレス
Macuilxóchitl,マクイルショチトル
Rally México,ラリー・メキシコ
Cueva de los cristales (Naica),クリスタルの洞窟
Decena Trágica,悲劇の十日間
San Ángel (Ciudad de México),サン・アンヘル
Tapijulapa,タピフラパ
Chiapa de Corzo,チアパ・デ・コルソ・(チアパス州)
Querétaro Fútbol Club,ケレタロFC
Bonampak,ボナンパク
Cordillera Americana,アメリカ山系
Asedio de Veracruz,ベラクルス包囲戦
Guerra de Reforma,レフォルマ戦争
Consejo Mundial de Lucha Libre,CMLL
Serie del Caribe 2009,2009年のカリビアンシリーズ
Tecolotes de Dos Laredos,ドスラレドス・オウルズ
Telcel,Telcel
Museo Soumaya,ソウマヤ美術館
Paisaje agavero y antiguas instalaciones industriales de Tequila,テキーラの古い産業施設群とリュウゼツランの景観
Catedral Metropolitana de la Ciudad de México,メキシコシティ・メトロポリタン大聖堂
Cuerpo de Fuerzas Especiales de México,特殊作戦群・(メキシコ軍)
Anexo:Final de la Copa Mundial de Fútbol de 1986,1986・FIFAワールドカップ・決勝
República de Tlaxcallan,トラスカラ王国
Aridoamérica,アリドアメリカ
Tratado de Guadalupe Hidalgo,グアダルーペ・イダルゴ条約
La Quemada,ラ・ケマーダ
Municipio de El Oro (Estado de México),ムニスィピオ・デ・エル・オロ・(メヒコ州)
Municipio de Malinalco,マリナルコ・(メヒコ州)
InterLiga,インテルリーガ
Dorados de Sinaloa,ドラドス・デ・シナロア
Paralelo 25 norte,北緯25度線
La Quebrada,ラ・ケブラーダ・(アカプルコ)
Paralelo 15 norte,北緯15度線
Accidente del Learjet 25 de 2012,2012年リアジェット25墜落事故
Aeromexpress,アエロメクスプレス
Xtabentún (bebida),シュタベントゥン
Vuelo 2605 de Western Airlines,ウェスタン航空2605便着陸失敗事故
Magnicharters,マグニチャーターズ
Pueblo mixteco,ミシュテカ
Grupo México,グルポ・メヒコ
La mano de Dios,神の手・(サッカー)
Presidente de México,メキシコの大統領
Ixil (etnia),イシル族
Club Necaxa,クルブ・ネカクサ
Mier,スィウダード・ミエル
Club León,クラブ・レオン
TV Azteca,テー・ベー・アステカ
Centro Histórico de la Ciudad de México,メキシコシティ歴史地区
Kumiai,クミアイ族
Constitución Política de los Estados Unidos Mexicanos,メキシコ憲法
Premio Mundial de Ciencias Albert Einstein,アルベルト・アインシュタイン世界科学賞
Grupo Lala,グルポ・ララ
Aeropuerto Internacional de Cancún,カンクン国際空港
Xochimilco,ソチミルコ
México en los Juegos Olímpicos,オリンピックのメキシコ選手団
Arena México,アレナ・メヒコ
Universidad de Guanajuato,グアナファト大学
Texas (México),メキシコ領テキサス
Isla Ángel de la Guarda,アンヘル・デ・ラ・グアルダ島
Meridiano 115 oeste,西経115度線
Cuauhtémoc (Ciudad de México),クアウテモク・(メキシコシティ)
Adidas Telstar,テルスター・(サッカー)
Ejército Popular Revolucionario,革命人民軍
El Universal (México),エル・ウニベルサル・(メキシコシティ)
Gabinete de México,メキシコの行政機関
Cadereyta (Querétaro),カデレイタ・(ケレタロ州)
Club Puebla,クルブ・プエブラ
CheckInstall,CheckInstall
Municipio de Los Cabos,ロス・カボス
Progreso de Castro,プログレソ・(ユカタン州)
Margarita (cóctel),マルガリータ
Ensenada (Baja California),エンセナーダ
Liga Mexicana de Béisbol,リーガ・メヒカーナ・デ・ベイスボル
Aeropuerto Internacional de Tapachula,タパチュラ国際空港
Aeropuerto Internacional Abraham González,シウダー・フアレス国際空港
Matador (cóctel),マタドール・(カクテル)
Oxxo,OXXO
Plaza de la Constitución (Ciudad de México),ソカロ
Estadio Jalisco,エスタディオ・ハリスコ
Instituto Tecnológico y de Estudios Superiores de Monterrey,モンテレイ工科大学
Foro Sol,フォロ・ソル
Electric Daisy Carnival,エレクトリック・デイジー・カーニバル
Cinco de Mayo,シンコ・デ・マヨ
Cadena costera del Pacífico,太平洋海岸山脈
El Fuerte (Sinaloa),エル・フエルテ・(シナロア州)
Yaxchilán,ヤシュチラン
Coyoacán,コヨアカン
Cine mexicano,メキシコの映画
Convención de Aguascalientes,アグアスカリエンテス会議
Batalla de El Carrizal,カリサルの戦闘
Metro de la Ciudad de México,メキシコシティ地下鉄
Anexo:Voleibol en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのバレーボール競技
Torneo de Monterrey,モンテレイ・オープン
Aeropuerto Internacional Federal de Culiacán,クリアカン国際空港
Aeropuerto Internacional Carlos Rovirosa Pérez,ビヤエルモサ国際空港
Jerez de García Salinas,ヘレス・デ・ガルシア・サリナス
Horchata,オルチャータ
Iztaccíhuatl,イスタシワトル山
Deportivo Toluca Fútbol Club,デポルティーボ・トルーカFC
Estadio Akron,エスタディオ・アクロン
Isla Socorro,ソコロ島
Kansas City Southern de México,カンザス・シティ・サザン・ド・メキシコ
Soconusco,ソコヌスコ
Jalpan de Serra,ハルパン・デ・セラ・(ケレタロ州)
Selección de waterpolo de México,水球男子メキシコ代表
Anexo:Lucha en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのレスリング競技
Barrancas del Cobre,バランカ・デル・コブレ
Rocas Alijos,ロカスアリホス島
Ciudad Obregón,シウダ・オブレゴン
Mitla,ミトラ・(オアハカ州)
Tollan,トゥラン・(メソアメリカ)
Estadio Hidalgo,エスタディオ・イダルゴ
Estadio Luis "Pirata" Fuente,エスタディオ・ルイス・デ・ラ・フエンテ
La Mojarra,ラ・モハーラ
Línea 1 del Metro de la Ciudad de México,メキシコシティ地下鉄1号線
Copa FIFA Confederaciones 1999,FIFAコンフェデレーションズカップ1999
Partido Revolucionario Institucional,制度的革命党
Tlaxcala de Xicohténcatl,トラスカラ・デ・シコテンカトル
Municipio de Nextlalpan,ネストラルパン
Estadio León,エスタディオ・レオン
Estadio Corregidora,エスタディオ・コレヒドラ
Monumento a la Revolución (México),革命記念塔・(メキシコ)
La Familia Michoacana,ラ・ファミリア・カルテル
Michelada,ミチェラーダ
Etchohuaquila,エッチョワキーラ
Xilitla,ヒリトゥラ
Cultura de México,メキシコの文化
Atole,アトーレ
Calvillo,カルビージョ・(アグアスカリエンテス州)
Sistema de Tren Eléctrico Urbano,グアダラハラ地下鉄
Parque Público Federal El Chamizal,チャミサル紛争
Tulum,トゥルム遺跡
Mezcal,メスカル
Lucha Libre AAA Worldwide,AAA・(プロレス)
Aeropuerto Internacional General Roberto Fierro Villalobos,ヘネラル・ロベルト・フィエロ・ヴィラロボス国際空港
Univision,ユニビジョン
Copa Mundial de Fútbol Sub-17 de 2011,2011・FIFA・U-17ワールドカップ
Reserva de la biosfera El Pinacate y Gran Desierto de Altar,エル・ピナカテ・イ・グラン・デシエルト・デ・アルタル生物圏保護区
Municipio de Mapimí,マピミ・(ドゥランゴ州)
Municipio de Jiquilpan,ヒキルパン・デ・ホゥアレス・(ミチョアカン州)
Izapa,イサパ
Sierra de San Jacinto,サンジャシント山脈
Batalla de Churubusco,チュルブスコの戦い
Aeropuerto Internacional de Mérida,メリダ国際空港
Las Tres Vírgenes,トレス・ビルヘネス山
Aeropuerto Internacional Xoxocotlán,ソソコトラン国際空港
Aeropuerto Internacional de Tijuana,ヘネラル・アベラルド・L・ロドリゲス国際空港
Reynosa,レイノサ
Organización Soriana,ソリアナ
Club de Fútbol Pachuca,CFパチューカ
Liga Mexicana de Football Amateur Association,プリメーラ・フエルサ
Heroica Matamoros,マタモロス
Manzanillo,マンサニージョ・(メキシコ)
El Chepe,チワワ太平洋鉄道
Ferrosur,フェロスール
Sistema Ox Bel Ha,オックス・ベル・ハ
Gran Pirámide de Cholula,トラチウアルテペトル
Chiapas Fútbol Club,チアパスFC
Aeropuerto Internacional de Acapulco,アカプルコ国際空港
Aeropuerto Internacional General Ignacio Pesqueira García,エルモシージョ国際空港
Aeropuerto Internacional del Bajío,グアナフアト国際空港
Charrería,チャレリア
Mineral del Chico,ミネラル・デル・チコ・(イダルゴ州)
Mineral de Angangueo,ミネラル・デ・アンガンゲオ
Club Santos Laguna,サントス・ラグナ
Iztapalapa,イスタパラパ
Parque Kukulcán Alamo,パルケ・ククルカン・アラモ
Xcaret,シカレ
Elsevier,エルゼビア
Cártel del Golfo,ガルフ・カルテル
