México,メキシコ
Campeonato Sub-17 de la Concacaf de 2011,CONCACAF・U-17選手権2011
Real de Asientos,レアル・デ・アスィエントス
Benito Juárez (Ciudad de México),ベニート・フアレス・(メキシコシティ)
Misiones franciscanas de la Sierra Gorda de Querétaro,ケレタロ州シエラ・ゴルダのフランシスコ会伝道所群
Los Mochis,ロスモチス・(シナロア州)
Anexo:Waterpolo en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの水球競技
Paseo de la Reforma,レフォルマ通り
Municipio de Chignahuapan,チグナワパン・(プエブラ州)
Municipio de Mineral del Monte,ミネラル・デル・モンテ・(イダルゴ州)
Islas y áreas protegidas del Golfo de California,カリフォルニア湾の島々と自然保護区群
Vuelo 940 de Mexicana de Aviación,メキシカーナ航空940便墜落事故
Museo Nómada,ノマディック美術館
Cuajimalpa de Morelos,クアヒマルパ・デ・モレロス
El Tajín,エル・タヒン
San Miguel de Allende,サン・ミゲル・デ・アジェンデ
Primera División de México,リーガMX
Anexo:Atletismo en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの陸上競技
Partido de la Revolución Democrática,民主革命党・(メキシコ)
Estadio Olímpico Universitario,エスタディオ・オリンピコ・ウニベルシタリオ
Anexo:Fútbol en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのサッカー競技
WGC Championship,キャデラック選手権
Municipio de Yécora,イェコラ
La Gloria (Veracruz),ラ・グロリア・(ベラクルス州)
Géiser Fly,フライガイザー
Isla Roca Partida,ロカ・パルティーダ島
Instituto Politécnico Nacional,メキシコ国立工科大学
Eclipse solar del 11 de julio de 1991,1991年7月11日の日食
Santuario de Jesús Nazareno de Atotonilco,サン・ミゲルの要塞都市とヘスス・ナサレノ・デ・アトトニルコの聖地
Atlético Morelia,アトレティコ・モレリア
Congreso de la Unión,連邦議会・(メキシコ)
Constitución Federal de los Estados Unidos Mexicanos de 1824,1824年メキシコ憲法
Aeropuerto Internacional de Monterrey,モンテレイ国際空港
Club de Fútbol Monterrey,CFモンテレイ
Palacio Nacional (México),国立宮殿
Anexo:Patrimonio de la Humanidad en México,メキシコの世界遺産
Xel Há (sitio arqueológico),シェル・ハ
Meridiano 100 oeste,西経100度線
Gimnasio Olímpico Juan de la Barrera,ヒムナシオ・オリンピコ・フアン・デ・ラ・バレラ
Tepanecas,テパネカ
Batalla de Chapultepec,チャプルテペクの戦い
Liga Nacional de Baloncesto Profesional de México,リーガ・ナシオナル・バロンセスト・プロフェッショナル
San Lorenzo (zona arqueológica),サン・ロレンソ・(遺跡)
Estadio Universitario (UANL),エスタディオ・ウニベルシタリオ
Templo Mayor,テンプロ・マヨール
Selección de voleibol de México,バレーボールメキシコ男子代表
Edzná,エズナ
Cañón del Sumidero,スミデロ峡谷
Grupo Bimbo,グルーポ・ビンボ
Terremotos de Guerrero-Oaxaca de 2012,メキシコ南部地震・(2012年3月)
Arteaga (Coahuila),アルテアガ・(コアウイラ州)
Premio Ariel (México),アリエル賞
Batallón de San Patricio,聖パトリック大隊
Copa Panamericana de Voleibol Masculino de 2006,2006年バレーボール男子パンアメリカンカップ
Copa Panamericana de Voleibol Masculino de 2009,2009年バレーボール男子パンアメリカンカップ
Municipio de Pahuatlán,パワトゥラン
Batalla de Padierna,コントレラスの戦い
Los Pinos (México),ロス・ピノス
Meridiano 110 oeste,西経110度線
Santa Clara del Cobre,サンタ・クララ・デル・コブレ
México-Tlatelolco,トラテロルコ
Viva Aerobus,ビバアエロブス
México en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのメキシコ選手団
Click Mexicana,メキシカーナクリック
Instituto Nacional de Estadística y Geografía,国立統計地理情報院
Explosiones de San Juan Ixhuatepec de 1984,サン・フアン・イスアテペク爆発事故
Batalla de Monterrey (Nuevo León),モンテレーの戦い
Estadio BBVA,エスタディオBBVA
Kohunlich,コフンリッチ
Polanco (Ciudad de México),ポランコ・(メキシコシティ)
Piedra del Sol,太陽の石
Provincia geológica de Basin and Range,ベイスン・アンド・レンジ
Banco de México,メキシコ銀行
Desierto de Baja California,バハ・カリフォルニア砂漠
Baja 1000,バハ1000
Xochicalco,ソチカルコ
La Magdalena Contreras,マグダレナ・コントレラス
Tequisquiapan,テキスキアパン・(ケレタロ州)
Ferrocarril Suburbano de la Zona Metropolitana del Valle de México,メキシコシティ都市圏郊外鉄道
Formación Aguja,アグハ累層
Arena Monterrey,モンテレー・アリーナ
Ferrocarriles Nacionales de México,メキシコ国鉄
El Opeño,エル・オペーニョ文化
Villa Guerrero (Jalisco),ビヤ・ゲレロ
Municipio de San Sebastián del Oeste,サン・セバスティアン・デル・オエステ
Xico (Veracruz),ヒコ・(ベラクルス州)
Valle de Bravo,バジェ・デ・ブラボ・(メヒコ州)
Lobos de la BUAP,ロボス・デ・ラ・BUAP
Jugo de tomate,トマトジュース
Magdalena de Kino,マグダレナ・デ・キノ・(ソノラ州)
Anexo:Gimnasia en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの体操競技
Salina Cruz,サリナ・クルス
Laguna de Términos,テルミノス湖
Cártel de Juárez,フアレス・カルテル
Tzintzuntzan,ツィンツンツァン
Plan de Iguala,イグアラ綱領
Cártel de Sinaloa,シナロア・カルテル
Cártel de los Beltrán Leyva,ベルトラン・レイバ・カルテル
Irapuato,イラプアト
Bernal (Querétaro),ベルナル・(ケレタロ州)
Isla Bermeja,ベルメハ島
Venta de La Mesilla,ガズデン購入
Volcán de Colima,コリマ山
Teopantecuanitlán,テオパンテクアニトラン
Anexo:Natación en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの競泳競技
Copa de Oro de la Concacaf 2003,2003・CONCACAFゴールドカップ
El Chichón,エルチチョン
Ferrocarril en México,メキシコの鉄道
Todos Santos (Baja California Sur),トドス・サントス・(バハ・カリフォルニア・スル州)
Escritura mixteca,ミシュテカ文字
Metrobús de la Ciudad de México,メトロバス・(メキシコシティ)
Municipio de Huichapan,ウイチャパン・(イダルゴ州)
Club de Fútbol Cruz Azul,クルス・アスル
Municipio de Tlalnepantla de Baz,トラルネパントラ・デ・バス
Isla de California,カリフォルニア島
Aeropuerto Internacional General Rodolfo Sánchez Taboada,ヘネラル・ロドルフォ・サンチェス・タボアダ国際空港
"Zonas metropolitanas, conurbadas y metrópolis municipales de México",メキシコの大都市圏
Isla Montague (México),モンタゲ島
Torre Mayor,トーレ・マヨール
Anexo:Hockey en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのホッケー競技
Anexo:Remo en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのボート競技
Archipiélago de Revillagigedo,レビジャヒヘド諸島
Tigres de la UANL,UANLティグレス
Dzibanché,ツィバンチェ
Tequila (Jalisco),テキーラ・(ハリスコ州)
Copa de Oro de la Concacaf 1993,1993・CONCACAFゴールドカップ
Ciclismo en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの自転車競技
Centro Internacional de Mejoramiento de Maíz y Trigo,国際トウモロコシ・コムギ改良センター
San Juan de Ulúa,サン・フアン・デ・ウルア
Bacalar,バカラル・(キンタナ・ロー州)
Santiago (Nuevo León),サンティアゴ・(ヌエボ・レオン州)
Municipio de Zacatlán,サカトゥラン・(プエブラ州)
Atlante Fútbol Club,アトランテFC
Partido Acción Nacional,国民行動党
Reserva de la Biosfera de la Mariposa Monarca,オオカバマダラ生物圏保護区
Aeropuerto Internacional de la Ciudad de México,メキシコ・シティ国際空港
Desierto de Chihuahua,チワワ砂漠
Puerto Escondido (Oaxaca),プエルト・エスコンディード
Mesa del Centro,メキシコ高原
Isla Guadalupe,グアダルーペ島
Paquimé,パキメ
Puerto Vallarta,プエルト・バヤルタ
San José Mogote,サン・ホセ・モゴテ
El Águila de Veracruz,ベラクルス・イーグルス
Leones de Yucatán,ユカタン・ライオンズ
Batalla de la Ciudad de México,メキシコシティの戦い
Cerro de las Mesas,セロ・デ・ラス・メーサス
Corona (cerveza),コロナビール
Black Tiger (luchador),ブラック・タイガー・(プロレスラー)
Anexo:Planes militares de México,綱領・(メキシコ史)
Aeropuerto Internacional de Tuxtla,アンヘル・アルビノ・コルソ国際空港
Cueva de Oxtotitlán,オシュトティトラン洞穴
Infantería de Marina (México),メキシコ海兵隊
Aeropuerto Internacional General Heriberto Jara,ベラクルス国際空港
Los Negros,ロス・ネグロス
Cártel de Guadalajara,グアダラハラ・カルテル
Árbol de la vida (artesanía),生命の樹・(工芸品)
Saraperos de Saltillo,サルティーヨ・サラペメーカーズ
Petroleros de Minatitlán,ミナティトラン・オイラーズ
Guerreros de Oaxaca,オアハカ・ウォーリアーズ
Algodoneros de Unión Laguna,ラグナ・ユニオン・コットンファーマーズ
Olmecas de Tabasco,タバスコ・オルメクス
Broncos de Reynosa,レイノサ・ブロンコス
Piratas de Campeche,カンペチェ・パイレーツ
Acereros de Monclova,モンクローバ・スティーラーズ
Comalcalco,コマルカルコ
Gómez Palacio,ゴメスパラシオ
Instituto Nacional de Lenguas Indígenas,国立先住民言語研究所
Municipio de Yaxcabá,ヤスカバー
Tren ligero de la Ciudad de México,メキシコシティ・ライトレール
Historia mexica,メシカ
Terremoto de México de 1985,メキシコ地震・(1985年)
Enchilada,エンチラーダ
Tomateros de Culiacán,トマテロス・デ・クリアカン
Campeonato Sub-17 de la Concacaf de 2009,CONCACAF・U-17選手権2009
Agencia Espacial Mexicana,メキシコ宇宙機関
Matanza de Acteal,アクテアル虐殺事件
Petróleos Mexicanos,ペメックス
Santa Fe (Ciudad de México),サンタ・フェ・(メキシコシティ)
Gran Telescopio Milimétrico,大型ミリ波望遠鏡
Batalla de Buena Vista,ブエナ・ビスタの戦い
Instituto Nacional de Antropología e Historia,国立人類学歴史研究所
Anexo:Pentatlón moderno en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの近代五種競技
Bolsa Mexicana de Valores,メキシコ証券取引所
Emperador de México,メキシコ皇帝
Municipio de Yuriria,ユリリア・(グアナフアト州)
Sombrerete,ソンブレレテ・(サカテカス州)
Metepec (Estado de México),メテペク・(メヒコ州)
Neozapatismo,ネオサパティスモ
Aeropuerto Internacional de Aguascalientes,アグアスカリエンテス国際空港
Tlalpujahua de Rayón,トゥラルプハワ・デ・ライヨン
Imperio purépecha,タラスカ王国
Masacre de Tlatelolco,トラテロルコ事件
Anexo:Esgrima en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのフェンシング競技
Tlacotalpan,トラコタルパン
Lucha libre mexicana,ルチャリブレ
Monumento a la Independencia,独立記念碑・(メキシコ)
Línea 7 del Metro de la Ciudad de México,メキシコシティ地下鉄7号線
Parras de la Fuente,パラス・デ・ラ・フエンテ
Mapimí,マピミ
Saludo del Poder Negro en los Juegos Olímpicos de 1968,ブラックパワー・サリュート
La Venta,ラ・ベンタ
Anexo:Tiro en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの射撃競技
Camino Real de Tierra Adentro,カミノ・レアル・デ・ティエラ・アデントロ
Municipio de Tacámbaro,タカンバロ
Tepotzotlán,テポツォトゥラン
Miguel Hidalgo (Ciudad de México),ミゲル・イダルゴ・(メキシコシティ)
Anexo:Piragüismo en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのカヌー競技
Copa Panamericana de Voleibol Femenino de 2012,2012年バレーボール女子パンアメリカンカップ
San Nicolás de los Garza,サン・ニコラス・デ・ロス・ガルサ
Orden de Frailes Menores,小さき兄弟会
Región Huasteca,ワステカ地方
Piedras Negras,ピエドラス・ネグラス・(コアウイラ)
El Rosario (Sinaloa),エル・ロサリオ・(シナロア州)
Plaza de las Tres Culturas,三文化広場
Aeropuerto Internacional de Guadalajara,ドン・ミゲル・イダルゴ・イ・コスティージャ国際空港
Tepito,テピート
Miss Universo 2007,ミス・ユニバース2007
Milpa Alta,ミルパ・アルタ
Selección de fútbol sub-23 de México,U-23サッカーメキシコ代表
Eclipse solar del 8 de abril de 2024,2024年4月8日の日食
Muro fronterizo Estados Unidos-México,メキシコとアメリカの壁
Anexo:Aeropuertos de México,メキシコの空港の一覧
Campeonato Mundial de Voleibol Masculino de 1974,1974年バレーボール世界選手権
Guadalupe (Nuevo León),グアダルーペ・(ヌエボ・レオン州)
Alameda Central,アラメダ・セントラル
Idioma mochó,モチョ語
Muralismo mexicano,メキシコ壁画運動
Agua de Jamaica,ハイビスカスティー
Anexo:Parques nacionales de México,メキシコの国立公園
Horario del este de América del Norte,東部標準時
Selección de baloncesto de México,バスケットボールメキシコ代表
Partidos políticos de México,メキシコの政党
Allende (meteorito),アエンデ隕石
Batopilas,バトピラス・(チワワ州)
Torre Latinoamericana,ラテンアメリカ・タワー
Coahuila y Texas,コアウイラ・イ・テハス州
Iztacalco,イスタカルコ
Estadio Francisco I. Madero,エスタディオ・フランシスコ・I・マデロ
Xicotepec,ヒコテペク・(プエブラ州)
Guerrero Negro,ゲレロネグロ
Municipio de Dolores Hidalgo,ドローレス・イダルゴ
Río Suchiate,スチアテ川
Palizada (Campeche),パリサーダ・(カンペチェ州)
San Pedro Garza García,サン・ペドロ・ガルサ・ガルシア
Clásico Tapatío,クラシコ・タパティオ
Sultanes de Monterrey,モンテレイ・サルタンズ
Ciudad de Cuetzalan,スィウダード・デ・クェツァラン
Grutas de Juxtlahuaca,フストラワカ洞窟
Grupo México Transportes,フェロメックス
Municipio de Compostela,コンポステーラ・(ナヤリット州)
Balché (bebida),バルチェ
Banco Azteca,バンコ・アステカ
Baldwin DR-12-8-1500/2,ボールドウィンDR-12-8-1500/2形ディーゼル機関車
Baja Prog,バハ・プログ
Iglesia católica en México,メキシコのカトリック
Teúl de González Ortega,テウル・デ・ゴンサレス・オルテガ・(サカテカス州)
Heroica Guaymas,グアイマス
Taxco de Alarcón,タスコ・デ・アラルコン
Playa del Carmen,プラヤ・デル・カルメン
Comitán de Domínguez,コミタン・(チアパス州)
México en los Juegos Olímpicos de Sídney 2000,2000年シドニーオリンピックのメキシコ選手団
Córdoba (México),コルドバ・(ベラクルス州)
Totatiche,トタティチェ
Cholula de Rivadavia,サン・ペドゥロ・チョルラ
Cuatrociénegas de Carranza,クアトゥロ・スィエネガス・デ・カランサ
Orizaba,オリサバ
Lagos de Moreno,ラゴス・デ・モレノ
Papantla de Olarte,パパントゥラ・デ・オラルテ
Azcapotzalco,アスカポツァルコ
Biblioteca Palafoxiana,パラフォクシアナ図書館
Museo Subacuático de Arte,カンクン海底美術館
Valladolid (México),バジャドリド・(ユカタン州)
Premundial Femenino CONCACAF de 2010,2010・CONCACAF女子ゴールドカップ
"Comisión de Box y Lucha Libre de México, D. F.",メキシコ連邦区ボクシング・レスリング協会
Colonia Condesa (Ciudad de México),コンデサ
Izamal,イサマル
Mazamitla,マサミトゥラ・(ハリスコ州)
Loreto (Baja California Sur),ロレト・(バハ・カリフォルニア・スル州)
Cabo San Lucas,サンルーカス岬
Creel,クリル・(チワワ州)
Tecate,テカテ・(バハ・カリフォルニア州)
Centro Federal de Readaptación Social n.º 1,連邦社会再適応センター・No.1
Poderes de la Unión,メキシコ合衆国連邦政府
Tecos Fútbol Club,テコスFC
Pátzcuaro,パツクァロ
Tepoztlán,テポストラン
Tiburones Rojos de Veracruz,ティブロネス・ロホス・デ・ベラクルス
Atlas Fútbol Club,アトラスFC
Club Atlético Zacatepec,CDサカテペク
Tacubaya,タクバヤ
Cacaxtla,カカシュトラ
Aeropuerto Internacional de La Paz,ラ・パス国際空港
Campeón de Campeones,カンペオン・デ・カンペオーネス
Real de Catorce,レアル・デ・カトルセ
Copa Mundial de Fútbol de 2026,2026・FIFAワールドカップ
Municipio de Nogales (Sonora),ノガレス・(ソノラ州)
Biblioteca Central (UNAM),中央図書館・(メキシコ国立自治大学)
Centro de Investigación en Matemáticas,CIMAT数学研究センター
Zona arqueológica de Chiapa de Corzo,チャパ・デ・コルソ
Vuelo 576 de Aeroméxico,アエロメヒコ航空576便ハイジャック事件
Grupo Imagen,グルーポ・イマヘン
Observatorio Astronómico Nacional San Pedro Mártir,メキシコ国立天文台
Cañeros de Los Mochis,カニェロス・デ・ロス・モチス
Biblioteca Nacional de México,メキシコ国立図書館
Tlaltenango de Sánchez Román,トラルテナンゴ
Garnacha (alimento),ガルナチャス
Grutas de García,ガルシア洞窟
Accidente ferroviario de Guadalajara (1915),グアダラハラ鉄道事故
Municipio de Cuitzeo,クイツェオ・デル・ポルベニル
Argentina vs. Inglaterra (1986),1986・FIFAワールドカップ準々決勝・アルゼンチン対イングランド
Los cachirules,1988年メキシコサッカー連盟スキャンダル
Delfines del Carmen,シウダーデルカルメン・ドルフィンズ
Siete Leyes,シエテ・レイェス
Mineral de Pozos,ミネラル・デ・ポソス
Catedral de Cuernavaca,クエルナバカ大聖堂
Campeonato Femenino Sub-20 de la Concacaf de 2008,2008・CONCACAF・U-20女子選手権
Experimento de accidente de Boeing 727 en 2012,2012年ボーイング727型機墜落実験
Copa Mundial de Béisbol Sub-15 de 2012,第1回15U世界野球選手権大会
Café de olla,カフェ・デ・オジャ
Partido Encuentro Social,社会結集党
Estadio Emilio Ibarra Almada,エスタディオ・エミリオ・イバーラ・アルマーダ
Estadio Francisco Carranza Limón,エスタディオ・フランシスコ・カランサ・リモン
Estadio Revolución (béisbol),エスタディオ・レボルシオン
Estadio General Ángel Flores,エスタディオ・ヘネラル・アンヘル・フローレス
Estadio Tomás Oroz Gaytán,エスタディオ・トマス・オロス・ガイタン
Estadio Manuel Ciclón Echeverría,エスタディオ・マヌエル・シクロン・エチェバリア
Estadio Héctor Espino,エスタディオ・エクトル・エスピーノ
Pinos (Zacatecas),ピノス・(サカテカス州)
Estadio Teodoro Mariscal,エスタディオ・テオドーロ・マリスカル
Estadio Charros,エスタディオ・チャロス・デ・ハリスコ
Estadio Hermanos Serdán,エスタディオ・エルマノス・セルダン
International Wrestling Revolution Group,IWRG
Aerotrén (Ciudad de México),アエロトレン
Vuelo 230 de Aeroméxico,アエロメヒコ航空230便着陸失敗事故
Vuelo 229 de Aeroméxico,アエロメヒコ航空229便墜落事故
Atlético Español,アトレティコ・エスパニョールFC
Puente Tampico,タンピコ橋
Universidad Autónoma de Baja California,バハカリフォルニア自治大学
Toros de Tijuana,ティフアナ・ブルズ
Italika,イタリカ
Charros de Jalisco,チャロス・デ・ハリスコ
Río Salado de los Nadadores,サラド川・(メキシコ)
Iquib Balam,イキ・バラム
Top 100 México,トップ100メヒコ
Toryumon,闘龍門
Biblioteca Vasconcelos,バスコンセロス図書館
Anexo:Mexicanos que han jugado en la Major League Baseball,メキシコ出身のメジャーリーグベースボール選手一覧
Cártel de Jalisco Nueva Generación,ハリスコ新世代カルテル
Liceo Mexicano Japonés,日墨学院
Rieleros de Aguascalientes,アグアスカリエンテス・レイルロードメン
Los Perros del Mal,ペロス・デル・マール
Plan de San Diego,サンディエゴ計画
Los Metros,ロス・メトロス
Ojuela,オハエラ鉱山
Películas de luchadores,ルチャシネマ
Pox,ポッシュ・(飲料)
Xtreme Latin American Wrestling,エクストリーム・ラテン・アメリカン・レスリング
Zona arqueológica de Cholula,チョルーラ
Arena Ciudad de México,アレナ・シウダ・デ・メヒコ
Campeonato Femenino Sub-20 de la Concacaf de 2006,2006・CONCACAF・U-20女子選手権
Navidad en México,メキシコのクリスマス
Copa Chivas,コパ・チーバス
Pueblo chinanteco,チナンテコ族
Club Atlético de San Luis,アトレティコ・サン・ルイス
Estadio Nido de los Águilas,エスタディオ・カサスGEO
Guantes de Oro (México),グアンテス・デ・オロ
Salbut,サルブーテ
Guerreros Unidos,ゲレーロス・ウニドス・カルテル
International Champions Cup,インターナショナル・チャンピオンズ・カップ
Anexo:Terremotos en México,メキシコ地震
México en el Clásico Mundial de Béisbol 2009,2009・ワールド・ベースボール・クラシック・メキシコ代表
México en el Clásico Mundial de Béisbol 2006,2006・ワールド・ベースボール・クラシック・メキシコ代表
Toma de la Ciudad de México (1867),メキシコシティ包囲戦
Copa Panamericana de Voleibol Masculino de 2013,2013年バレーボール男子パンアメリカンカップ
Roscón de Reyes,ロスカ・デ・レジェス
Álvaro Obregón (Ciudad de México),アルバロ・オブレゴン・(メキシコシティ)
Selección femenina de sóftbol de México,ソフトボール女子メキシコ代表
Vuelo 725 de TAESA,TAESA725便墜落事故
Consejo Cultural Mundial,世界文化理事会
Campeonato Mundial de Voleibol Femenino Sub-23 de 2013,第1回世界U23女子バレーボール選手権
Ecatepec de Morelos,エカテペック
Morena (partido político),国民再生運動
Vuelo 704 de Mexicana de Aviación,メキシカーナ航空704便墜落事故
Zapatismo,サパティスモ
Tucumbalam,トゥクムバラム
Anexo:Gran Premio de México de 2015,2015年メキシコグランプリ
Bolero,ボレロ・(ダンス・音楽)
Fútbol Club Juárez,FCフアレス
Venustiano Carranza (Ciudad de México),ベヌスティアーノ・カランサ・(メキシコシティ)
Atlético Veracruz,アトレティコ・ベラクルス
México en los Juegos Olímpicos de Río de Janeiro 2016,2016年リオデジャネイロオリンピックのメキシコ選手団
México en el Clásico Mundial de Béisbol de 2013,2013・ワールド・ベースボール・クラシック・メキシコ代表
Municipio de Huasca de Ocampo,ウアスカ・デ・オカンポ
"Tratado de Amistad, Comercio y Navegación",日墨修好通商条約
Mayair,マヤ・エア
Clásico Mundial de Béisbol 2017,2017・ワールド・ベースボール・クラシック
Bravos de León,レオン・ブラボーズ
Colhuacan,コルワカン
Chamoyada,チャモヤーダ
Nochistlán de Mejía,ノチストラン・デ・メヒア
Desaparición forzada de Iguala de 2014,2014年メキシコ・イグアラ市学生集団失踪事件
Escuadrilla Elcano,エルカーノ飛行隊
Jalpa de Cánovas,ハルパ・デ・カノバス
Mexicable,メヒカブレ
Relaciones Japón-México,日本とメキシコの関係
Jala,ハラ・(ナヤリット州)
UFC Fight Night: Magny vs. Gastelum,UFC・Fight・Night:・Magny・vs.・Gastelum
Huracán Patricia,ハリケーン・パトリシア
Anexo:Gran Premio de México de 2016,2016年メキシコグランプリ
E-Prix de la Ciudad de México,メキシコシティeプリ
Elecciones federales de México de 2018,2018年メキシコ総選挙
Tuzos de la Universidad Autónoma de Zacatecas,トゥソスUAZ
WBSC Premier 12 de 2019,2019・WBSCプレミア12
Torneo de Los Cabos,アビエルト・メキシコ・ロス・カボス
Copa Mundial de Béisbol Sub-23 de 2016,2016・WBSC・U-23ワールドカップ
Los Ingobernables (lucha libre),ロス・インゴベルナブレス
Relaciones Kazajistán-México,カザフスタンとメキシコの関係
Campeonato Mundial de Triatlón de 2016,2016世界トライアスロンシリーズ
Campeonato Mundial de Voleibol Femenino Sub-20 de 2017,第19回バレーボール世界ジュニア女子選手権大会
Tlaxcala Fútbol Club,トラスカラFC
Levantamiento zapatista,サパティスタの反乱
UFC Fight Night: dos Anjos vs. Ferguson,UFC・Fight・Night:・dos・Anjos・vs.・Ferguson
Tragedia del Mercado de San Pablito de 2016,2016年サン・パブリート市場花火爆発事故
Anexo:Gran Premio de México de 2017,2017年メキシコグランプリ
México en los Juegos Olímpicos de Pyeongchang 2018,2018年平昌オリンピックのメキシコ選手団
Generales de Durango,ドゥランゴ・ジェネラルズ
Anexo:Gran Premio de México de 2018,2018年メキシコグランプリ
Terremoto de Chiapas de 2017,チアパス地震・(2017年)
Terremoto de Puebla de 2017,メキシコ中部地震
Capitanes de Ciudad de México,カピタネス・デ・シウダー・デ・メヒコ
México en los Juegos Olímpicos de Tokio 2020,2020年東京オリンピックのメキシコ選手団
Viacrucis del Migrante,キャラバン・(中米の移民)
Vuelo 2431 de Aeroméxico Connect,アエロメヒコ・コネクト2431便事故
Explosión en Tlahuelilpan,2019年メキシコ・パイプライン爆発事故
Estadio Alfredo Harp Helú,エスタディオ・アルフレド・ハルプ・ヘルー
Anexo:Gran Premio de México de 2019,2019年メキシコグランプリ
Cablebús,カブレブス
International Champions Cup 2019,インターナショナル・チャンピオンズ・カップ・2019
Preolímpico de Concacaf de 2020,2020年東京オリンピックのサッカー競技・北中米カリブ海予選
Copa Mundial de Béisbol Sub-23 de 2020,2020・WBSC・U-23ワールドカップ
Copa Mundial Femenina de Béisbol 2020,2021・WBSC女子野球ワールドカップ
Pandemia de COVID-19,新型コロナウイルス感染症の世界的流行・(2019年-)
UFC Fight Night: Rodríguez vs. Stephens,UFC・Fight・Night:・Rodríguez・vs.・Stephens
Leagues Cup,リーグスカップ
Accidente del Metro de la Ciudad de México de 2021,2021年メキシコシティ地下鉄高架橋崩落事故
Mariachis de Guadalajara,グアダラハラ・マリアッチス
México en los Juegos Olímpicos de Pekín 2022,2022年北京オリンピックのメキシコ選手団
Cancún Fútbol Club,カンクンFC
Mazatlán Fútbol Club,マサトランFC
Atlético Capitalino,アトレティコ・カピタリーノ
Anexo:Gran Premio de la Ciudad de México de 2022,2022年メキシコシティグランプリ
Campeonato Femenino de la Concacaf de 2022,2022・CONCACAF・Wチャンピオンシップ
Anexo:Gran Premio de la Ciudad de México de 2021,2021年メキシコシティグランプリ
UFC Fight Night: Moreno vs. Royval 2,UFC・Fight・Night:・Moreno・vs.・Royval・2