Angela Merkel,앙겔라 메르켈
"Albert Speer (Architekt, 1934)",알베르트 슈페어 (1934년)
Anja Kling,아냐 클링
Nicolette Krebitz,니콜레테 크레비츠
Gertrud von le Fort,게르트루트 폰 르포르
Stefano Celozzi,슈테파노 첼로치
"Wilhelm His (Mediziner, 1863)",빌헬름 히스 주니어
Roland Freisler,롤란트 프라이슬러
Thomas Kretschmann,토마스 크레치만
Hildegard Knef,힐데가르트 크네프
Tibor Pleiß,티보어 플라이스
Maximilian von Weichs,막시밀리안 폰 바이흐스
Michael Schenker,미하엘 쉥커
Wilhelm von Preußen (1882–1951),빌헬름 폰 프로이센 황태자
Christine Kaufmann,크리스티네 카우프만
Thomas Godoj,토마스 고도이
Katrin Sass,카트린 자스
Katja Flint,카차 플린트
Katharina Thalbach,카타리나 탈바흐
Mathieu Carrière,마티외 카리에
Alexander Klaws,알렉산더 클라우스
Emma zu Waldeck und Pyrmont,에마 추 발데크운트피르몬트
Gedeon Burkhard,게데온 부르크하르트
Karl Hanke,카를 항케
Alice Schwarzer,알리체 슈바르처
Karl Kaufmann (Gauleiter),카를 카우프만
Maria Anna von der Pfalz (1667–1740),마리아 아나 폰 팔츠노이부르크
Viktoria von Baden,바덴의 빅토리아
John Rabe,욘 라베
Viktoria von Hessen-Darmstadt,빅토리아 폰 헤센다름슈타트 대공녀
Andrea Sawatzki,안드레아 사바츠키
Heiko Gerber,하이코 게르버
Ulric Neisser,율릭 나이서
Ingrid Krämer-Gulbin,잉그리트 크레머
Fritz Feld,프리츠 펠드
Rolf Hoppe,롤프 호페
Bernhard Rust,베른하르트 루스트
Walter Röhrl,발터 뢰를
Udo Beyer,우도 바이어
Hans-Jürgen Stumpff,한스위르겐 슈툼프
Ruth Fischer,루트 피셔
Alexander Graf Lambsdorff,알렉산더 람프스도르프
Timo Boll,티모 볼
Arthur Nebe,아르투어 네베
Georg Dionysius Ehret,게오르크 에레트
Kathrin Neimke,카트린 나임케
Matthias Erzberger,마티아스 에르츠베르거
Theo Albrecht,테오 알브레히트
Gerald Götting,게랄트 괴팅
Patrick Hausding,파트리크 하우스딩
Franz Ningel,프란츠 닝겔
Marco Hofschneider,마르코 호프슈나이더
Kurt Neumann (Regisseur),커트 뉴먼
Klaus Nomi,클라우스 노미
Markus Schulz,마르쿠스 슐츠
Walter Schellenberg (SS-Mitglied),발터 셸렌베르크
Pascalina Lehnert,파스칼리나 레네르트
Walter Kaufmann (Philosoph),월터 카우프만 (철학자)
Isolda Dychauk,이졸다 뒤하우크
Kurt Raab,쿠르트 라프
Friedrich Paschen (Physiker),프리드리히 파셴
Fritz Wunderlich,프리츠 분더리히
Philipp Rösler,필리프 뢰슬러
Rolf Rendtorff,롤프 렌토르프
Otto Georg Thierack,오토 게오르크 티라크
Anna Maria Mühe,안나 마리아 뮈헤
Jens Keller,옌스 켈러
Günther Quandt,귄터 크반트
Josef Terboven,요제프 테르보펜
Brigitte Mohnhaupt,브리기테 몬하우프트
Horst Sindermann,호르스트 진더만
Annegret Richter,안네그레트 리히터
Karl Wolff (SS-Mitglied),카를 볼프
Ralf Rangnick,랄프 랑니크
Rudolf Kempe,루돌프 켐페
Heide Ecker-Rosendahl,하이데 로젠달
Rudolf Bayer (Informatiker),루돌프 바이어
Florian Henckel von Donnersmarck,플로리안 헨켈 폰 도너스마르크
Hans Henny Jahnn,한스 헤니 얀
Veronica Ferres,베로니카 페레스
Martin Dibelius,마르틴 디벨리우스
Waldemar Bonsels,발데마르 본젤스
Kostja Ullmann,코스차 울만
Ferdinand von Schirach,페르디난트 폰 시라흐
Fritz London,프리츠 론돈
Uwe Daßler,우베 다슬러
Paul Schäfer (Sektengründer),파울 셰퍼
Maxi Herber,막시 헤르버
Heinrich von Vietinghoff,하인리히 폰 피팅호프
Ilona Slupianek,일로나 슬루피아네크
Michael Greis,미하엘 그라이스
Jan Ullrich,얀 울리히
Manfred Rommel,만프레트 로멜
Eva Habermann,에바 하버만
Peter Schreier,페터 슈라이어
Carl Hilpert,카를 힐페르트
Hans Jacob Reissner,한스 라이스너
Sandra Hüller,잔드라 휠러
Michelle (Sängerin),미셸 (독일의 가수)
Horst Heldt,호르스트 헬트
Christian Ehrhoff,크리스티안 에어호프
Natalie Geisenberger,나탈리 가이젠베르거
Uwe Krupp,우베 크루프
Carl Severing,카를 제베링
Menahem Pressler,메나헴 프레슬러
Paul Moritz Warburg,폴 워버그
Ludwig VI. (Pfalz),루트비히 6세 폰 데어 팔츠 선제후
Jens Todt,옌스 토트
Guido Westerwelle,기도 베스터벨레
René Pape,르네 파페
Hans Conzelmann (Theologe),한스 콘젤만
Marvin Plattenhardt,마르빈 플라텐하르트
Ulli Lommel,울리 롬멜
Jasmin Tabatabai,야스민 타바타바이
Katrin Himmler,카트린 힘러
Kristina Bach,크리스티나 바흐
Else Lasker-Schüler,엘제 라스커쉴러
August Horch,아우구스트 호르히
Kamil Glik,카밀 글리크
Wilhelm Karl von Urach,빌헬름 카를 폰 우라흐 공작
Leo Geyr von Schweppenburg,레오 가이어 폰 슈베펜부르크 남작
Wilhelm Stuckart,빌헬름 슈투카르트
Otto Carius,오토 카리우스
Erich Köhler,에리히 쾰러
Bruno Streckenbach,브루노 슈트레켄바흐
Martin Chemnitz (Theologe),마르틴 켐니츠
Dea Loher,데아 로어
Tobias Sammet,토비아스 사멧
Julius Schreck,율리우스 시레크
Sebastian Koch,제바스티안 코흐
Heinrich Müller (Gestapo),하인리히 뮐러
Katarina Witt,카타리나 비트
Dimitrij Ovtcharov,디미트리 옵차로프
Claudia Leistner,클라우디아 라이슈트너
Robert Schwentke,로베르트 슈벤트케
Emil Schürer,에밀 쉬러
Ilse Koch,일제 코흐
Nicole Struse,니콜 슈트루제
Dieter Laser,디터 라저
Thomas Bach,토마스 바흐
André Schürrle,안드레 쉬를레
Daniel Brühl,다니엘 브륄
Ernst Röhm,에른스트 룀
Franz Müntefering,프란츠 뮌터페링
Moritz Bleibtreu,모리츠 블라이프트로이
Maria Schrader,마리아 슈라더
Ingrid Caven,잉그리드 카벤
Christoph Schubert (Eishockeyspieler),크리스토프 슈베르트 (아이스하키 선수)
Ernst Boris Chain,언스트 체인
Erik H. Erikson,에릭 에릭슨
Nora Tschirner,노라 치르너
Hans Hotter,한스 호터
Hans Fritzsche,한스 프리체
Karl Gebhardt,카를 게프하르트
Ernst August von Hannover (1954),에른스트 아우구스트 폰 하노버 (1954년)
David Kross,다비트 크로스
Holger Behrendt,홀거 베렌트
Natalia Wörner,나탈리아 뵈르너
Tobias Regner,토비아스 레그너
Walter Giller,발터 길러
Robert Ley,로베르트 라이
Hans Jürgen Eysenck,한스 아이젠크
Anton Dostler,안톤 도슈틀러
Friedrich August von Finck,프리드리히 아우구스트 폰 피흐
Cornelia Froboess,코르넬리아 프로뵈스
Friedrich Wilhelm Gotter,프리드리히 빌헬름 고터
Arthur Rudolph,아르투어 루돌프
Marcel Goc,마르셀 고치
Dedê,레오나르두 지 지우스 산투스
Juliane Köhler (Schauspielerin),율리아네 쾰러
Otto Braun,오토 브라운 (1872년)
Max August Zorn,막스 초른
Robert Förster,로베르트 푀르스터
Bettina Zimmermann,베티타 치머만
Martina Müller (Tennisspielerin),마르티나 뮐러 (테니스 선수)
Oskar Dirlewanger,오스카르 디를레방거
Günther Rall,귄터 랄
Marco Sturm,마르코 슈투름
Thomas Nipperdey,토마스 니퍼다이
Alexander Beyer,알렉산더 바이어
Wolfgang Borchert,볼프강 보르헤르트
Heinz Linge,하인츠 링에
Arthur Scherbius,아르투르 슈르비우스
Andreas Krieger,안드레아스 크리거
Simone Laudehr,지모네 라우더
Daniel Fridman,다니엘 프리드만
Margit Carstensen,마르기트 카르스텐센
Kurt Symanzik,쿠르트 쥐만치크
Gerd von Rundstedt,게르트 폰 룬트슈테트
Karl-Otto Apel,카를오토 아펠
Simone Hauswald,지모네 하우스발트
Jens Voigt,옌스 포이크트
Hans Georg Dehmelt,한스 게오르크 데멜트
Anton Malloth,안톤 말로트
Johann Georg (Brandenburg-Jägerndorf),브란덴부르크 변경백 요한 게오르크
Hans Hermann von Katte,한스 헤르만 폰 카테
Maik Bullmann,마이크 불만
Serge Gnabry,세르주 그나브리
Robert Alexy,로베르트 알렉시
Hans-Wilhelm Müller-Wohlfahrt,한스빌헬름 뮐러볼파르트
Per Mertesacker,페어 메르테자커
Mark Keller (Schauspieler),마르크 켈러
Ole Bischof,올레 비쇼프
Wilhelm Ritter von Leeb,빌헬름 폰 레프 기사
Robin Szolkowy,로빈 숄코비
Doris Schröder-Köpf,도리스 슈뢰더쾨프
Fedor von Bock,페도어 폰 보크
Walter Model,발터 모델
Heinz Guderian,하인츠 구데리안
Anni Friesinger-Postma,아니 프리징거포스트마
Hartwig Gauder,하르트비히 가우더
Hannah Arendt,한나 아렌트
Herbert Marcuse,헤르베르트 마르쿠제
Gottlob Frege,고틀로프 프레게
Stephan Schröck,슈테판 슈뢰크
Theo Jörgensmann,테오 요르겐스만
Udo Dirkschneider,우도 디르크슈나이더
Babett Peter,바베트 페터
Hans Denck,한스 뎅크
Heidi Klum,하이디 클룸
Albert Speer,알베르트 슈페어
Gerhard Ertl,게르하르트 에르틀
Gabriel Heinze,가브리엘 에인세
Sarah Connor,사라 코너
Arne Friedrich,아르네 프리드리히
Sibel Kekilli,지벨 케킬리
Peter Gay,피터 게이
Christian Petzold (Regisseur),크리스티안 페촐트
Frank Giering,프랑크 기링
Lutz Heßlich,루츠 헤슬리히
Ulrich Matthes,울리히 마테스
Pasquale Passarelli,파스쿠알레 파사렐리
Rolf Carls,롤프 카를스
David Katz (Psychologe),데이비드 카츠
Ernst Jacobi,에른스트 야코비
Hans Frank,한스 프랑크
Konrad Zuse,콘라트 추제
Otto von Guericke,오토 폰 게리케
Marcel Schlutt,마르셀 슐루트
Irma Grese,이르마 그레제
Serdar Taşçı,세르다르 타쉬츠
André Hennicke,안드레 헤니케
Oswald Mathias Ungers,오스발트 마티아스 웅거스
Otto Friedrich Bollnow,오토 볼노브
Paul Panzer (Schauspieler),폴 팬저
Bruno Richard Hauptmann,리처드 하우프트먼
Bernhard von Bülow,베른하르트 폰 뷜로
Günter Blobel,권터 블로벨
Roland Emmerich,롤란트 에머리히
Gerhard Ebeling,게하르트 에벨링
Michael Gwisdek,미하엘 그비스데크
Manuela Schwesig,마누엘라 슈베지히
Carlo Ljubek,카를로 류베크
Max Amann (Politiker),막스 아만
Christian Träsch,크리스티안 트레슈
Eckhart Tolle,에크하르트 톨레
Franz Pfnür,프란츠 프뉘어
Hermann Scherchen,헤르만 셰르헨
Ernst Kretschmer,에른스트 크레치머
Conrad Schumann,콘라트 슈만
Aby Warburg,아비 바르부르크
Roberto Hilbert,로베르토 힐버트
Britta Heidemann,브리타 하이데만
Alfred Einstein,알프레트 아인슈타인
Julia Jentsch,율리아 옌치
Assani Lukimya,아사니 루키미아물롱고티
Leo Weisgerber,레오 바이스게르버
Frederick Lau,프레더릭 라우
Dietrich Eckart,디트리히 에카르트
Wilhelm Backhaus,빌헬름 박하우스
Alexander von Kluck,알렉산데르 폰 클루크
Wolf Kahler,볼프 칼러
Lou Bega,루 베가
Paul Biedermann,파울 비더만
Jürgen Moltmann,위르겐 몰트만
Wilhelm Herrmann,빌헬름 헤르만
Carlo Schmid,카를로 슈미트
Gunda Niemann-Stirnemann,군다 니만슈티르네만
Ernst Troeltsch,에른스트 트뢸치
Karl Korsch,카를 코르슈
Erhard Heiden,에르하르트 하이덴
Herbert Norkus,헤르베르트 노르쿠스
Günter Litfin,귄터 리트핀
Anja Mittag,아냐 미타크
Theodor Weißenberger,테오도어 바이센베르거
Kurt Heegner,쿠르트 헤그너
Adam Bousdoukos,아담 부스두코스
Thanos Petsos,타노스 페초스
Klaus Löwitsch,클라우스 뢰비치
Charlotte Bühler,샤를로테 뷜러
Julius Curtius (Politiker),율리우스 쿠르티우스
Hans Conon von der Gabelentz,한스 코논 폰 데어 가벨렌츠
Sig Ruman,지그 루만
Karl Hessenberg,카를 헤센베르크
Anita Pallenberg,아니타 팔렌버그
Lotte Lehmann,로테 레만
Gustav Herglotz,구스타프 헤르글로츠
Josef Bühler,요제프 뷜러
Dieter Hecking,디터 헤킹
Hannes Messemer,하네스 메세머
Sabrina Setlur,사브리나 세트루어
Ingrid Auerswald,잉그리트 아우어스발트
Philipp Bouhler,필리프 보울러
Rosel Zech,로젤 제크
Sebastian Rudy,제바스티안 루디
Bibiana Steinhaus,비비아나 슈타인하우스
Sven Ulreich,스벤 울라이히
Matthias Habich,마티아스 하비흐
Manfred Schnelldorfer,만프레트 슈넬도르퍼
Philipp Plein,필립 플레인
"Josef Müller (Politiker, 1898)",요제프 뮐러
Josef Straßberger (Gewichtheber),요제프 슈트라스베르거
Martin Harnik,마르틴 하르니크
Erich Koch,에리히 코흐
Heino Ferch,하이노 페르히
Nina Schenk Gräfin von Stauffenberg,니나 솅크 그래핀 폰 슈타우펜베르크
Hans Ehard,한스 에하르트
Heinz Günther Guderian,하인츠 귄터 구데리안
Ralf Bißdorf,랄프 비스도르프
Sebastian Urzendowsky,제바스티안 우르첸도프스키
Jakob Wassermann,야코프 바서만
Ernst-Robert Grawitz,에른스트로베르트 그라비츠
Danny Schwarz,대니 슈바르츠
Michael Verhoeven,미하엘 페어회벤
Karl Del’Haye,카를 델하예
Lothar von Richthofen,로타르 폰 리히트호펜 남작
Elke Schall-Süß,엘케 샬
Franz Ritter von Epp,프란츠 폰 에프 기사
Joseph Berchtold,요제프 베르히톨트
Kurt Sanderling,쿠르트 잔덜링
Günter Guillaume,귄터 기욤
Viktor Brack,빅토어 브라크
Peter Högl,페터 회글
Willy Fritsch,빌리 프리치
Georg Kaiser,게오르크 카이저
Wolfgang Iser,볼프강 이저
Christian Tramitz,크리스티안 트라미츠
Dieter Hoeneß,디터 회네스
Thomas Luckmann,토마스 루크만
"Dieter Müller (Fußballspieler, 1954)",디터 뮐러
Karl-Heinz Schnellinger,카를하인츠 슈넬링거
Tilly Fleischer,틸리 플라이셔
Alfred Müller-Armack,알프레드 뮐러 아르막
Johann Baptist Metz,요한 밥티스트 메츠
Hilde Schramm,힐데 슈람
Johannes Piscator,요한 피스카토르
Max Riemelt,막스 리멜트
Sylvester Groth,질베스터 그로트
Jennifer Ulrich,예니퍼 울리히
Heinrich Khunrath,하인리히 쿤라트
Xenia Seeberg,크세니아 제베르크
Nadine Keßler,나딘 케슬러
Rick Kavanian,릭 카바니안
Albrecht Mayer,알브레히트 마이어
Karl Bartos,카를 바르토스
Joseph Süß Oppenheimer,요제프 쥐스 오펜하이머
Horst Buchholz,호르스트 부흐홀츠
Thomas Strunz,토마스 슈트룬츠
Wilhelm Gliese,빌헬름 글리제
Edgar Feuchtinger,에트가어 포이흐팅거
Albert Bormann,알베르트 보어만
Georg-Hans Reinhardt,게오르크한스 라인하르트
Walter Dornberger,발터 도른베르거
Oka Nikolov,오카 니콜로프
Oksana Chusovitina,옥사나 추소비티나
Artur Axmann,아르투어 악스만
Christian Ulmen,크리스티안 울멘
Dagmar Lurz,다그마 루르츠
Dieter Hallervorden,디터 할러포르덴
Oliver Hirschbiegel,올리버 히르슈비겔
Georg Gänswein,게오르크 겐스바인
Alexander Kluge,알렉산더 클루게
Ute Lemper,우테 렘퍼
Arno Holz,아르노 홀츠
Frei Otto,프라이 오토
Norbert Haug,노르베르트 하우크
Martina Hellmann,마르티나 헬만
"Wolfgang Becker (Regisseur, 1954)",볼프강 베커
Astrid Kumbernuss,아스트리트 쿰베르누스
Charles P. Steinmetz,찰스 프로테우스 스타인메츠
Benno Fürmann,벤노 퓌만
Irmgard Seefried,이름가르트 제프리트
Adolf Friedrich zu Mecklenburg,아돌프 프리드리히 추 메클렌부르크 대공자
Günter Behnisch,귄터 베니슈
Dietrich Bonhoeffer,디트리히 본회퍼
Hugo von Seeliger,휴고 폰 젤리거
Philipp Melanchthon,필리프 멜란히톤
Felix Loch,펠릭스 로흐
Ferdinand Alexander Porsche,페르디난트 알렉산더 포르셰
Wilhelm Mohnke,빌헬름 몽케
Boris Becker,보리스 베커
Rudolf Bultmann,루돌프 불트만
Yıldıray Baştürk,이을드라이 바쉬튀르크
Nikolaus Ludwig von Zinzendorf,니콜라우스 루트비히 폰 친첸도르프
Martin Eichler,마르틴 아이클러
Valeska Gert,발레스카 거트
Gordon M. Gollob,고르돈 골로프
Helmut Rahn,헬무트 란
Volker Wieker,폴커 비커
Otto Schniewind (Admiral),오토 슈니빈트
Elga Andersen,엘가 앤더슨
Franz Ludwig Schenk Graf von Stauffenberg,프란츠루트비히 솅크 그라프 폰 슈타우펜베르크
Charles Bukowski,찰스 부코스키
Otto von Habsburg,오토 폰 합스부르크 대공
Katja Kipping,카탸 키핑
Philipp von Hessen (Politiker),필립 폰 헤센
Helene zu Waldeck und Pyrmont,헬레네 추 발데크운트피르몬트
Holger Meins,홀거 마인스
Axel Honneth,악셀 호네트
Martin Kaymer,마르틴 카이머
Albrecht II. Alcibiades,알브레히트 2세 알키비아데스
Peter Berling,페터 베를링
Hans-Georg Gadamer,한스게오르크 가다머
Christoph Eschenbach,크리스토프 에셴바흐
Christian Thielemann,크리스티안 틸레만
Joachim Fuchsberger,요아힘 푹스베르거
Wilhelm Keitel,빌헬름 카이텔
Hans Zimmer,한스 치머
Mehmet Kurtuluş,메멧 쿠투루스
Jürgen Habermas,위르겐 하버마스
Ingo Naujoks,잉고 나우욕스
Ellen Allien,엘렌 알리엔
Emmy Göring,에미 괴링
Dennis Gansel,데니스 간젤
Dieter Baumann,디터 바우만
Ursula von der Leyen,우르줄라 폰데어라이엔
Ricarda Huch,리카르다 후흐
Otto Schily,오토 실리
Petra Felke,페트라 펠케
Matthias Schweighöfer,마티아스 슈바이크회퍼
Heinrich Ratjen,도라 라첸
Fritz Schäffer,프리츠 셰퍼
Armin Laschet,아르민 라셰트
Georg Niedermeier,게오르크 니더마이어
Mehmet Ekici,메흐메트 에키지
Tunay Torun,투나이 토룬
Rolf Hochhuth,롤프 호흐후트
Hans Grodotzki,한스 그로도츠키
Ria Baran,리아 바란
Jakob Michael Reinhold Lenz,야코프 미하엘 라인홀트 렌츠
Karl-Josef Rauber,카를요제프 라우버
Michael Habeck,미하엘 하베크
Rolf Milser,롤프 밀저
Ulrike Folkerts,율리크 폴커츠
Dieter Rams,디터 람스
Alfred Andersch,알프레트 안더슈
Heinz Harmel,하인츠 하르멜
Fritz Straßmann,프리츠 슈트라스만
Carl Philipp Emanuel Bach,카를 필리프 에마누엘 바흐
Hans Zender,한스 첸더
Erich Klausener,에리히 클라우제너
Karin Büttner-Janz,카린 얀츠
Johann Samuel König,요한 사무엘 쾨니히
Olivia Pascal,올리비아 파스칼
Nadja Uhl,나디아 울
Günter Eich,귄터 아이히
Heinz Rühmann,하인츠 뤼만
Engelbert I. von Köln,엥엘베르트 1세
Fritz von Unruh,프리츠 폰 운루
Otto Wöhler,오토 뵐러
Gerhard von Rad,게르하르트 폰 라트
Sascha Klein,자샤 클라인
Herbert Knaup,헤르베르트 크나우프
Alfred Zeisler,알프레드 자이슬러
Theodor Steltzer,테오도어 슈텔처
"Karl Mayr (Politiker, 1883)",카를 마이어
Berthold Maria Schenk Graf von Stauffenberg,베르톨트 마리아 솅크 그라프 폰 슈타우펜베르크
Magdalena Neuner,마그달레나 노이너
Eberhard von Mackensen,에버하르트 폰 마켄젠
Henrich Focke,하인리히 포케
Jan Frodeno,얀 프로데노
Barbara Sukowa,바르바라 수코바
Rainer Maria Rilke,라이너 마리아 릴케
Johannes Volkelt,요하네스 폴켈트
Johann Pachelbel,요한 파헬벨
Martin Bormann junior,마르틴 아돌프 보어만
Adolf Bestelmeyer,아돌프 베스텔마이어
Karl Dönitz,카를 되니츠
Edmund Heines,에드문트 하이네스
Wilhelm Koppe,빌헬름 코페
Stefan Leko,스테판 레코
Florian Lukas,플로리안 루카스
Ernst Käsemann,에른스트 케제만
Kurt Eisner,쿠르트 아이스너
Agnes Bernauer,아그네스 베르나우어
Wilhelm Brückner,빌헬름 브뤼크너
Heinrich Eberbach,하인리히 에버바흐
Martin Schwarzschild,마르틴 슈바르츠실트
Werner Kempf (General),베르너 켐프
Bernhard Vogel (Ministerpräsident),베른하르트 포겔
Hans Joachim Schellnhuber,한스 요아힘 셸른후버
Wolfgang Ketterle,볼프강 케털리
Walther Bothe,발터 보테
Heinrich Mann,하인리히 만
Kirsten Dunst,커스틴 던스트
Marco Pezzaiuoli,마르코 페차이올리
Johann Conrad Dannhauer,요한 콘라트 단하우어
Georg Grozer junior,게오르크 그로처
Dietmar Lorenz (Judoka),디트마어 로렌츠
Günther Bornkamm,귄터 보른캄
Martin Opitz,마르틴 오피츠
Lilli Palmer,릴리 팔머
Heinrich von Brentano,하인리히 폰 브렌타노
Werner Kohlmeyer,베르너 콜마이어
Michael Ende,미하엘 엔데
Nicolai Hartmann,니콜라이 하르트만
Karl Jaspers,카를 야스퍼스
Simon Verhoeven,지몬 페어회벤
Marquard Sebastian Schenk von Stauffenberg,마르크바르트 제바스티안 솅크 폰 슈타우펜베르크
Henriette von Schirach,헨리에테 폰 시라흐
Kim Petras,킴 페트라스
Fritz Bayerlein (Generalleutnant),프리츠 바이에를라인
Erwin Piscator,에르빈 피스카토어
Alexander Gottlieb Baumgarten,알렉산데르 고트리프 바움가르텐
Alfred Weber,알프레트 베버
Judith Hermann,유디트 헤르만
"Wilhelm Adam (General, 1877)",빌헬름 아담 (1877년)
Jens Spahn,옌스 슈판
Richard Sammel,리하르트 자멜
Irm Hermann,임 허만
Heinz Hopf,하인츠 호프
Christian Berkel,크리스티안 베르켈
Hermann Oberth,헤르만 오베르트
Romy Schneider,로미 슈나이더
Paul Augustin Mayer,파울 아우구스틴 마이어
Wilhelm Ackermann (Mathematiker),빌헬름 아커만
Max Scheler,막스 셸러
Ernst Friedrich Schumacher,에른스트 프리드리히 슈마허
Peter Fox,피터 폭스 (음악가)
Heinz Hilpert,하인츠 힐페르트
Jan Niklas,얀 니클라스
Walter Gieseking,발터 기제킹
Rani Khedira,라니 케디라
Johann Bayer (Astronom),요한 바이어
Manfred Zapatka,만프레트 차파트카
Richard Courant,리하르트 쿠란트
Felix Neureuther,펠릭스 노이로이터
Ernst Deutsch,에른스트 도이치
Horst Mahler,호르스트 말러
Stefan Heym,슈테판 하임
Kurt Gerstein,쿠르트 게르슈타인
Hans Joachim Pabst von Ohain,한스 폰 오하인
Ulrike Meinhof,울리케 마인호프
Tony Martin (Radsportler),토니 마르틴
Meister Eckhart,마이스터 에크하르트
Susanne Lothar,주자네 로타어
Ferry Porsche,페리 포르셰
Elyas M’Barek,엘리아스 음바레크
Fritz Kater,프리츠 카터
Kurt Student,쿠르트 슈투덴트
Nico Hülkenberg,니코 휠켄베르크
Erich Kästner,에리히 케스트너
Alexander Granach,알렉산더 그라나흐
Margarete Schütte-Lihotzky,마가레테 쉬테-리호츠키
Winfried Kretschmann,빈프리트 크레치만
Olaf Scholz,올라프 숄츠
Arno Breker,아르노 브레커
Klaus Teuber,클라우스 토이버
Wassily Kandinsky,바실리 칸딘스키
Augustin Bea,아우구스틴 베아
Karoline Herfurth,카롤리네 헤르푸르트
Manfred Eigen,만프레트 아이겐
Bernhard Wicki,베른하르트 비키
Gerhard Herzberg,게르하르트 헤르츠베르크
Hans Fischer (Chemiker),한스 피셔
Eugen Dühring,카를 뒤링
Max Dessoir,막스 데소이어
Hans Delbrück,한스 델브뤼크
Elisabeth Trissenaar,엘리자베스 트리센나
Heinrich Cornelius Agrippa von Nettesheim,하인리히 코르넬리우스 아그리파 폰 네테스하임
Kurt Alder,쿠르트 알더
Robin Knoche,로빈 크노헤
Eva Mattes,에바 마테스
Karl Kautsky,카를 카우츠키
Richard Dehmel,리하르트 데멜
Johann Deisenhofer,요한 다이젠호퍼
Miroslav Klose,미로슬라프 클로제
Ralf Moeller,랄프 묄러
Oskar Barnack,오스카 바르낙
Fritz Gerlich,프리츠 게를리히
Walther Nehring,발터 네링
Mesut Özil,메수트 외질
Wilhelm Redieß,빌헬름 레디스
Joseph Keilberth,요제프 카일베르트
Wilhelm Schepmann,빌헬름 셰프만
Adolf Strauß,아돌프 슈트라우스
Bernhard von Sachsen-Weimar,베른하르트 폰 작센바이마르
Percy Adlon,퍼시 아들론
Friedrich Bergius,프리드리히 베르기우스
Hans von Euler-Chelpin,한스 폰 오일러켈핀
Otto Diels,오토 딜스
Jürgen Klopp,위르겐 클로프
Stephan Engels,슈테판 엥겔스
Walter Gropius,발터 그로피우스
Sebastian Jung,제바스티안 융
Hermann Prey,헤르만 프라이
Sebastian Münster,제바스티안 뮌스터
Karl August Wittfogel,카를 아우구스트 비트포겔
Carl Friedländer,카를 프리들란더
Luigi Colani,루이지 꼴라니
Hilde Gerg,힐데 게르크
Josef Bierbichler,요제프 비어비흘러
Eduard Spranger,에두아르트 슈프랑어
Ludwig Crüwell,루트비히 크뤼벨
Karl-Wilhelm von Schlieben,카를빌헬름 폰 슐리벤
Karl Ziegler,카를 치글러
Robert Huber,로베르트 후버
Alfred Naujocks,알프레트 나우요크스
Otto Strasser,오토 슈트라서
Karl Böhm,카를 뵘
Ingo Steinhöfel,잉고 슈타인회펠
Peter Hacks,페터 학스
Wolfgang Sawallisch,볼프강 자발리슈
Friedrich Hund,프리드리히 훈트
Frank-Walter Steinmeier,프랑크발터 슈타인마이어
Barnaby Metschurat,바르나비 메추라트
Angela Schanelec,앙겔라 샤넬레크
Jo Weil,요 바일
Eva Padberg,에바 파트베르크
Ossi Oswalda,오시 오스발다
Birthe Wolter,비르데 볼터
Klaus Tennstedt,클라우스 텐슈테트
Devid Striesow,데비드 슈트리조
Nadja Auermann,나댜 아우어만
Baki Davrak,바키 다브렉
Markus Babbel,마르쿠스 바벨
Hermann Amandus Schwarz,헤르만 아만두스 슈바르츠
Petra Kelly,페트라 켈리
Melitta Bentz,멜리타 벤츠
Greta Schröder,그레타 슈뢰더
Christoph Daum,크리스토프 다움
Dietrich von Choltitz,디트리히 폰 콜티츠
Otto Braun (Parteifunktionär),오토 브라운 (1900년)
Fredi Bobic,프레디 보비치
