Angela Merkel,앙겔라 메르켈
Hans-Hermann Hoppe,한스헤르만 호페
Christian Gentner,크리스티안 겐트너
Felix Hoffmann (Chemiker),펠릭스 호프만
Laura Berlin,로라 베를린
Andrea Berg,안드레아 베르크
Ludwig Prandtl,루트비히 프란틀
Georg Bednorz,요하네스 게오르크 베드노르츠
Nastassja Kinski,나스타샤 킨스키
Franz Rosenzweig,프란츠 로젠츠바이크
Max Wolf,막스 볼프
Matthias Koeberlin,마티아스 쾨베를린
Bahar Kizil,바하르 크즐
Alexander Schenk Graf von Stauffenberg,알렉산더 솅크 그라프 폰 슈타우펜베르크
Bernhard Schlink,베른하르트 슐링크
Jawed Karim,자베드 카림
Nina Hoss,니나 호스
Hermann Graf,헤르만 그라프
Karl Lagerfeld,카를 라거펠트
Claudia Schiffer,클라우디아 시퍼
Gisela Hahn,기젤라 한
Franz Schafheitlin,프란츠 샤프하이틀린
Malu Dreyer,말루 드라이어
Elisabeth Schüssler Fiorenza,엘리자베스 쉬슬러 피오렌자
Hans Robert Jauß,한스 로베르트 야우스
Gustaf Gründgens,구스타프 그뤼드겐스
Johannes Rydzek,요하네스 뤼트체크
Moritz von Sachsen (1696–1750),모리스 드 삭스
Reinhart Koselleck,라인하르트 코젤레크
Johann der Beständige,요한 폰 작센 선제후
Anton Raphael Mengs,안톤 라파엘 멩스
Ernst Jünger,에른스트 윙어
Peter Behrens,페터 베렌스
Adam Schall von Bell,요한 아담 샬 폰 벨
Erich Mendelsohn,에리히 멘델손
Horst Janson,호르스트 얀존
Mario Adorf,마리오 아도르프
Senna Gammour,세나 그무르
Karl Haushofer,카를 하우스호퍼
Karl Richter (Musiker),칼 리히터
Peter Fechter,페터 페흐터
Suzanne von Borsody,수잔 본 보소디
Fabian Hambüchen,파비안 함뷔헨
Johanna Wokalek,요하나 보칼레크
Armin Veh,아어민 페
Richard Kroner,리처드 크로너
Johann Tetzel,요한 테첼
Baldur von Schirach,발두어 폰 시라흐
Friederike von Hannover,프레데리케 폰 하노버
Uwe Boll,우베 볼
Jürgen Prochnow,위르겐 프로흐노
Edith Stein,에디트 슈타인
Beno Gutenberg,베노 구텐베르크
Tim Borowski,팀 보로프스키
Adolf Dassler,아돌프 다슬러
Klaus Schwab,클라우스 슈바프
Alfred Bucherer,알프레드 부헤러
Matthias Ettrich,마티아스 에트리히
Gerd Binnig,게르트 비니히
Max Delbrück (Biophysiker),막스 델브뤼크
Lothar Wolleh,로타르 볼레
Jürgen Ehlers (Physiker),위르겐 엘러스
Heinrich II. (Braunschweig-Wolfenbüttel),하인리히 5세 폰 브라운슈바이크뤼네부르크 공작
Brigitte Helm,브리짓 헴
Karl Mannheim,카를 만하임
Max Horkheimer,막스 호르크하이머
Waldemar Fegelein,발데마르 페겔라인
Johann Georg Faust,요한 게오르크 파우스트
Karl-Theodor zu Guttenberg,카를테오도어 추 구텐베르크
Petra Dallmann,페트라 달만
Gottfried Böhm,고트프리트 뵘
Philipp Boy,필리프 보이
Frank Appel,프랑크 아펠
Carl Zuckmayer,카를 추크마이어
Christoph Waltz,크리스토프 발츠
Hans Werner Henze,한스 베르너 헨체
Albrecht Alt,알브레흐트 알트
Monika Sozanska,모니카 조찬스카
Wolfhart Pannenberg,볼프하르트 판넨베르크
Julian Schieber,율리안 쉬버
Tobias Schenke,토비아스 솅케
Martin Lanig,마틴 라니히
Sami Allagui,사미 알라구이
Florian David Fitz,플로리안 다비트 피츠
Franz Boas,프란츠 보아스
Marcel Nguyen,마르셀 응우옌
Mohamed Zidan,무함마드 지단
Andreas Baader,안드레아스 바더
Rudolf von Sebottendorf,아담 알프레트 루돌프 글라우어
Otto Kumm,오토 쿰
Dieter Althaus,디터 알트하우스
Conrad Böcker,콘라트 뵈커
Wilhelm Frick,빌헬름 프리크
Dieter Bohlen,디터 볼렌
August von Mackensen,아우구스트 폰 마켄젠
Eberhard Jüngel,에베하르드 융엘
Johannes Steinhoff,요하네스 슈타인호프
Gert Fröbe,게르트 프뢰베
W. G. Sebald,W. G. 제발트
Hans Werner Richter,한스 베르너 리히터
Ralf Dahrendorf,랄프 다렌도르프
Augusta von Sachsen-Gotha-Altenburg,아우구스타 폰 작센고타알텐부르크 공녀
Bernd Kannenberg,베른트 카넨베르크
Gottfried John,고트프리트 욘
Karl Löwith,카를 뢰비트
Heinrich Rickert (Philosoph),하인리히 리케르트
Briana Banks,브리애나 뱅크스
August Sander,아우구스트 잔더
Herta Oberheuser,헤르타 오버호이저
Jakob Böhme,야코프 뵈메
Herbert Seifert,헤르베르트 자이페르트
Curt Lowens,커트 로웬스
Ernst von Wolzogen,에른스트 폰 볼초겐
Bernd Brunnhofer,베른트 브룬호퍼
Emilia Schüle,에밀리아 슐레
Norbert Elias,노르베르트 엘리아스
ATB (DJ),ATB (음악가)
Rudolf Höß,루돌프 회스
Selma Ergeç,셀마 에르게치
Michael Cretu,마이클 크레투
Sylvia Nasar,실비아 나사르
Julius Streicher,율리우스 슈트라이허
Ben (Sänger),벤 (독일의 가수)
Mayer Amschel Rothschild,마이어 암셀 로트실트
Maria Antonia von Bayern,마리아 안토니아 폰 바이에른
Helmuth Rilling,헬무트 릴링
Gökhan Töre,괴크한 퇴레
Mirko Slomka,미르코 슬롬카
Rudolf Heß,루돌프 헤스
Tomasz Wałdoch,토마시 바우도흐
Moses Mendelssohn,모제스 멘델스존
Fritz Fischer (Mediziner),프리츠 피셔 (의사)
Wilhelm Wundt,빌헬름 분트
Walter Gotell,발터 고텔
Nico Rosberg,니코 로스베르크
Dietrich Fischer-Dieskau,디트리히 피셔디스카우
Karl Wilhelm Reinmuth,카를 빌헬름 라인무트
Simon Grynaeus,사이먼 그리네우스
Anke Engelke,앙케 엥겔케
Paul van Dyk,파울 반 디크
Udo Kier,우도 키어
Hermann Simon (Manager),헤르만 지몬
Jürgen Neukirch,위르겐 노이키르히
Felix Wankel,펠릭스 방켈
Karl Brugmann,카를 브루크만
Clara Zetkin,클라라 체트킨
Thomas Jahn (Filmregisseur),토마스 얀
Meryem Uzerli,메리엠 우제를리
Richard Kruspe,리하르트 크루스페
Oceana (Sängerin),오세아나 (가수)
Arnold Gehlen,아르놀트 겔렌
Fatih Akin,파티흐 아킨
C. C. Catch,C. C. 캐치
Harald zur Hausen,하랄트 추어 하우젠
Bert Sakmann,베르트 자크만
Arnold Sommerfeld,아르놀트 조머펠트
Uwe Johnson,우베 욘존
Rosi Mittermaier,로지 미터마이어
Maren Eggert,마렌 에거트
Lilli Lehmann,릴리 레만
Uwe Timm,우베 팀
Hans Speidel (General),한스 슈파이델
Nuri Şahin,누리 샤힌
Lena Goeßling,레나 괴슬링
Klaus Barbie,클라우스 바르비
Fritz Sauckel,프리츠 자우켈
Karl Brandt (Mediziner),카를 브란트
Herbert Wehner,헤르베르트 베너
Hartmut Michel,하르트무트 미헬
Katharina Schmid,카타리나 슈미트
Friedrich von Huene,프리드리히 폰 후에네
Detlef Schrempf,데틀레프 슈렘프
Christian Oliver,크리스티안 올리버
Cosma Shiva Hagen,코스마 시바 하겐
Fritz Albert Lipmann,프리츠 앨버트 리프만
Max Schmeling,막스 슈멜링
Ludwig Stumpfegger,루트비히 슈툼페거
Oliver Grau,올리버 그라우
Reinhold Mack,라인홀트 맥
Johanna Quandt,요한나 크반트
Karl Liebknecht,카를 리프크네히트
Rudolf Martin (Schauspieler),루돌프 마틴
Kurt Lewin,쿠르트 레빈
Ernst Heinkel,에른스트 하인켈
Carl Ludwig Siegel,카를 루트비히 지겔
Hans Münch (Mediziner),한스 뮌히
Christian Lindner,크리스티안 린트너
Adolf Windaus,아돌프 오토 라인홀트 빈다우스
Gerd Faltings,게르트 팔팅스
Robert von Greim,로베르트 리터 폰 그라임
Matthäus Zell,마테우스 젤
Richard Röstel,리하르트 뢰스텔
Walther Meißner,발터 마이스너
Erwin Neher,에르빈 네어
Mary Wigman,마리 비그만
Wilhelm Maybach,빌헬름 마이바흐
Theobald von Bethmann Hollweg,테오발트 폰 베트만홀베크
Kati Wilhelm,카티 빌헬름
Julie Engelbrecht,줄리 엥겔브레히트
Gustav Landauer,구스타프 란다우어
Max Dehn,막스 덴
Rudolf Peierls,루돌프 파이얼스
Kurt Hensel,쿠르트 헨젤
Friedrich Hirzebruch,프리드리히 히르체브루흐
Thomas Anders,토마스 안더스
Leo Strauss,레오 스트라우스
Carl Schmitt,카를 슈미트
Tilemann Hesshus,틸레만 헤수시우스
Pascual Jordan,파스쿠알 요르단
Carl Brandan Mollweide,카를 몰바이데
Helmut Hasse,헬무트 하세
Ermin Bičakčić,에르민 비착치치
Georg Wittig,게오르크 비티히
Hugo Meurer,후고 모이러
Hans Joachim Morgenthau,한스 모건소
Boris Kerner,보리스 커너
Julia Klöckner,율리아 클뢰크너
Alice Orlowski,알리체 오를로브슈키
Otto Loewi,오토 뢰비
Christiane Nüsslein-Volhard,크리스티아네 뉘슬라인폴하르트
Angelique Kerber,안젤리크 케르버
Wilhelm Cuno,빌헬름 쿠노
Annika Beck,아니카 베크
Constantin Fehrenbach,콘스탄틴 페렌바흐
August Vilmar,아우구스트 프리드리히 크리스티안 빌마르
Georges J. F. Köhler,게오르게스 J. F. 쾰러
Wilhelm Marx,빌헬름 마르크스
Emil Jannings,에밀 야닝스
Maria Simon,마리아 지몬
Manfred Weber (Politiker),만프레트 베버
Silke Bodenbender,질케 보덴벤더
Ernst David Bergmann,에른스트 데이비드 버그만
Nicolas Berggruen,니콜라스 베르그루엔
O. E. Hasse,O. E. 하세
Wolfgang Stumph,볼프강 슈툼프
Horst Schnellhardt,호르스트 슈넬하르트
Lothar III. (HRR),로타르 3세
Fons Matthias Hickmann,폰스 히크만
Petra Pau,페트라 파우
Sahra Wagenknecht,자라 바겐크네히트
Otto Wernicke,오토 베르니케
Janosch,야노쉬
Otto Grotewohl,오토 그로테볼
Ferdy Mayne,페르디 마이네
Jie Schöpp,제 쇼프
Kai Wiesinger,카이 비징거
Julia Fischer (Geigerin),율리아 피셔
Michael Mendl,미하엘 멘들
Franz-Benno Delonge,프란츠베노 델롱게
Georg Elser,게오르크 엘저
Friedrich III. (Sachsen),프리드리히 3세 폰 작센 선제후
Johannes Bugenhagen,요하네스 부겐하겐
LaFee,라피 (가수)
Heinrich Heppe,하인리히 헤페
Karl Fritzsch,카를 프리츠슈
Regina von Sachsen-Meiningen,레기나 폰 작센마이닝겐
Maria Josepha von Bayern,마리아 요제파 폰 바이에른 공녀
Hardy Krüger,하르디 크뤼거
Waldemar Kobus,발데마르 코부스
Guido Buchwald,기도 부흐발트
Helmut Jahn (Architekt),헬무트 얀
Carl Gottfried Neumann,카를 노이만
Heinz Reincke,하인츠 라인케
Leopold von Wiese,레오폴트 폰 비제
Klaus Koch (Theologe),클라우스 코흐
Peter Joppich,페터 요피히
Paul Hector Mair,파울루스 헥토르 마이어
Abdul Ahad Momand,압둘 아하드 모만드
Rangin Dadfar Spanta,랑긴 다드파르 스판타
Benjamin Kleibrink,베냐민 클라이브링크
Johann Liechtenauer,요하네스 리히테나워
Christine Lieberknecht,크리스티네 리베르크네히트
Michael Kessler,미하엘 케슬러
Wolfgang Heinz (Schauspieler),볼프강 하인츠
Oskar Morgenstern,오스카르 모르겐슈테른
Florian Geyer,플로리안 가이어 폰 기벨슈타트
Marianne Koch,마리안느 코흐
Hans Peter Hallwachs,한스 피터 홀워치
Geoffrey Rudolph Elton,제프리 엘턴
Doris Kunstmann,도리스 컨스트먼
Stefan Hell,슈테판 헬
Helmut Losch,헬무트 로슈
Aniela Jaffé,아니엘라 야페
Carl Joachim Friedrich,칼 조아킴 프리드릭
Julia Stegner,율리아 슈테그너
Lena Gercke,레나 게르케
Dagmar Lassander,다그머 라샌더
André Weßels,안드레 베셀스
Ingrid van Bergen,잉그리트 판베르겐
Helmut Schoeck,헬무트 쉐크
Tankred Dorst,탕크레트 도르스트
Hans Carossa,한스 카로사
Ariadne von Schirach,아리아드네 폰 시라흐
Max Noether,막스 뇌터
Hans Freudenthal,한스 프로이덴탈
Karin Baal,카린 발
Simon von Utrecht,시몬 판 위트레흐트
Gisela Oeri,기젤라 오에리
Karl Groos,카를 그로스
Barbara Krause (Schwimmerin),바르바라 크라우제
Hans Imhoff (Unternehmer),한스 임호프
Laura Tonke,라우라 통케
Hermann J. Giskes,헤르만 기스케스
Meister Gerhard,게르하르트 폰 릴레
Jasmin Gerat,야스민 게라트
Richard Rado,리하르트 라도
Maria Margaretha Kirch,마리아 마가레테 키르히
Ida Noddack,이다 노다크
Fatmire Alushi,파트미레 알루시
Jacob Matschenz,야코프 마트셴츠
Arabella Kiesbauer,아라벨라 키스바우어
Maren Ade,마렌 아데
Sven Martinek,스벤 마르티네크
Margret Göbl,마르그레트 괴블
Fritz Wepper,프리츠 웨퍼
Elmar Wepper,엘마어 베퍼
Karin Schubert (Schauspielerin),카린 슈베르트
Sandy Mölling,샌디 묄링
Sergej Moya,세르게이 모야
Volker Bertelmann,하우슈카
Roland Schimmelpfennig,롤란트 시멜페니히
Uli Edel,울리 에델
Friedrich Julius Rosenbach,프리드리히 율리우스 로젠바흐
Odisseas Vlachodimos,오디세아스 블라호디모스
Thomas Fritsch (Schauspieler),토마스 프리치
Wolf Roth,볼프 로트
Egon Schultz,에곤 슐츠
Matthias Hues,매티아스 휴즈
Karl Bücher,카를 뷔허
Albert Eichhorn (Theologe),알버트 아이크혼
Rudolf Haag,루돌프 하크
Fahriye Evcen,파흐리예 에브젠
Adam Gottlob von Moltke,아담 고틀로브 몰트케
Sara Nuru,자라 누루
Hannes Jaenicke,하네스 예니케
Ludger Pistor,루트거 피스토어
Ralf Richter,랄프 리츠터
Anna Thalbach,안나 탈바히
Barbara Auer,바르바라 아우어
Ruth Moufang,루트 무팡
Siegfried Arno,지크 아르노
Natalia Avelon,나탈리아 아벨론
Georg Braun,게오르크 브라운
Mike Leon Grosch,미케 그로슈
Alexandra Neldel,알렉산드라 넬델
Georg Knöpfle,게오르크 뇌플레
Hannelore Elsner,하넬로레 엘스너
Maria Furtwängler,마리아 푸르트벵글러
Harry Baer,해리 베어
Ludwig Dürr (Konstrukteur),루트비히 뒤어
Alexander Fehling,알렉산더 펠링
Lisa Martinek,리사 마르티네크
Max W. Kimmich,막스 W. 키미히
Gerhard Kittel,게르하르트 키텔
Helmut Thielicke,헬무트 틸리케
Philipp Tanzer,로건 매크리
Philip Wiegratz,필리프 비그라츠
Hans Grimm,한스 그림
Carolin Golubytskyi,카롤린 골루비츠키
Hans Erich Nossack,한스 에리히 노사크
Peter Carsten,페터 카르스텐
Chalid Arrab,할리드 아랍
Siriusmo,시리우즈모
Ernst von Beling,에른스트 폰 벨링
Hans Welzel,한스 벨첼
Hans Richter-Haaser,한스 리히터하저
Ben Becker,벤 베커
David Pareus,데이빗 파레우스
Ulrich Noethen,울리히 뇌텐
Georg H. Schnell,게오르크 H. 슈넬
Saskia Vester,사스키아 베스터
Uwe Potteck,우베 포테크
Thor Freudenthal,토어 프로이덴탈
Karl Jansen (Gewichtheber),카를 얀센
Norbert Vollertsen,노르베르트 폴러첸
Konrad von Hochstaden,콘라트 폰 호흐슈타덴
Günther Weisenborn,귄터 바이젠보른
Hugo Friedrich,후고 프리드리히
Wilhelm Meisel,빌헬름 마이젤
Michael Michalsky,미하엘 미할스키
Eva Löbau,에바 뢰바우
Reinhard Goering,라인하르트 괴링
Carina Vogt,카리나 포크트
Lena Stolze,레나 스톨즈
Peter Florin,페터 플로린
Volker Spengler,폴커 슈펭글러
Antonio Rüdiger,안토니오 뤼디거
Ida Siekmann,이다 지크만
Waldemar Steffen,발데마르 슈테펜
Stephan Feck,슈테판 펙
Jürgen Fehling,위르겐 펠링
Eugen Hadamovsky,오이겐 하다모프스키
Julius Wolff (Mediziner),줄리어스 울프
Helmut Müller-Brühl,헬무트 뮐러 브륄
Olga Costa,올가 코스타
Kurt Hoffmann (Filmregisseur),쿠르트 호프만
Anton Schnack,안톤 슈나크
Heinar Kipphardt,하이나르 키프하르트
Hans-Georg Pflaum,한스게오르크 플라움
Sandra Borgmann,잔드라 보르크만
Thomas Thieme,토마스 티메
Joachim Kaiser,요아힘 카이저
Kurt Fricke,쿠르트 프리케
Heinz Hoenig,하인츠 회니히
Rainer Zitelmann,라이너 치텔만
Karl Holl (Theologe),칼 홀
Inka Friedrich,잉카 프리드리히
Luna Schweiger,루나 슈바이거
Jasmin Schwiers,야스민 슈비어스
Marion Freisler,마리온 프라이슬러
Hanno Koffler,하노 코플러
Kaaren Verne,카렌 베른
Dieter Schidor,디터 시도어
Kristin Lang,크리스틴 질버아이젠
Pheline Roggan,펠리네 로간
Alfred Hause,알프레드 하우제
Wolfgang Mischnick,볼프강 미슈니크
Palina Rojinski,팔리나 로진스키
Nele Neuhaus,넬레 노이하우스
Anna Brüggemann,아나 브뤼게만
Rufus Beck,루푸스 베크
Sonja Gerhardt,소냐 게르하르트
David Scheller,다비트 셸러
Ellen Schwiers,엘렌 슈비르스
Thure Riefenstein,투레 리펜슈타인
Mark Waschke,마르크 바슈케
Ilse Heß,일제 헤스
Hilmi Sözer,힐마이 소제르
Tayfun Bademsoy,타이푼 바뎀소이
Hans Bender (Schriftsteller),한스 벤더
Ann-Kathrin Kramer,안카트린 크라머
Wiguläus von Kreittmayr,비굴레우스 폰 크라이트마이어
Karl Graul,카를 그라울
Marie Bäumer,마리 보이머
Gesine Cukrowski,게지네 추크로프스키
Petra Schmidt-Schaller,페트라 슈미트샬러
Stefanie Stappenbeck,슈테파니 슈타펜베크
Albrecht Fölsing,알브레히트 푈싱
Albert Friedrich Speer,알베르트 프리드리히 슈페어
Caroline Peters,카롤리네 페터스
Bernadette Heerwagen,베르나데테 헤어바겐
Edda Göring,에다 괴링
Tristano Casanova,트리스타노 카사노바
Maike Kohl-Richter,마이케 콜리히터
Rebecca Immanuel,레베카 이마누엘
Peter Scholze,페터 숄체
Dominic Raacke,도미니크 라케
Pegah Ferydoni,페가 페리도니
Martin Bojowald,마틴 보조발트
Claus Peter Schnorr,클라우스페터 슈노어
Brigitte Grothum,브리기테 그로툼
Karl Ludwig Schmidt,칼 슈미츠
Anna Bederke,아나 베데르케
Thomas Südhof,토마스 쥐트호프
Frederik Wiedmann,프레데리크 비트만
Kristian Kiehling,크리스티안 킬링
Maren Kroymann,마렌 크로이만
Hans Egon Holthusen,한스 에곤 홀투젠
Gustav Kleikamp,구스타프 클라이캄프
Hito Steyerl,히토 슈타이얼
Hans Maaß (Mathematiker),한스 마스
Stefan Lippe,슈테판 리페
Erich von Holst,에리히 폰 홀스트
Gerard Salton,제라드 솔튼
Daniel J. Bernstein,대니얼 J. 번스타인
Susan Hoecke,수산 호이케
Wilhelm Meyer-Förster,빌헬름 마이어 푀르스터
Roger Fritz,로거 프리츠
Björn Hübner,뵈른 휘브너
Adnan Maral,아드난 마랄
Wilma Elles,빌마 엘르
Rosalie Thomass,로잘리 토마스
Mina Tander,미나 탄더
Siegfried Rauch (Schauspieler),지크프리트 라우흐
Dan van Husen,단 판후젠
Janina Fautz,야니나 파우츠
Jochen Nickel,요헨 니켈
Dietmar Bartsch,디트마어 바어치
Joe Kaeser,요제프 코저
Jutta Hoffmann,유타 호프만
Ursula Werner,우르줄라 베르너
Christian Wunderlich (Schauspieler),크리스티안 분더리히 (1979년)
Axel Prahl,엑셀 프랄
Gustav Stresemann,구스타프 슈트레제만
Peter Bürger (Literaturwissenschaftler),페터 뷔르거
Christian Doermer,크리스티안 되르머
Hans J. Markowitsch,한스 마르코비치
Andreas M. Kaplan,안드레아스 카플란
Axel Meyer (Biologe),악셀 마이어
Johann Gottlieb Fichte,요한 고틀리프 피히테
Heinrich Rombach,하인리히 롬바흐
Fabian Busch,파비안 부슈
Isabella Laböck,이자벨라 라뵈크
Axel Milberg,악셀 밀베르크
Karl Lauterbach,카를 라우터바흐
Andreas Schmidt (Schauspieler),안드레아스 슈미트 (배우)
Ricardo Eichmann,리카르도 아이히만
Heinrich Vogt (Astronom),하인리히 보그트
Benjamin List,베냐민 리스트
Miriam Morgenstern,미리암 모르겐슈테른
Fabian Hinrichs,파비안 힌리히스
Anna Fischer,아나 피셔
Kurt Kreuger,커트 크루거
"Michael Müller (Politiker, 1964)",미하엘 뮐러 (정치인)
Hardy Krüger junior,하르디 크뤼거 유니오어
Burkhard Driest,부르크하르트 드리스트
Ottmar Edenhofer,오트마르 에덴호퍼
Gerda Bormann,게르다 보어만
Ricarda Multerer,리카르다 물테러
Alexandra Bujdosó,알렉산드라 부이도소
Patrick Süskind,파트리크 쥐스킨트
Simone Thomalla,시모네 토말라
Nina Eichinger,니나 아이힝거
Christoph Maria Herbst,크리스토프 마리아 허브스트
Micaela Schäfer,미카엘라 셰퍼
Bernd Tauber,베른트 타우버
Holger Handtke,홀거 한트케
Sabine Winter,자비네 빈터
Joseph Welzenbacher,요제프 벨첸바셔
Mario Götze,마리오 괴체
Tim Wiese,팀 비제
Tim Seyfi,팀 세이피
Robert Enke,로베르트 엥케
Hans-Dietrich Genscher,한스디트리히 겐셔
Leonard Lansink,레오나르트 란징크
Torsten Frings,토르스텐 프링스
Egino Weinert,에기노 바이너트
Peter Lohmeyer,페터 로마이어
Paul Harzer,파울 하르처
Michael Welker,미하엘 벨커
Bodo Ramelow,보도 라멜로
Heinz Emigholz,하인츠 에미히홀츠
Frank Deppe,프랑크 데페
Frank Engel (Fußballtrainer),프랑크 엥겔
Fritz Gansberg,프리츠 가네베르크
Lars Windhorst,랄스 빈트호르스트
Bodo Schäfer,보도 섀퍼
Norbert Bolz,노르베르트 볼츠
Ulrike Beisiegel,울리케 바이지겔
Willi Eichler,빌리 아이흘러
Song Du-yul,송두율
Martin Kriele,마르틴 크릴레
Jürgen Knieper,위르겐 크니퍼
Julian Sensley,줄리안 센슬리
Rudolf Smend (Jurist),카를 프리드리히 루돌프 스멘트
Richard Hey,리하르트 하이
Harald von Hirschfeld,하랄트 폰 히르슈펠트
Franz Urban Pappi,프란츠 파피
Ralf Schmitz,랄프 슈미츠
Martin Sperr,마르틴 슈페르
Anna Loos,아나 로스
Hermine Sterler,헤르민 스터러
Gila von Weitershausen,길라 폰 바이터스하우젠
Florian Stetter,플로리안 슈테터
Heinz Schubert (Schauspieler),하인츠 슈베르트
Christian Redl (Schauspieler),크리스티앙 레들
Maryam Zaree,마리암 자리
Stefan Kießling,슈테판 키슬링
Albert Lieven,알베르트 리벤
Joachim von Ribbentrop,요아힘 폰 리벤트로프
Arthur Brauss,아르투어 브라우스
Max Bruch,막스 브루흐
George Grosz,게오르게 그로스
Ulrike C. Tscharre,울리케 C. 차레
Horst Krause,호르스트 크라우세
Mike Hanke,미케 항케
Werner Daehn,베르너 덴
Christoph M. Ohrt,크리스토프 M. 오트
Michael J. G. Gleissner,미하엘 글라이스너
Ludwig Blochberger,루트비히 블로흐베르거
Paula Kalenberg,파울라 칼렌베르크
Marlon Kittel,말론 키텔
Katharina Schüttler,카타리나 쉬틀러
Manuel Neuer,마누엘 노이어
Jens Hartwig,옌스 하르트비히
Theophil Großgebauer,테오필 그로스게바워
Johannes W. Rohen,요하네스 로헨
Heinrich II. (HRR),하인리히 2세 (신성 로마 황제)
Heinrich der Löwe,하인리히 사자공
Rüdiger Frank,뤼디거 프랑크
Georg von Waldburg-Zeil (1488–1531),게오르크 3세 폰 발트부르크차일
Christiane Krüger,크리스티아네 크뤼거
Uwe Bohm,우베 봄
Axel Stein,악셀 슈타인
Jördis Triebel,외르디스 트리벨
Alexander Liebreich,알렉산더 리브라이히
Samuel Finzi,자무엘 핀치
Kim Gloss,킴 글로스
Gerald Asamoah,게랄트 아자모아
Walter Kohl (Unternehmer),발터 콜
Melika Foroutan,메리카 포로탠
Carl Jaffe,카를 야페
Ute Frevert,우테 프레베르트
Fritzi Haberlandt,프리치 하베를란트
Markus Boysen,마르쿠스 보이젠
Oskar Lafontaine,오스카르 라퐁텐
Gerd Gigerenzer,게르트 기거렌처
Manuel Friedrich,마뉴엘 프리드리히
Aykut Kayacık,아이쿠트 카야즈크
Adam von Bremen,아담 폰 브레멘
Jim Boeven,짐 뵈벤
Florentine Lahme,플로렌틴 라메
Klaus Hasselmann,클라우스 하셀만
Uta Briesewitz,우타 브리제비츠
Oliver Stokowski,올리버 슈토코프스키
Robert Graf (Schauspieler),로베르트 그라프
Claus Westermann,클라우스 베스터만
Jan Henrik Stahlberg,얀 헨릭 스탈베르그
Claudio Pizarro,클라우디오 피사로
Nadine Warmuth,나딘 바르무트
Tilly Lauenstein,틸리 라우엔스테인
Jens Winter,옌스 빈터
Christopher Buchholz,크리스토퍼 부츠홀즈
Dagmar Manzel,다그마 만첼
Edgar Selge,에드가어 젤게
Sebastian Schipper,제바스티안 시퍼
Alina Levshin,알리나 렙신
Jan Hatzius,얀 하치우스
Julia Hummer,율리아 후머
Hans Walter Wolff,한스 월터 울프
"Hermann Dietrich (Politiker, 1879)",헤르만 디트리히
Heiko Maas,하이코 마스
Wilhelm Pauck,빌헬름 포크
Robert Gradmann,로베르트 그라트만
Ernst Fuchs (Theologe),에른스트 푹스 (신학자)
Daisy Earles,데이지 얼스
Philipp von Schwaben,필리프 폰 슈바벤 공작
Hertha Thiele,헤르타 틸레
Johanna Gastdorf,요하나 가스트도프
Max von Thun,막스 폰 툰
Maxim Mehmet,맥심 메멧
Jürgen Tonkel,위르겐 통켈
Norbert Weisser,노르베르트 바이서
Heiko Westermann,하이코 베스테르만
Albrecht Dold,알브레히트 돌트
Birgit Prinz,비르기트 프린츠
Max Picard,막스 피카르트
Johannes Wallmann,요한네스 발만
Robert Habeck,로베르트 하베크
Rotraut Susanne Berner,로트라우트 수잔네 베르너
Kevin Trapp,케빈 트라프
Boris Kodjoe,보리스 코조
Sebastian Kehl,제바스티안 켈
Mats Hummels,마츠 후멜스
Werner Weinhold,베르너 바인홀트
Friederike Kempter,프리데리케 켐프터
Leonie Benesch,레오니 베네슈
Heinrich Hoffmann (Marineoffizier),하인리히 호프만 (1910년)
Karl Lieffen,카를 리펜
Pietro Lombardi (Sänger),피에트로 롬바르디 (가수)
Klaus Fichtel,클라우스 피히텔
Michael Tarnat,미하엘 타르나트
Renate Krößner,레나테 크뢰스너
Willi Schulz,빌리 슐츠
