Abel Xavier,아벨 사비에르
António Lobo Antunes,안토니우 로부 안투느스
Carla Sacramento,카를라 사크라멘토
Xanana Gusmão,샤나나 구스망
Rita Blanco,리타 블랑코
Cristiano Ronaldo,크리스티아누 호날두
José Sócrates,조제 소크라트스
Paulo Ferreira,파울루 페헤이라
Rui Manuel César Costa,후이 코스타
João Pedro da Silva Pereira,주앙 페드루 다 실바 페헤이라
Assunção Cristas,아순상 크리스타스
Francisco da Costa Gomes,프란시스쿠 다 코스타 고므스
Vitorino Antunes,비토리누 안투니스
Francisco Lázaro,프란시스쿠 라자루
Lúcia Moniz,루시아 모니즈
Miguel Torga,미겔 토르가
Catarina Furtado,카타 리나 퍼 타도
Laura Soveral,라우라 소베랄
João Vieira Pinto,주앙 핀투
Adelino André Vieira Freitas,비에이리냐
Éderzito António Macedo Lopes,에데르지투 안토니우 마세두 로페스
Silvestre Varela,실베스트르 바렐라
Bruno Alves,브루누 알베스
Soledad Miranda,솔레다드 미란다
Eduardo Mondlane,에두아르도 몬들라네
Manuela Machado,마누엘라 마차도
Artur Antunes Coimbra,코임브라 지코
Simão Sabrosa,시망 사브로자
Joaquim de Almeida,조아킹 드 알메이다
Camilo Pessanha,카밀루 페사냐
Ricardo Quaresma,히카르두 쿠아레즈마
Maniche,마니시
José Saramago,주제 사라마구
José Manuel Durão Barroso,조제 마누엘 두랑 바호주
Manoel de Oliveira,마노엘 드 올리베이라
Marcos Aoás Corrêa,마르쿠스 아오아스 코헤아
António Egas Moniz,안토니오 에가스 모니스
José Bosingwa,조제 보싱와
André Villas-Boas,안드레 빌라스보아스
Paulo Futre,파울로 푸트레
Sandro Ranieri Guimarães Cordeiro,산드루 라니에리
António Ramalho Eanes,안토니우 하말류 이아느스
Ana Padrão,아나 파드라오
Nuno Gomes,누누 고메스
Bruno Martins Indi,브루누 마르팅스 인디
Catarina Wallenstein,카타리나 발렌스테인
Leonor Silveira,레오노어 실베이라
Rui Patrício,후이 파트리시우
Tiago Mendes,티아구 멘데스
Amílcar Cabral,아밀카르 카브랄
Liédson,리에드송
Rúben Amorim,후벤 아모링
João César Monteiro,주앙 세자르 몬테이루
Pedro Passos Coelho,페드루 파수스 코엘류
Paulo Portas,파울루 포르타스
Filipe Morais,필리프 모라이스
Zita Seabra,지타 세아브라
"Maria Ana de Bragança, Grã-duquesa do Luxemburgo",마리아 아나 드 포르투갈 왕녀
Maria de Medeiros,마리아 데 메데이로주
Vítor Baía,비토르 바이아
Manuel Henrique Tavares Fernandes,마누엘 페르난드스
Lídia Jorge,리디아 조르즈
Fernando Manuel Costa Santos,페르난두 산투스
Daniel Fernandes,다니에우 페르난드스
Fernando Gomes,페르난두 고메스
Ânderson Luís da Silva,루이장
Nelly Furtado,넬리 퍼타도
José Mourinho,조제 모리뉴
Carlos Lopes,카를루스 로페스
João Moutinho,주앙 모티뉴
Manuel Pinto da Costa,마넬 핀투 다 코스타
Luís Miguel Brito Garcia Monteiro,미겔 몬테이루
Pedro Pauleta,파울레타
Samora Machel,사모라 마셸
Hélder Postiga,엘데르 포스티가
Henrique Hilário,엔리케 일라리우
Hugo Almeida,우구 알메이다
Costinha,코스티냐
Jorge Manuel Almeida Gomes de Andrade,조르즈 안드라드
Eduardo dos Reis Carvalho,에두아르두 두스 헤이스 카르발류
Jorge Ribeiro,조르즈 히베이루
Mariza,마리자
Sérgio Ricardo da Silva Pinto,세르지우 핀투
Eliseu,엘리세우
Petit,프티
Hugo Viana,우구 비아나
Nelson Évora,넬송 에보라
Aníbal Cavaco Silva,아니발 카바쿠 실바
Filipa Sousa,필리파 소자
Vânia Fernandes,바니아 페르난드스
Universidade de Coimbra,코임브라 대학교
Olegário Benquerença,올레가리우 벵케렌사
Sara Martins,사라 마틴스
Rosa Mota,로자 모타
Danny,다니 미겔
Marcelo Caetano,마르셀루 카에타누
Amália Rodrigues,아말리아 호드리게스
Daniela Ruah,대니얼라 루아
Dulce Pontes,둘스 폰트스
João Campos,주앙 캄푸스
Fernanda Ribeiro,페르난다 리베이로
Agustina Bessa-Luís,오거스티나 루이스
Luís Miguel Cintra,루이스 미구엘 신트라
António de Oliveira Salazar,안토니우 드 올리베이라 살라자르
Luís Carlos Novo Neto,루이스 네토
Nuno Espírito Santo,누누 에스피리투 산투
Fernando Meira,페르난두 메이라
António Damásio,안토니오 다마시오
António Guterres,안토니우 구테흐스
William Silva de Carvalho,윌리앙 카르발류
Bebé,베베
Rolando Jorge Pires da Fonseca,홀란두 조르즈 피르스 다 폰세카
Maria Pia de Saboia,마리아 피아 드 사보이아
Pedro Santana Lopes,페드루 산타나 로페스
Nuno Bettencourt,누노 베텐코트
Florbela Espanca,플로르벨라 이스팡카
Filipa Azevedo,필리파 아제베두
Fernando Manuel Silva Couto,페르난두 코투
António Alberto Bastos Pimparel,안토니우 알베르투 바스투스 핌파렐
Kevin Gameiro,케뱅 가메이로
Maria João Pires,마리아 조앙 피레스
Soraia Chaves,소라이아 샤베스
Agacão IV,아가 칸 4세
Miguel Veloso,미겔 벨로주
Mário Soares,마리우 소아르스
Ricardo Vaz Tê,히카르두 바즈 테
Sergey Yuran,세르게이 유란
Nélson Oliveira,넬송 올리베이라
Francis Obikwelu,프랜시스 오비퀠루
Amélia de Orleães,아멜리 도를레앙
"Maria Antónia de Bragança, duquesa de Parma",마리아 안토니아 드 브라간사
Carmen Miranda,카르멩 미란다
Pedro Mendes,페드루 멘드스
Zé Castro,제 카스트루
Jorge Sampaio,조르즈 삼파이우
Manuel II de Portugal,마누엘 2세 (포르투갈)
Ricardo Costa,히카르두 코스타
Philippe Coutinho,필리피 쿠티뉴
Nuno Valente,누누 발렌트
Manuel Galrinho Bento,마누엘 갈리뉴 벤투
Luís Figo,루이스 피구
Sérgio Conceição,세르지우 콘세이상
Pepe,페페
Paulo Bento,파울루 벤투
Nani,Nani
José Luís Peixoto,조제 루이스 페이쇼투
Luís Boa Morte,루이스 보아 모르트
Carlos Queiroz,카를루스 케이루스
Luís de Matos,루이스 드마투스
Miguel Lopes,미겔 로페스
Rúben Micael Freitas da Ressureição,후벵 미카엘
Agostinho,아고스티뉴
Pedro Proença,페드루 프로엔사
Custódio Miguel Dias de Castro,쿠스토디우 카스트루
Paulo Sousa,파울루 소자
Cédric Soares,세드릭 소아레스
Roberto Luís Gaspar Deus Severo,호베르투 세베루
Ana Moreira,안나 모레이라
Ricardo Pereira,히카르두
Fernando Pessoa,페르난두 페소아
Álvaro Siza Vieira,알바루 시자 비에이라
Arnaldo Edi Lopes da Silva,이디뉴
Roman Abramovich,로만 아브라모비치
Portugueses,포르투갈인
João Luís Carrilho da Graça,주앙 루이스 카힐류 다그라사
Artur Jorge,아르투르 조르즈
Ricardo Sérgio Rocha Azevedo,히카르두 호샤
Sérgio Paulo Barbosa Valente,두다
Eusébio,에우제비우
Eduardo Manuel Martinho Vingada,넬루 빙가다
Fábio Coentrão,파비우 코엔트랑
Rui Sampaio,후이 삼파이우
Maria de Belém Roseira,마리아 드벨렝 호제이라
Antónia de Bragança,포르투갈 공주 안토니아
Ricardo Nuno Queirós Nascimento,히카르두 나시멘투
Ricardo Filipe dos Santos Esteves,히카르두 에스테베스
José Dominguez,조제 도밍게스
José Alberto Costa,조제 알베르투 코스타
Marco Silva,마르쿠 실바
Pedro Guerreiro de Jesus Correia,페드루 게레이루 데 제수스 코레이아
Shéu Han,셰우 한
Raul Meireles,하울 메이렐르스
Isabel de Castro,이사벨 드 카스트로
João Mário,주앙 마리우
Nuno Viriato Tavares de Melo Egídio,누누 비리아투 타바레스 데 멜루 에지디우
Raphaël Guerreiro,하파엘 게레이루
Teresa Madruga,테레사 마드루가
Ramalho Ortigão,하말류 오르티강
Leonor Baldaque,르오노어 발다쿼
Sérgio Oliveira,세르지우 올리베이라
Vítor Constâncio,비토르 콘스탄시우
Hugo Vieira,우구 비에이라
José Morais,조제 모라이스
Diogo Morgado,디오구 모르가두
Tiago Apolónia,티아구 아폴로니아
André Filipe Tavares Gomes,안드레 고메스
Lucy Bronze,루시 브론즈
Jorge Jesus,조르즈 제주스
Adans Lopez Peres,아단스 로페츠 페레스
Liza da Costa,리자 다 코스타
Leonardo Jardim,리우나르두 자르딩
Kaúlza de Arriaga,카울자 드아히아가
Ricardo Trêpa,리카도 트리파
Mário Barroso,마리오 바로소
Manuel Lima,Manuel Lima
Fábio Santos Romeu,파비우 산투스 호메우
Paulo Soares da Rocha,파울루 호샤
Orlando Ribeiro,오를란두 히베이루
Zeca Afonso,조제 아폰수
Ricardo Carvalho,히카르두 카르발류
Pedro Filipe Franco,페드로 필립 안투네스 마티아스 실바 프랑코
André André,앙드레 앙드레
Marcelo Rebelo de Sousa,마르셀루 헤벨루 지 소우사
Ró-Ró,호호
Maria João Bastos,마리아 주앙 바스투스
Tamagnini Nené,네네
Bruno Pereirinha,브루누 페레이리냐
Vítor Pereira,비토르 페레이라
Tasha de Vasconcelos,타샤 드 바스콘셀로스
António Campos,안토니우 캄푸스
Renato Santos,헤나토 산토스
Rui Esteves,루이 에스테베스
António Gedeão,안토니우 제데앙
Aníbal Capela,아니바우 카펠라
António Costa,안토니우 코스타
Catarina Martins,카타리나 마르팅스
Rui Rio,후이 히우
António Leitão,안토니오 레이따옹
Adrien Silva,아드리엔 실바
José Fonte,조세 폰테
Hélder Cristóvão,엘데르 크리스토방
Deco,데쿠
Luís Miguel Afonso Fernandes,피찌
Bento de Jesus Caraça,벤투 드제주스 카라사
Alberto Varanda,알베르투 바란다
Marcos Lopes,호니 로페스
António Reis,안토니우 헤이스
Carlos Moedas,카를루스 모에다스
Bruno Miguel Borges Fernandes,브루누 페르난드스
Henrique Sereno Fonseca,엔리케 세레누
Louis Ferreira,루이스 페헤이라
Eduardo Serra,에두아르도 세라
Sérgio Filipe da Silva Barge,세르지우 필리페 다 시우바 바르제
Derlei,데를레이
Boaventura de Sousa Santos,보아벤투라 드소자 산투스
Bianca Comparato,비앙카 콤파라투
Carlos Mané,카를루스 마네
Joaquim Durão,조아킹 두랑
Barbara Cabrita,바바라 카브리타
Carolina Deslandes,카롤리나 데즐란드스
Michele Monique Reis,리자신
Bento António Gonçalves,벤투 안토니우 곤사우베스
Tiago Abiola Delfim Almeida Ilori,티아고 일로리
Carlos Tavares,카를루스 타바르스
Danilo Luís Hélio Pereira,다닐루 페레이라
Bruno Fernandes,브루누 주앙 난딩가 보르즈스 페르난드스
Miguel Portas,미겔 포르타스
Cláudia Neto,클라우디아 네투
Daniel Podence,다니엘 포덴스
Dimas Teixeira,디마스 마르케스
Filipe da Silva,필리피 다 시우바
Dalila Carmo e Sousa,달릴라 카르무
Humberto Coelho,움베르투 코엘류
Daniel Carriço,다니엘 카히수
Stanley Ho,스탠리 호
João Pedro Rodrigues,주앙 페드루 호드리게스
Carolina Mendes,카롤리나 멘드스
Rogério Samora,로게리오 사모라
Luís Carlos Ramos Martins,루이스 마르틴스
Vasco Joaquim Rocha Vieira,바스코 조아큄 로차 비에이라
Flávia Alessandra,플라비아 알레산드라
Edinho Júnior,이디뉴 주니오르
Eduardo Ferro Rodrigues,에두아르두 페후 호드리게스
Miguel Vítor,미겔 비토르
Peyroteo,페르난두 페이루테우
Mario Rondón,마리오 론돈
Rodrigo Leão,호드리구 레앙
Karine Lima,카린 리마
César Peixoto,세자르 페이소투
Joaquim Dos Santos,조아킹 두스산투스
Henrique Viana,헨리크 비안나
Adriano Luz,아드리아노 루즈
Merche Romero,메르시 호메루
Carlos Carvalhas,카를루스 카르발랴스
Aurélia de Sousa,아우렐리아 드소자
Pete tha Zouk,피트 타 주크
Pedro Pichardo,페드루 피샤르두
Pedro Mendes,페드루 필리프 멘드스
Patrick Mille,파트리크 밀
Michael Simões Domingues,미샤엘 시몽이스 도밍게스
Elvis Évora,에우비스 에보라
David Martins Simão,다비드 시망
Duarte Pio de Bragança,두아르치 피우 드 브라간사
Filomena Cautela,필로 메나 코 텔라
Edgar Pêra,이드가르 페라
João Botelho,주앙 보텔류
João Cancelo,주앙 칸셀루
Nicolau Breyner,니콜라우 브레이네르
José Raposo,조시 라포소
João Sousa,주앙 소자
José Pedro Malheiro de Sá,조제 사
José Águas,조제 아구아스
Luís Leal,루이스 레알
Ricardo Domingos Barbosa Pereira,히카르두 도밍구스 바르보자 페레이라
Steven de Sousa Vitória,스테벵 비토리아
Ileana D'Cruz,일레나 디크루즈
Almada Negreiros,조제 드 알마다 네그레이루스
João Costa Menezes,조아오 코스타 메네제스
Pedro Henrique de Orléans e Bragança,페드루 엔히키 지 오를레앙스-브라간사
Zeca,주제 카를루스 곤살브스 호드리게스
Vitorino Nemésio,비토리누 네메지우
João Carlos Teixeira,주앙 카를루스 테이셰이라
Mário Rui,마리우 후이
Nuno Janeiro,누누 자네이루
Anthony Lopes,안토니 로페스
Otávio Edmilson da Silva Monteiro,오타비우
João Nicolau,주앙 니콜라우
Ho Yin,호인
Ivo Canelas,이보 카넬라스
André Almeida,안드레 알메이다
Gastão Elias,가스탕 일리아스
Rúben Pinto,후벵 핀투
Joana de Verona,조아나 드 베로나
José Cid,조제 시드
Sara Sampaio,사라 삼파이우
Maria Alberta Menéres,마리아 알베르타 메네르스
Margarida Cordeiro,마르가리다 코르데이루
Jerónimo de Sousa,제로니무 드 소자
João Salaviza,주앙 살라비자
Joaquim Pinto,조아킹 핀투
Suzanne Daveau,쉬잔 다보
Maria João Luís,마리아 주앙 루이스
Sílvia Alberto,시비 알바 알베르토
Rui da Silva,루이 다 실바
Nuno Delgado,누누 델가두
Ricardo Barros,히카르두 바후스
Miguel Gomes,미겔 고메스
Ederson Santana de Moraes,이데르송 모라이스
Miguel Guilherme,미구엘 길허미
Mily Possoz,밀리 포소스
Nélson Semedo,넬송 세메두
Hélder Guimarães,Hélder Guimarães
Victória Guerra,빅토리아 게하
João Palhinha,주앙 팔리냐
Gonçalo Paciência,곤살루 파시엔시아
Rui Tiago Dantas Silva,후이 실바
Nuno Melo,누노 메로
Rúben Neves,후벵 네베스
Paulo Fonseca,파울로 폰세카
Gelson Martins,젤송 마르팅스
Ulisses Garcia,울리세스 가르시아
Ricardo Melo Gouveia,히카르두 고베이아
Luís Montenegro,루이스 몬테네그로
Joana Ribeiro,조아나 히베이루
Renato Sanches,헤나투 산체스
Jazella Moore,자젤라 무어
Mário Centeno,마리오 센테노
Jucie Lupeta,조아킹 마누엘 웰로 루페타
Mimicat,미미캣
Rúben Dias,후벵 디아스
André Miguel Valente da Silva,앙드레 시우바
Bernardo Silva,베르나르두 실바
Ricardo Horta,히카르두 오르타
Leonor Andrade,레오노르 안드라드
Gonçalo Guedes,곤살루 게지스
Nélson Monte,넬송 몬트
Suzy,수지
Diogo Jota,디오구 조타
Grada Kilomba,그라다 킬롬바
Rafael Ferreira Silva,하파 실바
Lo Chung Mau,로충마우
Tiago Djaló,티아구 잘로
Cláudia Pascoal,클라우디아 파스코알
Joel Castro Pereira,조엘 카스트루 페레이라
Vera Von Monika,베라 본 모니카
Pedro Delgado,페드루 델가두
André Silva,안드레 로렌수 이 실바
Francisco António Machado Mota Castro Trincão,프란시스쿠 트링캉
Daniela Melchior,다니엘라 멜시오르
Alba Baptista,알바 바프티스타
David Rui Kong Cardoso,다비드 카르도주
Nuno Tavares,누노 타바레스
Gonçalo Ramos,곤살루 하무스
Salvador Sobral,살바도르 소브랄
Lucas Lamelas-López,루카스 라멜라스로페스
Manor Solomon,마노르 솔로몬
Jaime Freitas,하이메 프레이 타스
Gabriel Teodoro Martinelli Silva,가브리엘 마르티넬리
Jorge Fonseca,조르즈 폰세카
Diogo Costa,디오구 코스타
Diogo Dalot,디오구 달로트
Rúben Vinagre,후벵 비나그르
Jota Filipe,조타
Gedson Fernandes,제드송 페르난드스
Simao Pedro Goncalves de Figueiredo Costa,씨마오 페드로 데 코스타
João Félix Sequeira,주앙 펠리스
Loïs Openda,로이스 오펜다
Florentino Luís,플로렌티누 루이스
Pedro Lomba Neto,페드루 네투
Catarina Vaz Pinto,카타리나 바스 핀투
Rafael Leão,하파엘 레앙
Fábio Vieira,파비우 비에이라
Manuel Custódia,마누엘 쿠스토디아
Bruno Lage,브루누 라즈
David Carmo,다비드 카르무
Pedro Gonçalves,페드루 곤살베스
Nuno Alexandre Tavares Mendes,누누 멘드스
Matheus Nunes,마테우스 누네스
Josué Pinharanda Gomes,조주에 피냐란다 고메스
Luís Sequeira,루이스 세케이라
Bárbara Bandeira,바르바라 반데이라
Gonçalo Inácio,곤살루 이나시우
José Martinez Fructuoso,호세 마르티네스-프룩투오조
Madalena Sá e Costa,Madalena Sá e Costa
António João Pereira Albuquerque Tavares Silva,안토니우 실바
Jorge Arantes,조르즈 아란트스
Fábio Leandro Freitas Gouveia Carvalho,파비우 카르발류
João Neves,주앙 네베스
Marina Machete,마리나 마체테
Diogo Abreu,디오구 아브레우
Jaime Freitas,제이미 프레이타스
Vítor Oliveira,비토르 올리베이라
Ricardo Peres,히카르두 페레스
Beto Betuncal,베투
Diego Moreira,디에구 모레이라
Fábio Daniel Soares Silva,파비우 시우바
Vítor Ferreira,비티냐
Maro,Maro
Chelsy Shantel,Chelsy Shantel