조선민주주의인민공화국,朝鲜民主主义人民共和国
조선로동당 제7차 대회,朝鲜劳动党第七次代表大会
미래과학자거리,未來科學家大街
령남역,岭南站·(两江道)
룡현역,龙岘站·(咸镜北道)
로동역,芦洞站
로탄역,蘆灘站
검산리역,劍山里站
자양역 (황해남도),紫阳站·(黄海南道)
2016년 1월 조선민주주의인민공화국 핵 실험,2016年1月朝鮮核試驗
대오천역,大五川站
보안역,甫安站
심포리역 (운흥),深浦里站·(兩江道)
라산역,罗山站·(咸镜南道)
안학궁,安鶴宮
주체연호,主體曆
인풍루,仁風樓
북조선로동당,北朝鲜劳动党
통군정,統軍亭
옹진반도,甕津半島
박천 전투,博川戰鬥
수양산 (황해도),首陽山·(朝鮮)
일본-조선민주주의인민공화국 관계,日本—朝鲜关系
숭인전,崇仁殿
조선사회주의녀성동맹,朝鮮社會主義女性同盟
제10기 최고인민회의 대의원 선거,1998年朝鮮民主主義人民共和國最高人民會議選舉
제11기 최고인민회의 대의원 선거,2003年朝鮮民主主義人民共和國最高人民會議選舉
조선농업근로자동맹,朝鮮農業勞動者同盟
칠골교회,七谷教堂
조선민주주의인민공화국 U-17 축구 국가대표팀,朝鮮17歲以下國家足球隊
미림비행장,美林機場
조선민주주의인민공화국에 대한 제재,对朝鲜的制裁
부용당,芙蓉堂
애국렬사릉,愛國烈士陵
신천역 (신천),信川站
룡남산체육단,龍南山體育團
마전역 (함흥),麻田站·(咸镜南道)
사구역,沙口站·(咸镜北道)
운포역,云浦站
운곡역,云谷站
신창역 (은산),新仓站
신포역 (신포),新浦站·(咸镜南道)
구장청년역,球场青年站
리원역,利原站
리평역,梨坪站
사도역,蛇岛站
대성산 (평양),大城山
늪평역,沼坪站
쌍룡역 (김책),双龙站·(咸镜北道)
조선적십자회,朝鲜民主主义人民共和国红十字会
러시아-조선민주주의인민공화국 관계,朝鲜—俄罗斯关系
산양대역,山羊台站
상룡전역,上龍田站
천을역,天乙站
굴송역,屈松站
명호역,明湖站
월탄역,月灘站
무창역,茂昌站
새동역,鸟洞站
자성역,慈城站·(慈江道)
생기령역,生气岭站
생장역,生长站
귀인역,貴仁站
원평역,院坪站
삼지연못가역,三池淵池街站
삼호역,三湖站·(咸镜南道)
삼향역,三鄉站·(咸鏡北道)
원산금강산고속도로,元山金剛山高速公路
국경역 (온성),国境站
단천청년역,端川青年站
삼해역,三海站
대택역,大泽站·(两江道)
문봉역,文峰站·(朝鲜)
천태역,天台站·(黄海南道)
자산역,慈山站
장림역 (성천),长林站·(平安南道)
삼수청년역,三水青年站
삼지연청년역,三池淵青年站
상대역,上台站
위연청년역,渭淵青年站
인민체육인,人民体育人
금산역,金山站·(黄海南道)
물골역,水溝站·(羅先市)
극동역,极洞站
장마당 (조선민주주의인민공화국),朝鮮民主主義人民共和國黑市
금바위역,金岩石站
전사의 영예 훈장,战士荣誉勋章
소래교회,苏莱教会
국제김일성상,国际金日成奖
설마리 전투,雪马里战斗
조선민주주의인민공화국 U-23 축구 국가대표팀,朝鮮23歲以下國家足球隊
붉은 군대 사령부의 원,苏联红军票·(朝鲜)
사이버 공격,网络攻击
조선민주주의인민공화국의 성소수자 권리,朝鮮LGBT權益
조선민주주의인민공화국 무력 최고사령관,朝鲜民主主义人民共和国武装力量最高司令官
김일성가,金日成家族
개선청년공원,凱旋青年公園
황룡산성,皇龍山城
은하수관현악단,銀河水管弦樂團
평양산원,平壤產科醫院
수남구역,水南区域
라남구역,羅南區域
포항구역,浦港區域
신암구역,新岩區域
업억역,业亿站
세선역,世仙站
함주역,咸州站
보천청년역,普天青年站
세포리역,细浦里站
여해진역,汝海津站
성후역,城后站
세검정 (만포),洗劍亭·(滿浦市)
어대진역,渔大津站
전평역,錢坪站
축전역,杻田站·(咸镜南道)
갈산역 (청단),葛山站·(黄海南道)
합수역,合水站
보통강역,普通江站
기암역,奇岩站·(咸镜南道)
양곡역,旸谷站·(两江道)
금송역,金松站
조선민주주의인민공화국의 선전,朝鲜政治宣传
선봉역,先鋒站·(羅先市)
미둔역,弥屯站
재덕역,載德站
장평역,长坪站
양시선,楊市線
선군절,先军节
육진 방언,六镇方言
은덕역,恩德站
서함흥역,西咸興站
멸악산맥,滅惡山脈
순천역 (평안남도),顺川站
기탄역,岐滩站
민탕역,珉湯站
약산동대,藥山東臺
금성청년출판사,金星青年出版社
두루섬,豆老島
장진선,長津線
정주청년역,定州青年站
인민문화궁전,人民文化宮
찬동자 파크,贊同者球場
칠성문,七星門
정방산성,正方山城
조선중앙력사박물관,朝鲜中央历史博物馆
장연선,長淵線
청진청년역,清津青年站
청계역,清溪站
청천강역,清川江站
청강역,清江站
평양대극장,平壤大劇場
침촌역,沈村站
개심사 (명천군),開心寺·(七寶山)
녕변군,寧邊郡
유점사,榆岾寺
영명사 (평양),永明寺·(平壤市)
신압록강대교,中朝鸭绿江界河公路大桥
만경대혁명학원,萬景臺革命學院
부벽루,浮碧樓
표훈사,表訓寺
도문국경대교,图们国境大桥
금수산 (평양),錦繡山
두만강대교,圖們江大橋
기자릉,箕子陵
관서팔경,關西八景·(朝鮮)
개성-문산 전투,開城-汶山戰役
장혜국제대교,長惠國際大橋
풍어역,丰渔站
증산역 (리원),曾山站
죽전역 (김형직),竹田站·(两江道)
풍양역 (김정숙),丰阳站
풍천역,楓川站
풍계역,丰溪站
주서역,州西站
일신역 (단천),日新站·(咸镜南道)
지수역,智水站
중도역,中島站·(咸鏡北道)
왕장역,旺场站
중이역,中二站
부평역 (정평),富坪站·(平羅線)
조선로동당 대표자회,朝鲜劳动党全国代表大会
후창역,厚仓站
라흥역,罗兴站
라죽역,羅竹站
포평청년역,葡坪青年站
랭정역,冷井站·(黄海南道)
남중역,南中站
남양역,南陽站·(咸鏡北道)
희천발전소,熙川水电站
락원역 (락원),乐园站·(咸镜南道)
남석역,南夕站
중화역 (중화),中和站·(黄海北道)
량강신상역,兩江新上站
옹진역,瓮津站
내동역 (양덕),内洞站
후주청년역,厚州青年站
인민상,共和国人民奖
인흥역,仁兴站
남문역,南门站·(朝鲜)
현무문,玄武門·(平壤市)
인산역,仁山站·(两江道)
인평역,仁平站
락산역,洛山站
승원역,胜院站
평양희천고속도로,平壤熙川高速公路
제12사단 (조선민주주의인민공화국),朝鲜人民军第12师
제766독립보병연대,朝鲜人民军第766独立步兵团
2013년 조선민주주의인민공화국 핵 실험,2013年朝鲜核试验
조선민주주의인민공화국의 언론,朝鲜民主主义人民共和国媒体
천리장성,千里长城
제105기갑사단 (조선민주주의인민공화국),朝鲜人民军第105装甲师
제6사단 (조선민주주의인민공화국),朝鲜人民军第6师
칠골역,七溝站
만수대예술극장,萬壽臺藝術劇場
조선인민군 특수작전군,朝鮮人民軍特殊作戰軍
건자역,乾自站
송평역,松坪站
송상역,松上站
연안역,延安站·(黄海南道)
송전역,松田站·(两江道)
강하역,江下站
사리원 전투,沙里院戰役
거산역,居山站
연암역,延岩站
강상리역,江上里站
홍원역,洪原站
염분역,盐盆站
속후역,俗厚站
정일봉,正日峰
홍군역,洪君站
제4군단 (조선민주주의인민공화국),朝鲜人民军第4军
송도역 (안주),松道站
강구역 (혜산),江口站·(两江道)
거차역,巨次站
연풍역,延丰站
연평역,延坪站
송단역,松端站
수남역,水南站·(咸镜北道)
한국의 반일감정,韩国反日情绪
토령역,土岭站·(咸镜南道)
오봉역 (경흥),梧凤站
김책역,金策站
오몽리역,吾梦里站
동천역 (철산),东川站·(平安北道)
경안역,景安站·(咸镜南道)
수덕역 (은산),修德站
부거역,富居站
오계역,梧溪站
동북리역,东北里站
남계역,南溪站·(两江道)
회양역,檜陽站
범포역,范浦站
수양역,首阳站
화평역 (화평),和坪站
두지역,杜芝站
경성역 (경성군),镜城站
봉강역,凤冈站
회중역,檜中站
오구비역,五弯站
팔흥역,八兴站
조선민주주의인민공화국 재정성,财政省
조막산역,造幕山站
풍계리 핵 실험장,豐溪里核試驗場
백마선,白馬線
력포역,力浦站
신흥선,新興線
두만강역,豆满江站
금골선,金溝線
반성렬도,盘城列岛
개천선,价川线
강덕선,康德線
의주비행장,义州飞行场
덕현선,德岘线
은률선,殷栗线
흑교역,黑桥站·(朝鲜)
배천선,白川線
2010년 아시안 게임 조선민주주의인민공화국 선수단,2010年亚洲运动会朝鲜代表团
삼지연선,三池淵線
신안주청년역,新安州青年站
조선민주주의인민공화국의 전화번호 체계,朝鲜电话号码
황해청년선,黄海青年线
남신의주역,南新义州站
선천역,宣川站
강계선,江界線
만월대,滿月臺
하단역 (정주),下端站·(平安北道)
선죽교,善竹橋
황주역,黄州站·(朝鲜)
룡주역,龙州站
평산역,平山站·(黄海北道)
옹진선,甕津線
조국해방전쟁 승리 기념일,祖國解放戰爭勝利紀念日
평덕선,平德线
상황토역,上黄土站
정평역 (정평),定平站
승암역,胜岩站
풍계리,豐溪里
신중역,新中站
신파청년역,新坡青年站
침교역,砧桥站
강서대묘,江西三墓
양화역,阳化站
봉학역,凤鹤站
어랑역,渔郎站
회암역,灰岩站
성덕역,城德站
영저역,嶺底站
서호역,西湖站·(咸镜南道)
무산선,茂山线
만춘역,晚春站
항구구역,港口區域
거흥역,巨兴站
방진역,方津站
배산점역,裴山店站
룡운역,龙云站
한포역,汗浦站
회령탄광선,會寧煤礦線
백무선,白茂線
내포역 (함경북도),内浦站
신단천역,新端川站
구성역 (구성),龟城站
함흥본궁,咸興本宮
동사리원역,东沙里院站
려호역,吕湖站
문필역,文筆站
경포역,景浦站
학성역 (김책),鹤城站·(咸镜北道)
해주 경기장,海州體育場
회암선,灰巖線
려현역,砺岘站
룡성 관저,龍城官邸
천내역,川内站·(江原道)
서산축구경기장,西山足球競技場
신계역,新溪站
석현역,石峴站·(黃海北道)
룡천역,龙川站·(平安北道)
룡강선,龍岡線
릉라인민유원지,綾羅人民遊園地
로하역,路下站
송도원역,松涛园站
평북선,平北線
평양체육관,平壤體育館
조선민주주의인민공화국의 총리,朝鲜民主主义人民共和国总理
옥평역,玉坪站
부포선,釜浦線
박천선,博川線
락원역 (신의주),乐元站
라남역,罗南站
어파역,渔波站
봉산역,凤山站·(黄海北道)
선더볼트 작전,漢江南岸防禦戰
조선로동당 중앙위원회 정치국,朝鲜劳动党中央委员会政治局
곡부 공씨,曲阜孔氏·(高麗派)
로동자신문,勞動者新聞
함흥대극장,咸兴大剧场
현지지도,現場指導
이천청년역,伊川青年站
제2군단 (조선민주주의인민공화국),朝鲜人民军第2军
리과대학,平城理科大學
흥수역,兴水站
평양철도대학,平壤鐵道大學
피바다가극단,血海歌剧团
광명성,光明星
개풍역,开丰站
고건원선,古乾原線
고려박물관,高麗博物館
제1군단 (조선민주주의인민공화국),朝鮮人民軍第1軍
라진역,羅津站
2008년 조선민주주의인민공화국 인구일제조사,2008年朝鮮民主主義人民共和國人口普查
고읍역,古邑站
무산광산선,茂山礦山線
마식령 스키장,馬息嶺滑雪場
일탄선,日炭線
조선미술박물관,朝鲜美术博物馆
금천역,金川站·(黄海北道)
고원탄광선,高原煤礦線
청하역,清下站
고성역,高城站·(江原道)
와우도구역,臥牛島區域
사향역,麝香站
1993년 조선민주주의인민공화국 인구일제조사,1993年朝鮮民主主義人民共和國人口普查
조선로동당의 영원한 총비서,朝鲜劳动党永恒的总书记
김형직사범대학,金亨稷師範大學
룡담역,龍潭站·(江原道)
법흥사 (평원군),法興寺·(朝鮮)
조선로동당 제4차 대회,朝鲜劳动党第四次代表大会
박연폭포,朴淵瀑布
동림폭포,東林瀑布
맹중리역,孟中里站
금강산청년선,金刚山青年线
계정역,鸡井站
조선로동당 제6차 대회,朝鲜劳动党第六次代表大会
가도 (철산군),椵岛
만덕선,滿德線
곽산역,郭山站
조국평화통일위원회,祖國和平統一委員會
정양사,正陽寺
특급시,特級市
서종역,西钟站
광탄역,广滩站
미력역,未力站
화산역 (재령),花山站·(黄海南道)
김철주사범대학,金哲柱師範大學
평양연극영화대학,平壤話劇電影大學
보천읍,普天邑
함흥화학공업대학,咸興化學工業大學
장수산역,長壽山站·(朝鮮)
조선민주주의인민공화국 체신성,朝鮮民主主義人民共和國遞信省
문천역,文川站
보천보전투승리기념탑,普天堡戰鬥勝利紀念塔
평양문화전시관,平壤文化展示館
내토역,內土站
최승대,最勝臺
조선로동당 제3차 대회,朝鲜劳动党第三次代表大会
조선로동당 제5차 대회,朝鲜劳动党第五次代表大会
석탄역,石滩站·(黄海南道)
서사리원역,西沙里院站
세길역,三路站
평양건축종합대학,平壤建設建材大學
삼강역,三江站·(黄海北道)
북한의 농업,朝鮮民主主義人民共和國農業
배화역,培花站
평양 대성산성,大城山城
금광사,朝鮮金光寺
미곡역,嵋谷站
정도역,鼎岛站
재북평화통일촉진협의회,在北和平統一促進協議會
조선기자동맹,朝鮮記者同盟
송도원,松濤園
문수물놀이장,紋繡戲水場
안골선,安溝線
홰불체육단,火炬体育团
철산선,铁山线
3대혁명전시관,三大革命展示館
국가항공우주기술총국,朝鲜民主主义人民共和国国家航空航天技术总局
남포경기장,南浦競技場
개성 남대문,南大門·(開城市)
문덕역,文德站·(平安南道)
전탄역,前滩站
문무역,文武站
내중역,内中站
조선민주주의인민공화국 국적법,朝鮮民主主義人民共和國國籍法
광명성절,光明星节
물개역,物开站
조선민주주의인민공화국 사회안전성,社会安全省
오악 (한국),五岳·(朝鲜半岛)
을밀대,乙密臺
북한의 불법행위,朝鲜非法活动
학현역,鹤岘站
신대역 (과일),新大站
2016년 하계 올림픽 조선민주주의인민공화국 선수단,2016年夏季奧林匹克運動會朝鮮代表團
조선민주주의인민공화국 여자 U-20 축구 국가대표팀,朝鮮20歲以下國家女子足球隊
제3기 최고인민회의 대의원 선거,1962年朝鮮民主主義人民共和國最高人民會議選舉
봉수교회,鳳岫教會
제6기 최고인민회의 대의원 선거,1977年朝鮮民主主義人民共和國最高人民會議選舉
제7기 최고인민회의 대의원 선거,1982年朝鮮民主主義人民共和國最高人民會議選舉
제5기 최고인민회의 대의원 선거,1972年朝鮮民主主義人民共和國最高人民會議選舉
납북자,拉北
조선민주주의인민공화국 U-20 축구 국가대표팀,朝鮮20歲以下國家足球隊
제2기 최고인민회의 대의원 선거,1957年朝鮮民主主義人民共和國最高人民會議選舉
제8기 최고인민회의 대의원 선거,1986年朝鮮民主主義人民共和國最高人民會議選舉
제9기 최고인민회의 대의원 선거,1990年朝鮮民主主義人民共和國最高人民會議選舉
북계수역,北溪水站
현내역,县内站
청암역,青岩站
순안역,顺安站·(平壤市)
다사도선,多獅島線
대교역,大桥站·(平安南道)
태백산성역,太白山城站
대안선,大安线
현릉 (고려 태조),王建王陵
숙천역,肃川站
서해갑문선,西海閘門線
태풍 기러기,颱風鴻雁
석암역,石巖站
서흥역,瑞兴站
태왕,太王
동림역,东林站
제5군단 (조선민주주의인민공화국),朝鲜人民军第5军
염주역,盐州站
신성천역,新成川站
운암역,雲巖站
평양원산관광도로,平壤元山觀光公路
립암역,立岩站·(平安北道)
은산선,殷山線
운산선,雲山線
조선소년단,朝鲜少年团
운전역,云田站
화도역,花岛站
성내역 (고원),城内站·(咸镜南道)
석탕온천역,石汤温泉站
조선민주주의인민공화국의 여성,朝鲜的女性
로농적위군,劳农赤卫军
삼방역,三防站
동가리역,董家里站
광명역 (고산),光明站·(江原道)
검불랑역,剑拂浪站
성산역 (세포),城山站
남산역 (안변),南山站·(江原道)
락천역,落川站
금강산청년역,金刚山青年站
김책제철련합기업소,金策製鐵聯合企業所
김일성방송대학,金日成廣播大學
평강역 (평강),平康站
4.25문화회관,4·25文化會館
7·4 남북 공동 성명,南北共同声明
평양기계대학,平壤機械大學
고무산역,古茂山站
둔전역 (고원),屯田站·(咸镜南道)
양덕역,阳德站
은산역,殷山站
조선인민군 총참모부,朝鲜人民军总参谋部
유엔사령부 군사정전위원회,聯合國軍事停戰委員會
조선인민군 총정치국,朝鲜人民军总政治局
가곡역,佳谷站
8월 종파 사건,八月宗派事件
갑산파,甲山派事件
스웨덴-조선민주주의인민공화국 관계,朝鲜—瑞典关系
주조 스웨덴 대사관,瑞典驻朝鲜大使馆
신전역,新田站·(咸鏡北道)
붉은청년근위대,红色青年近卫队
동 (행정 구역),洞·(行政区划)
제로코비드,清零政策
판문구역,板門區域
아시아의 코로나19 범유행,2019冠狀病毒病亞洲疫情
공민증,公民证·(朝鲜)
코로나19 범유행,2019冠状病毒病疫情
목란비데오,木蘭影片
대장역 (평안북도),大将站
조선민주주의인민공화국의 대량살상무기,朝鲜与大规模杀伤性武器
2019년 남북미정상회담,2019年美韓朝三方會談
기상수문국,气象水文局
법운암,法雲庵
세포청년역,洗浦青年站
백암청년역,白岩青年站
룡지원역,龙池院站
4월의 봄 친선예술축전,四月之春親善藝術節
용곡서원,龍谷書院
한국어족,朝鲜语系
소련파,蘇聯派
리목역,梨木站
개성 숭양서원,崧陽書院
부래산역,浮来山站
용악산,龍岳山
재일 조선인 북송사업,在日朝鮮人歸國運動
만포청년역,满浦青年站
반죽역,班竹站
남북공동연락사무소 폭파 사건,南北共同聯絡事務所炸毀事件
조선민주주의인민공화국의 코로나19 범유행,2019冠狀病毒病朝鮮疫情
화성-17형,火星17彈道飛彈
2020년 한국 집중호우,2020年韓國洪災
조선로동당 중앙위원회 비서국,朝鮮勞動黨中央委員會書記局
조선로동당 제8차 대회,朝鲜劳动党第八次代表大会
연평도 해역 공무원 피격 사망 사건,韩国公务员延坪岛海域遭枪杀事件
주조 중국 대사관,中國駐朝鮮大使館
2017년 조선민주주의인민공화국 미사일 발사,2017年朝鲜导弹试验
조선-러시아 우정의 다리,朝俄国境友谊桥
주체농법,主體農法
조선문학예술총동맹,朝鮮文學藝術總同盟
대북전단과 대남전단,韩国气球宣传运动
득장선,得将线
평양제1백화점,平壤第一百貨商店
3대혁명붉은기쟁취운동,争获三大革命红旗运动
고참탄광선,古站煤矿线
조선민주주의인민공화국 중앙검찰소,朝鲜民主主义人民共和国中央检察所
제4기 최고인민회의 대의원 선거,1967年朝鮮民主主義人民共和國最高人民會議選舉
비날론선,維尼綸線
장상선,长上线
남양국경선,南陽國境線
구봉산선,龜鳳山線
청진 궤도전차,清津有軌電車
대건선,戴建線
춘두선,春斗线
홍의역,洪仪站
해주청년역,海州青年站
천내선,川内线
려명거리 아파트,黎明公寓
조선민주주의인민공화국 중앙통계국,朝鲜民主主义人民共和国中央统计局
관하선,官下线
북한의 맥주,朝鮮民主主義人民共和國的啤酒
성평선,城坪線
대각선 (철도),大角線
덕남선,德南线
평양방어사령부,平壤防禦司令部
만수대 아파트,萬壽臺公寓
동아시아 청소년 경기 대회,東亞青年運動會
문천항선,文川港线
국제김정일상,国际金正日奖
조선의 오늘,今日朝鲜·(网站)
금야선,金野線
수풍선,水豐線
청진항선,清津港線
청년전위,青年前衛
룡암선,龙岩线
제9군단 (조선민주주의인민공화국),朝鲜人民军第9军
강계역,江界站
락랑선,樂浪線
평성역,平城站·(平安南道)
창흥선,昌兴线
명당선,明堂线
조선불교도련맹,朝鮮佛教徒聯盟
동포선,東浦線
사회과학원,朝鮮社會科學院
재동선,梓洞线
직동탄광선,直洞煤礦線
조국해방전쟁승리기념관,祖國解放戰爭勝利博物館
서호선,西湖線
명천역,明川站
금강천 (강원),金剛川
고산역 (고산),高山站·(江原道)
검은모루동굴유적,黑隅里遗址
김일성 배지,金日成像章和金正日像章
룡성역,龙城站
려명거리신도시,黎明大街
국제관계대학,國際關係大學
로동자구,勞動者區
동대역,東坮站
룡반역,龙蟠站
남강덕역,南康德站
다사도역,多狮岛站
명사십리,明沙十里
랑림역,狼林站
마식령,馬息嶺
룡문탄광선,龙门煤矿线
길주청년역,吉州青年站
무산역,茂山站
부전강,赴戰江
금옥역,金玉站
배천역,白川站
복계역,福溪站
2018년 조선민주주의인민공화국 버스 사고,2018年朝鲜重大交通事故
조선민주주의인민공화국의 국가 원수 배우자,朝鲜民主主义人民共和国第一夫人
2018년 제1차 남북정상회담,2018年4月南北韓高峰會
화성구역,和盛区域
통일각,統一閣
2018년 동계 올림픽 조선민주주의인민공화국 선수단,2018年冬季奥林匹克运动会朝鲜代表团
2017년 8월 29일 조선민주주의인민공화국 미사일 발사,2017年8月29日北韓導彈試驗
모학선,慕鶴線
2017년 조선민주주의인민공화국 핵 실험,2017年朝鲜核试验
평양속도,平壤速度
김일성고급당학교,金日成高級黨學校
신남포역,新南浦站
수성역,輸城站
목란관,木蘭館
2018년 아시안 게임 남북 단일 선수단,2018年亚洲运动会朝韩联队
백화원 영빈관,百花園迎賓館
사리원신천고속도로,沙里院信川高速公路
판문각,板門閣
삼일포역,三日浦站
조선로동당 선전선동부,朝鲜劳动党中央委员会宣传鼓动部
신강령역,新康翎站
고구려 평양성 석편,平壤城壁石刻
2018년 제2차 남북정상회담,2018年5月朝韩首脑会晤
주청진 중국 총영사관,中国驻清津总领事馆
삼일포,三日浦
려명체육단,黎明體育團
황해북도예술극장,黃海北道藝術劇場
양지역 (금호),陽地站·(咸鏡南道)
북미정상회담,朝美峰會
제14기 최고인민회의 대의원 선거,2019年朝鮮民主主義人民共和國最高人民會議選舉
김군옥영웅함,金君玉英雄号潜艇