Seoul,首尔特别市
Gwangju,光州广域市
Busan,釜山广域市
Daegu,大邱廣域市
Suwon,水原市
Republic of Korea,韩国
Ulsan,蔚山
Changwon,昌原市
Hallasan,漢拏山
Chuncheon,春川市
Jeonju,全州市
Cheonan,天安市
Andong,安东市
Gimcheon,金泉市
Iksan,益山市
Chungju,忠州市
Osan,烏山市
Asan,牙山市
Ansan-si,安山市
Incheon International Airport,仁川國際機場
Gyeonggi-do,京畿道
Gwangju,光州广域市
Gwangju,廣州市
Gumi,龟尾市
Gongju,公州
Gapyeong,加平郡
Mungyeong,聞慶市
Miryang,密陽市
Yangsan,梁山市
Yangju,楊州市
Yeosu,麗水市
Namyangju,南楊州市
Jeju International Airport,濟州國際機場
Asia,亚洲
Gimpo International Airport,金浦国际机场
Pyeongchang,平昌郡
Busan,釜山广域市
Nonsan,論山市
Seoul,首尔特别市
Muan International Airport,务安国际机场
Gunsan Airport,群山空港
Yeosu/Suncheon Airport,麗水機場
Sacheon Airport,泗川機場
Naju,羅州市
Uljin-gun,蔚珍郡
Biyangdo,飛揚島
Biseulsan,琵瑟山
Sungnyemun,崇禮門
Gyeonggi-do,京畿道
Seoul National University,首爾大學
Korean International Circuit,韓國國際賽道
Gwanaksan,冠岳山
Gongjaksan,孔雀山
Inwangsan,仁王山
Hwaaksan,华岳山
Palgongsan,八公山
Marado,马罗岛
Seoul Station,首爾站