Jūrmala,尤爾馬拉
Nacionālā apvienība "Visu Latvijai!"—"Tēvzemei un Brīvībai/LNNK",民族聯盟 (拉脫維亞)
Gardene,加尔登内站
Rēzeknes novads,雷澤克內市鎮
Liepājas osta,利耶帕亚港
Koknese,科克内塞站
Krustpils pils,克魯斯特皮爾斯城堡
Dzelzceļa līnija Krustpils—Rēzekne II,克鲁斯特皮尔斯-雷泽克内铁路
Krāslavas pils,克拉斯拉瓦新宫
Krāslavas ordeņa pils,克拉斯拉瓦旧宫
Lielvārdes pils,利耶爾瓦爾代城堡
Liepupes pagasts,利普教區
FK Auda,FK奥达
Nepilsoņi,非公民
Zemgales Olimpiskais centrs,泽姆加莱奥林匹克中心
Zosēnu pagasts,藻塞尼堂区
Jersika,杰西卡公国
Latvijas Nacionālās Neatkarības Kustība,拉脫維亞民族獨立運動黨
Dubulti,杜布尔季站
Jersika (stacija),耶尔斯卡站
Dzelzceļa līnija Rīga—Jelgava,里加－叶尔加瓦鐵路
Pārdaugava,帕尔道加瓦
Ropažu novads,羅帕日市鎮
Latvijas Tautas fronte,拉脱维亚人民阵线
Latvijas volejbola izlase,拉脫維亞國家男子排球隊
Iecava,耶察瓦河
Latvijas Basketbola līga,拉脱维亚篮球联赛
Slīteres nacionālais parks,斯里特國家公園
biezpiena plācenīši,錫爾尼基
Kolkasrags,科尔卡角
The Baltic Times,波羅的海時報
Latvijas Radio,拉脱维亚电台
BFC Daugavpils,陶格夫匹尔斯足球俱乐部
Krustpils pagasts,克鲁斯特皮尔斯堂区
SmartLynx Airlines,山貓航空
Latvijas Okupācijas muzejs,拉脱维亚被占领时期博物馆
Kūdra,库德拉站
Kūkova,庫赫瓦河
Milzkalne,米尔兹卡尔内站
Līči,利奇站
Viļakas novads,維利亞卡市鎮
Lutriņi,卢特里尼
Līgciems,利格茨埃姆站
Līvbērze,利夫贝尔泽
Līvāni (stacija),利瓦尼站
Lielupe,利耶卢佩站
Liepas pagasts,利耶帕堂区
Līksna (stacija),利克斯纳站
Aizkraukles kauja,埃兹卡乌克战役
Kolka,科爾卡
Saeimas priekšsēdētājs,拉脫維亞議會議長
Rušons,魯紹納斯湖
Baltijas valstu nacionālo parku uzskaitījums,波罗的海三国国家公园列表
LPP/LC,拉脫維亞第一黨/拉脫維亞之路
Par Latvijas Republikas neatkarības atjaunošanu,重建独立的拉脱维亚共和国
Ozolsala,奥佐尔萨拉站
Padone,帕多内站
Pasažieru vilciens,拉脱维亚铁道客运公司
Majori,马约里站
Melluži,梅卢日站
Latvijas Nacionālais simfoniskais orķestris,拉脱维亚国家交响乐团
Latvijas Pagaidu valdība,拉脫維亞臨時政府
Latvijas kuģniecība,拉脱维亚航运公司
latviešu zīmju valoda,拉脱维亚手语
NBS Speciālo uzdevumu vienība,特別任務單位
Latvijas Republikas aizsardzības ministrs,拉脱维亚国防部长
Sieksāte,锡埃克萨泰站
Latvijas Sarkanais Krusts,拉脫維亞紅十字會
Tautsaimnieku politiskā apvienība,經濟學家政治聯盟
Praviņi,普拉维尼站
Pāvilostas osta,帕维洛斯塔港
Pumpuri,普姆普里
Puze,普泽站
Dzelzceļa līnija Ventspils—Maskava,文茨皮尔斯-莫斯科铁路
Mežciems (stacija),梅日齐姆斯站
Mikrofona aptauja,麦克风 (歌曲比赛）
Milzkalne,米尔兹卡尔内
Latvijas Republikas Ekonomikas ministrija,经济部
Latvijas Republikas Satiksmes ministrija,拉脫維亞運輸部
nacionālais parks,拉脫維亞國家公園
Ludza,勒扎河
Pūre,普雷站
Lubes pagasts,卢贝堂区
Majori,马约里
Namiķi,纳米基_(卢特里尼堂区)
Krāslavas novads,克拉斯拉瓦市镇
Mežaparka Lielā estrāde,梅薩帕克露天舞臺
Miķeļbāka,米开洛夫斯科
Latvijas politika,拉脫維亞政治
Jāņi,亞尼節
Latvijas Nacionālais teātris,拉脫維亞國家劇院
Nīcgale,尼茨加莱
Olaine,奥莱内站
Saulkalne,绍尔卡尔内
Terehova,德雷霍瓦
Tiņģere,季尼杰雷
Ozolnieki,奧佐爾涅基車站
Olaines pagasts,奥莱内堂区
Ciblas novads,齊布拉市鎮
Rīgas Horālā sinagoga,合唱大猶太會堂 (里加)
Rīgas sinagoga,佩塔夫猶太會堂
Daugavpils Universitāte,陶格夫匹尔斯大学
Nīcas novads,尼察市鎮
Mākslas muzejs "Rīgas Birža",拉脫維亞外國藝術美術館
Pirmais Baltijas kanāls,第一波罗的海频道
Vendi,温迪
Salaspils pagasts,萨拉斯皮尔斯堂区
Rēzekne,雷澤克內河
Latvijas augstskolas,拉脱维亚大学列表
Latvijas Nacionālais vēstures muzejs,國立拉脫維亞歷史博物館
tramvaju satiksme Liepājā,利亞帕亞電車
LETA,拉脱维亚通讯社
Lilaste,利拉斯泰
Liepājas partija,利耶帕亞黨
Rīdzene,里泽内
Rītausmas,里陶斯马斯
Sabile,萨比莱站
Rīgas arhibīskapija,天主教里加總教區
Auces novads,奧采市鎮
Ventas rumba,文塔瀑布
Saka,萨卡河
Amatas novads,阿馬塔市鎮
Latvijas saimniecība,拉脫維亞經濟
Pāvilostas novads,帕維洛斯塔市鎮
Valkas novads,瓦爾卡市鎮
Josta,约斯塔站
Latvijas dzelzceļa vēstures muzejs,拉脱维亚铁路历史博物馆
Vēlēšanas Baltijā (1940),人民议会
Nīcgale (stacija),尼茨加莱站
Nīcgales pagasts,尼茨加莱堂区
Slampe,斯拉姆佩站
Priedaine,普里埃代内
Imanta,伊曼塔
Vecmīlgrāvis,維茨米爾格拉維斯
Zasulauks,扎苏劳克斯
Bulduri,布尔杜里
Cēsu novads,采西斯市镇
Latvijas politisko partiju uzskaitījums,拉脫維亞政黨列表
Tērvete,特尔韦特
Trepe (stacija),特雷佩站
Vecpiebalgas novads,舊皮耶巴爾加市鎮
Spāre,斯帕雷
Smiltenes novads,斯米爾泰內市鎮
Durbes novads,杜爾貝市鎮
Mihaila Čehova Rīgas Krievu teātris,里加俄羅斯劇場
Rīgas Latviešu biedrība,里加拉脱维亚学会
reliģija Latvijā,拉脱维亚宗教
Slokas stadions,斯洛卡球場
Sloka,斯洛卡站
Smārdes pagasts,斯马尔代堂区
Rucavas pagasts,鲁察瓦堂区
Ilūkstes novads,伊盧克斯泰市鎮
autoceļš P108,拉脱维亚P108高速公路
Priedaine,普里埃代内站
Pumpuri,普姆普里站
Triānas Parks,堤亞納公園
Rīgas karogs,里加市旗
Holokausts Latvijā,拉脫維亞的納粹大屠殺
Latvijas Superkauss futbolā,拉脫維亞超級盃
Ciecere,茨埃采雷河
Zvejniekciems,兹维伊涅克茨埃姆斯
Zālīte (stacija),扎利特
Jaundubulti,新杜布尔季站
Baldones novads,巴爾多內市鎮
Dubulti,杜布尔季
11. novembra krastmala,11月11日路堤
Dzelzceļa līnija Jelgava—Liepāja,叶尔加瓦－利耶帕亚鐵路
Svētciems,斯维特茨埃姆斯
FK Tukums 2000,图库姆斯2000
Dzelzceļa līnija Ventspils—Tukums II,文茨皮尔斯-图库姆斯铁路
Gulbenes pilsētas stadions,古尔贝内市体育场
Līvbērze,利夫贝尔泽站
Ventspils Starptautiskais radioastronomijas centrs,伊爾貝恩
Valmiera FC,瓦尔米耶拉足球俱乐部
Pārogre,帕罗格雷站
PeR,解釋節奏
Apšupe,阿普舒佩站
Asari,浅利
Rīgas Stradiņa universitāte,里加斯特拉金什大学
Latvijas krievi,在拉脱维亚的俄罗斯人
Balvu novads,巴爾維市鎮
Alsungas novads,阿爾松加市鎮
Vidzemes Olimpiskais centrs,维泽梅奥林匹克中心
Vidzemes Zemes padome,维泽梅省级委员会
Vidzemes bruņniecības nams,立窩尼亞貴族之家
Vidzemes plānošanas reģions,維澤梅計畫區
Eiropas autoceļš E262,欧洲E262公路
Zebrus,澤布魯斯湖
Aglonas novads,阿格洛納市鎮
Latvijas futbola 2. līga,拉脱维亚足球乙级联赛
Krustpils,克鲁斯特皮尔斯站
Dzelzceļa tilts,鐵路橋 (里加)
Vidzemes augstiene,维泽梅高地
Melnsils,梅爾席恩斯
Saunags,绍纳格斯
Babītes novads,巴比泰市鎮
Kazdanga,卡茲丹加
Viesītes novads,維耶西泰市鎮
Stūnīši,斯通尼希
Ēdole,埃多莱
FK Spartaks Jūrmala,尤尔马拉斯巴达克斯足球俱乐部
Cirma ezers,齊爾馬湖
Kandavas novads,坎達瓦市鎮
Vaide,瓦伊德
Jaunpils novads,新皮爾斯市鎮
Lubānas novads,盧巴納市鎮
Ķeguma novads,基耶古姆斯市镇
Latvijas Sauszemes spēki,拉脫維亞陸軍
Turaidas pils,圖雷達城堡
Viļānu novads,維利亞尼市鎮
Beverīnas novads,貝韋里納市鎮
Ērgļu novads,埃爾格利市鎮
Burtnieku novads,布爾特涅基市鎮
Airīte,艾里泰站
Aizkraukle,艾兹克劳克莱站
Alsungas viduslaiku pils,亞松加城堡
Ernsta Glika Bībeles muzejs,恩斯特·格吕克圣经博物馆
FK Liepāja,FK利耶帕亞
Neretas novads,內雷塔市鎮
Vārnukrogs,瓦尔努克罗格斯
Latvijas reģionālie autoceļi,拉脱维亚地方公路
Dziesma 2014,待烤的蛋糕
Kūdra,库德拉
Rumbula,鲁姆布拉站
Dārziņi,达尔齐尼站
Latvijas Republikas Satversme,拉脫維亞憲法
Rīgas Motormuzejs,里加汽車博物館
Dzelzceļa līnija Daugavpils—Indra,陶格夫匹尔斯-英迪拉铁路
Rīgas FK,RFK里加
Salaspils novads,薩拉斯皮爾斯市鎮
autoceļš P132,P132公路
Biksti,比克斯季站
Bikstu pagasts,比克斯季堂区
Blīdene,布利代内站
Blīdenes pagasts,布利代内堂区
Brakšķi,布拉克什基站
Ikšķile,伊克什基莱站
Vienoti Latvijai,拉脱维亚团结党
Rucavas novads,魯察瓦市鎮
Latavio,拉脫維亞航空
Riebiņu novads,里耶比尼市镇
Baloži,巴洛日站
Baltezers,巴尔泰泽尔斯
Rundāles novads,倫達萊市鎮
Raunas novads,勞納市鎮
Inčukalna novads,印楚卡倫斯市鎮
Skrundas novads,斯克倫達市鎮
Siguldas novads,錫古爾達市鎮
Salacgrīvas novads,薩拉茨格里瓦市鎮
Lutriņi,卢特里尼站
Lāči,拉契站
Lāčplēša diena,拉普拉辛日
Lāčplēša iela,拉奇普莱沙街
Atgāzene,阿特加泽内
BK Skonto,斯康托篮球俱乐部
Bakans,巴坎斯湖
Pārgaujas novads,帕高亞市鎮
Kocēnu novads,科采尼市镇
Kalvene,卡尔韦内站
Virbu pagasts,维尔比堂区
Zīlāni,兹拉尼
Daugavas stadions,道加瓦体育场
Lilaste,利拉斯泰河
Latvijas Ģeotelpiskās informācijas aģentūra,拉脱维亚地理空间信息局
Mārupes novads,馬魯佩市鎮
Saskaņa,社会民主党“和谐”
Garkalnes novads,加爾卡爾內市鎮
Ķekavas novads,基耶卡瓦市镇
Tērvetes novads,泰爾韋泰市鎮
Dole,多莱站
Saulkalne,绍尔卡尔内站
Ciemupe,茨埃姆佩站
Muldakmens,穆尔达克门斯站
Aarzemnieki,祖先合唱團
Stopiņu novads,斯托皮尼市鎮
Dundagas novads,敦達加市鎮
Preiļu novads,普雷利市鎮
Krustpils novads,克魯斯特皮爾斯市鎮
Līvānu novads,利瓦尼市鎮
Strenču novads,斯特倫奇市鎮
Priekuļu novads,普里埃庫利市鎮
Skrīveru novads,斯克里韋里市鎮
Kremerata Baltica,波罗的海的克雷梅拉塔
Madonas novads,馬多納市鎮
Siguldas viduslaiku pils,錫古爾達中世紀城堡
Rīgas dome,里加市政府
Engures novads,恩古雷市鎮
Skulte,斯库尔泰
Krievu-Baltijas vagonu rūpnīca,羅斯-波羅的運輸工廠
Zemgales reģions,澤姆加爾計畫區
Priekules novads,普列庫萊市鎮
Mālpils novads,馬爾皮爾斯市鎮
Komunistiskā terora upuru piemiņas vieta Torņakalnā,托尔尼亚卡尔内斯共产主义恐怖受害者纪念碑
Vecumnieku novads,舊烏姆涅基市鎮
Sējas novads,塞亞市鎮
Ozolnieku novads,奧佐爾涅基市鎮
Jaunais Vilnis,新波浪
Saldus novads,薩爾杜斯市鎮
Rūjienas novads,魯伊耶納市鎮
dzelzceļa līnija Zemitāni—Skulte,泽米塔尼－斯库尔特鐵路
Latvijas demogrāfija,拉脫維亞人口
Zolitūde,佐利图代站
Zasulauks,扎苏劳克斯站
Rīgas satiksme,里加交通
Mazsalacas novads,馬茲薩拉察市鎮
Jāņu siers,亞尼奶酪
Mērsraga novads,梅爾斯拉格斯市鎮
Sventāja,什文托伊河
Svēte,什韋特河
Talsu novads,塔爾西市鎮
Roja,罗亚河
Ogres novads,奧格雷市鎮
Jaunpiebalgas novads,新皮耶巴爾加市鎮
Grobiņas novads,格羅比尼亞市鎮
Papes ezers,帕佩斯湖
Vaboles pagasts,瓦博莱堂区
Apes novads,阿佩市鎮
12. Saeimas vēlēšanas,2014年拉脫維亞國會選舉
Līksnas pagasts,利克斯纳堂区
Olaines novads,奧萊內市鎮
Rīgas metropolitēns,里加地铁
Spilves lidosta,斯皮尔韦机场
Kurzemes rajons,库尔泽梅区
Piltenes viduslaiku pils,皮爾泰內城堡
Latvijas Republikas Labklājības ministrija,拉脱维亚福利部长
autoceļš V1,V1公路
Celtnieks,采尔特涅克斯体育场
Cesvaines novads,采斯瓦伊內市鎮
Rīgas vēstures un kuģniecības muzejs,里加歷史和航海博物館
Aizputes novads,艾茲普泰市鎮
Ikšķiles novads,伊克什基萊市鎮
Kuldīgas novads,庫爾迪加市鎮
Iecavas novads,耶察瓦市鎮
Dagdas novads,達格達市鎮
Liepas muiža,利耶帕庄园
Rojas novads,羅亞市鎮
Krimuldas novads,克里穆爾達市鎮
Bauskas novads,包斯卡市鎮
Daugavpils lidosta,陶格夫匹尔斯国际机场
Latvijas Republikas Ministru kabinets,拉脫維亞政府
Cēsu viduslaiku pils,采西斯城堡
Kaķu nams,貓之屋
Carnikavas novads,察爾尼卡瓦市鎮
Terra Mariana,萬福瑪利亞的土地
Reverta,巴萊克斯銀行
Latgales reģions,拉特加爾計畫區
2016. gada Eiropas čempionāts cīņas sportā,2016年欧洲摔跤锦标赛
2015. gada Eiropas čempionāts basketbolā,2015年歐洲籃球錦標賽
Baltinavas novads,巴爾季納瓦市鎮
Latvijas Sabiedriskais medijs,拉脫維亞公共廣播電臺
Pārolaine,帕罗赖内
Salas novads,薩拉市鎮
latgalieši,拉特加利亞
Latvijas Republikas Satversmes tiesa,拉脱维亚宪法法院
islāms Latvijā,拉脫維亞伊斯蘭教
Koknese,科克内斯公国
Latvijas Etnogrāfiskais brīvdabas muzejs,拉脫維亞民族志露天博物館
Krievvalodīgie,东欧文化圈
Skrīveru pagasts,斯基韦鲁堂区
Košrags,科什拉格斯
Latvijas Jūras spēki,拉脫維亞海軍
Centra rajons,中央區
Torņakalns,托尔尼亚卡尔内斯
Kārsavas novads,卡爾薩瓦市鎮
Glūda,格卢达
Saeimas deputāts,拉脱维亚议会议员
Latvijas Mākslas akadēmija,拉脱维亚美术学院
Melnbārži,梅尔恩巴尔日
Mazā ģilde,小行会会所
Pitrags,皮特拉格斯
Rīgas Svētā Jāņa evaņģēliski luteriskā baznīca,聖約翰教堂
Toce,托切
Bērstele,贝尔斯泰莱
Daugavpils,陶格夫匹尔斯站
Rīgas Pasažieru stacija,里加中央車站
Zviedru vārti Vecrīgā,瑞典门
Riči,雷奇湖
Pieci.lv,拉托維亞第五臺
Elkšķene,埃尔克什基内站
Misa,米薩河
Latvijas rublis,拉脫維亞盧布
Eiropas autoceļš E264,欧洲E264公路
BK Liepājas Lauvas,利耶帕亞獅
Livonijas Kauss futbolā,利伏尼亞盃
Jaunjelgavas novads,新葉爾加瓦市鎮
Jāzepa Vītola Latvijas Mūzikas akadēmija,拉脱维亚约瑟夫·韦托音乐学院
Latvijas—Lietuvas robeža,拉脫維亞—立陶宛邊界
Juglas ezers,尤格拉斯湖
Sloka,斯洛卡
Ventspils,奧林比斯卡斯球場
Stabu iela,史塔布街
Omega,歐米茄反恐部隊
Zaķusala,扎求薩拉
Bulduri,布尔都里站
Rīgas plānošanas reģions,里加計畫區
Latvijas Republikas Iekšlietu ministrija,內政部
Infogram,Infogram
Daugavpils cietoksnis,陶格夫匹尔斯堡垒
Mazirbe,马济尔贝
Sīkrags,斯基克拉格斯
Kalvenes stacija,卡尔韦内斯车站
autoceļš V3,V3公路
autoceļš V2,V2公路
Alberta iela,阿尔伯特街
Latvijas karogu uzskaitījums,拉脫維亞旗幟列表
Riga FC,里加足球俱樂部
FK Venta,文塔足球俱乐部
Jaunais Rīgas teātris,新里加劇場
Valmieras Drāmas teātris,瓦尔米耶拉剧场
2. tramvaju maršruts,陶格夫匹尔斯电车2号线
Latvijas—Krievijas robeža,俄拉边境
Latvijas U-21 futbola izlase,拉脫維亞21歲以下國家足球隊
Ādažu novads,阿达日市镇
2015. gada Latvijas prezidenta vēlēšanas,2015年拉脫維亞總統選舉
1. tramvaju maršruts,陶格夫匹尔斯电车1号线
3. tramvaju maršruts,陶格夫匹尔斯电车3号线
REF Holdings,REF Holdings
Latvijas Izpildītāju un producentu apvienība,拉脫維亞音樂製造商協會
Biznesa augstskola "Turība",图里巴大学
Lielās Ģildes nams,大行会会所
Marienburgas pils,阿卢克斯内城堡
Cesvaines pils,采斯瓦伊內宮
Daugavas stadions,道加瓦体育场
Rīgas Zooloģiskais dārzs,里加動物園
Pļaviņu HES,普拉维纳斯水电站
Usmas stacija,乌斯马斯斯塔茨亚
Latvija 2016. gada Vasaras Olimpiskajās spēlēs,2016年夏季奧林匹克運動會拉脫維亞代表團
Ainažu bāka,艾纳日灯塔
Zilupes novads,濟盧佩市鎮
Latvijas Republikas Aizsardzības ministrija,拉脫維亞國防部
Ventspils lidosta,文茨皮尔斯机场
Amber Latvijas balzams,拉脱维亚巴尔扎姆斯
Ulmaņa apvērsums,1934年政變
Sarja,薩良卡河
Bebrenes muiža,贝布雷内庄园
Siguldas Jaunā pils,錫古爾達城堡
Lībiešu krasts,立窝尼亚海岸
Alojas novads,阿洛亞市鎮
Svētā Jura baznīca,聖喬治教堂
Gaujiena,高伊耶纳
Latvijas plānošanas reģioni,拉脫維亞計畫區
Jelgavas akadēmiskā ģimnāzija,叶尔加瓦学院
Latvijas kultūra,拉脫維亞文化
Aizsargi,拉脫維亞衛士團
Ķemeri,基耶梅里
Rīgas osta,里加港
Liepājas Universitāte,利耶帕亚大学
13. Saeimas vēlēšanas,2018年拉脫維亞議會選舉
Alūksnes novads,阿盧克斯內市鎮
Zunds,尊达运河
Vilksala,维尔克萨拉
Uši,乌希
Latvija 2022. gada ziemas olimpiskajās spēlēs,2022年冬季奥林匹克运动会拉脱维亚代表团
Latvija 2020. gada vasaras olimpiskajās spēlēs,2020年夏季奥林匹克运动会拉脱维亚代表团
Pūres stacija,普雷斯车站
Latvija 2024. gada vasaras olimpiskajās spēlēs,2024年夏季奥林匹克运动会拉脱维亚代表团
Pierīgas statistiskais reģions,外里加
plašsaziņas līdzekļi Latvijā,拉脱维亚媒体
autoceļš V6,V6公路
Dēņu strauts,代努河
Krimelde,克里梅尔德河
Lašupīte,拉舒皮泰河
Latvija 2018. gada ziemas olimpiskajās spēlēs,2018年冬季奥林匹克运动会拉脱维亚代表团
Centrālā statistikas pārvalde,拉脱维亚中央统计局
Alūksnes Jaunā pils,阿卢克斯内新城堡
Muzejs "Rīgas Jūgendstila centrs",里加新艺术博物馆
Dižilmāja,季日尔马亚
Mazilmāja,马济尔马亚
Baltu balva,波羅的獎
Joom,Joom
14. Saeimas vēlēšanas,2022年拉脫維亞議會選舉
2019. gada Eiropas Parlamenta vēlēšanas Latvijā,2019年歐洲議會選舉
EU/EEA Citizen,歐盟/EEA公民
SK Super Nova,SK超级星
COVID-19 pandēmija,2019冠狀病毒病疫情
2020. gads Latvijā,2020年拉脫維亞
Mārtiņš Kazāks,马丁斯·卡扎克斯
Jēkabpils novads,葉卡布皮爾斯市鎮
Krāslavas novads,克拉斯拉瓦市鎮
COVID-19 pandēmija Latvijā,2019冠狀病毒病拉脫維亞疫情
Kuldīgas novads,庫爾迪加市鎮
Limbažu novads,林巴日市鎮
Ludzas novads,盧扎市鎮
COVID-19 pandēmija Eiropā,2019冠状病毒病欧洲疫情
Jelgavas novads,葉爾加瓦市鎮
Preiļu novads,普雷利市鎮
Ropažu novads,罗帕日市镇
Rēzeknes novads,雷澤克內市鎮
Saldus novads,薩爾杜斯市鎮
Saulkrastu novads,紹爾克拉斯蒂市鎮
Siguldas novads,錫古爾達市鎮
Dienvidkurzemes novads,南库尔泽梅市镇
Dobeles novads,多貝萊市鎮
Aizkraukles novads,艾茲克勞克萊市鎮
Augšdaugavas novads,上道加瓦市镇
Madonas novads,馬多納市鎮
Mārupes novads,马鲁佩市镇
Ogres novads,奧格雷市鎮
Ojāra Vācieša iela,欧雅拉瓦切沙街
Valmieras novads,瓦尔米耶拉市镇
Ādažu novads,阿達日市鎮
Ķekavas novads,基耶卡瓦市镇
Cēsu novads,采西斯市鎮
Balvu novads,巴爾維市鎮
Bauskas novads,包斯卡市鎮
Jaunā Vienotība,新团结党
Smiltenes novads,斯米爾泰內市鎮
Talsu novads,塔爾西市鎮
Tukuma novads,圖庫姆斯市鎮
Līgciems,利格茨埃姆
Ķīnas Tautas Republikas vēstniecība Rīgā,中华人民共和国驻拉脱维亚共和国大使馆
digitālā euro,欧洲数字
2023. gads Latvijā,2023年拉脫維亞
Līga Meņģelsone,莉加·梅尼杰尔索内