Inna,茵娜
George Emil Palade,喬治·埃米爾·帕拉德
Alexandra Stan,亞歷山德拉·斯坦
Alexandra Nechita,亞莉山卓·妮齊塔
Lidia Șimon,利迪娅·希蒙
Georgeta Damian,杰奥尔杰塔·安德鲁安凯
Argentina Menis,阿尔真蒂娜·梅尼斯
Vika Jigulina,維多利亞·科涅娃
Gheorghe Albu (fotbalist),格奥尔基·阿尔布
Gabriela Szabó,加布里埃拉·薩博
Angela Gheorghiu,安杰拉·乔治乌
Paul Celan,保罗·策兰
Miklós Bánffy (scriitor),班菲·米克洛斯
Roxana Scarlat,罗克萨娜·斯卡拉特
Ion C. Brătianu,扬·康斯坦丁·布勒蒂亚努
Laura Badea,劳拉·巴代亚
Tristan Tzara,卓斯坦·查拉
Liviu Librescu,利維烏·利布雷斯庫
Constantin Brâncuși,康斯坦丁·布朗庫西
Cristian Mungiu,克里斯蒂安·蒙久
Ana Pauker,安娜·波克尔
Alexandra Dulgheru,亚历山德拉·杜尔盖鲁
Iulian Filipescu,尤利安·菲利佩斯库
Nadia Comăneci,纳迪娅·科马内奇
Petre Roman,彼得·罗曼
Edward Maya,爱德华·玛雅
Victor Hănescu,維克托·哈內斯庫
Andreea Grigore,安德烈娅·格里戈雷
Angelica Adelstein-Rozeanu,安杰莉卡·罗泽亚努
Diana Chelaru (gimnastă),迪亚娜·凯拉鲁
Gheorghe Popescu,格奧爾基·樸比斯古
Ion Antonescu,扬·安东内斯库
Emil Boc,埃米尔·博克
Helmut Duckadam,赫尔穆特·杜卡达姆
Răzvan Raț,勒兹万·拉茨
Mihai Răzvan Ungureanu,米哈伊·勒兹万·温古雷亚努
Sorana Cîrstea,索拉娜·科斯蒂亚
Monica Niculescu,莫妮卡·尼古列斯庫
Andrei Pavel,安德烈·帕維爾
Maia Morgenstern,马娅·莫根施特恩
Henri Coandă,亨利·科安德
Ella Zeller,埃拉·泽勒
Sandra Izbașa,桑德拉·伊兹巴沙
Doina Ignat,多依娜·伊格纳特
Elisabeta Lipă,伊丽莎白·利珀
Eugen Ionescu,欧仁·尤内斯库
Nicolae Lupescu,尼古拉·卢佩斯库
Nicolae Văcăroiu,尼古拉·沃克罗尤
Theodor Stolojan,特奥多尔·斯托洛然
Valeriu Bularca,瓦列留·布拉尔卡
Elena Georgescu,埃列娜·杰奥尔杰斯库
Bogdan Lobonț,波格丹·洛邦茨
Zsolt Muzsnay,穆日瑙伊·若尔特
Elena Ceaușescu,埃列娜·齐奥塞斯库
Simona Halep,西蒙娜·哈勒普
Iolanda Balaș,约兰达·巴拉什
Chivu Stoica,基伏·斯托伊卡
Gabriela Drăgoi,加布里埃拉·德勒戈伊
Daniel Prodan,达尼埃尔·普罗丹
Lavinia Miloșovici,拉维尼娅·米洛绍维奇
Monica Roșu,莫妮卡·羅舒
Alina Alexandra Dumitru,阿林娜·亚历山德拉·杜米特鲁
Viorica Susanu,维奥丽卡·苏萨努
Ana-Maria Avram,安娜-玛丽娅·艾弗拉姆
Constanța Burcică-Pipotă,康斯坦察·布尔奇克
Ciprian Marica,奇普里安·马里卡
Emil Constantinescu,埃米爾·康斯坦丁內斯庫
Traian Băsescu,特拉扬·伯塞斯库
Vlad Munteanu,弗拉德·蒙特亞努
Dudu Georgescu,杜杜·佐治斯古
György Kurtág,库塔格·捷尔吉
Nicolae Timofti,尼古拉·蒂莫夫蒂
Ana Maria Brânză,安娜·玛丽亚·波佩斯库
Ion Iliescu,扬·伊利埃斯库
Regina Elisabeta a Greciei,羅馬尼亞的伊莉莎白
Cătălina Ponor,克特利娜·波諾爾
Nicolae Rădescu,尼古拉·勒代斯库
Gino Iorgulescu,吉诺·约尔古列斯库
Sorin Ghionea,索林·吉奥尼亞
Valeria Răcilă,瓦列里娅·勒奇勒
Ana Blandiana,安娜·布兰迪亚娜
Paula Ivan,葆拉·伊万
Doina Melinte,多依娜·梅林特
Iasmin Latovlevici,伊斯明·拉托夫萊維奇
Herta Müller,赫塔·米勒
Gheorghe Hagi,格奥尔基·哈吉
Ecaterina Szabó,埃卡特琳娜·绍博
"Ileana, Principesă a României",伊萊亞娜公主·(羅馬尼亞)
Elena Gheorghe,艾蓮娜·格奧爾基
Ștefan Radu,斯特凡·拉杜
Sergiu Celibidache,塞尔吉乌·切利比达克
Andreea Acatrinei,安德烈娅·阿卡特里内伊
Vali Ionescu,瓦莉·约内斯库
Daniela Costian,达妮埃拉·科斯蒂安
Ladislau Simon,拉迪斯劳·希蒙
Aurelia Dobre,奥雷利娅·多布雷
Adrian Năstase,阿德里安·讷斯塔塞
Beatrice Câșlaru,比阿特丽斯·克什拉鲁
Violeta Beclea-Szekely,维奥莱塔·塞凯伊
Regina Elisabeta a României,維德的伊莉莎白
Regina Maria a României,愛丁堡的瑪麗
Victor Ponta,维克托·蓬塔
Vlad Filat,弗拉德·菲拉特
Harvey Keitel,哈维·凯特尔
Emil Cioran,埃米爾·蕭沆
Simona Amânar,西蒙娜·阿默纳尔
Daniela Silivaș,達妮艾拉·西莉華絲
Linda Maria Baros,琳达·馬利亞·巴洛斯
Pavel Badea,帕维尔·巴迪亚
Gheorghe Zamfir,格奧爾基·詹斐爾
Gabriel Tamaș,加布里埃爾·塔馬斯
Ileana Silai,伊莱亚娜·西拉伊
Mircea Lucescu,米尔恰·卢切斯库
Roman Codreanu,罗曼·科德雷亚努
Viorel Moldovan,維奧雷爾·摩杜雲
Petru Groza,彼得鲁·格罗查
Corneliu Zelea Codreanu,科尔内留·泽莱亚·科德雷亚努
Ilie Verdeț,伊利耶·维尔德茨
Dinu Lipatti,迪努·李帕蒂
Nicolae Linca,尼古拉·林卡
Marian Simion,马里安·西米翁
Larisa Iordache,拉里莎·约尔达凯
Oana Pantelimon,瓦娜·潘泰利蒙
Petre Becheru,彼得·贝克鲁
Alexandru Averescu,亞歷山德魯·阿維雷斯庫
Titus Corlățean,蒂图斯·科尔拉泰安
Iurie Leancă,尤里·莱安克
Alexandra Maria Lara,亚历山德拉·玛丽亚·拉那
Artur Phleps,阿图尔·弗利普斯
Adrian Mutu,阿德里安·穆图
Călin Popescu-Tăriceanu,克林·波佩斯库-特里恰努
Vasile Iordache,瓦西里·约尔达凯
Vasile Dîba,瓦西里·德巴
Alexandru Marghiloman,亞歷山德魯·馬吉羅曼
Alina Astafei,阿林娜·阿斯塔费伊
Ladislau Bölöni,伯勒尼·拉斯洛
Radu Vasile,拉杜·瓦西里
Florin Răducioiu,弗洛林·勒杜乔尤
Ion Dincă,扬·丁卡
Constantina Diță-Tomescu,康斯坦丁娜·托梅斯库·迪塔
Irina-Camelia Begu,伊琳娜-卡梅利亞·貝古
Ileana Cotrubaș,伊萊亞娜·柯特魯巴斯
Maria Cioncan,玛丽亚·琼坎
Cosmin Contra,科斯明·孔特拉
Mihai Ghimpu,米哈伊·金普
Gheorghe Vrănceanu,格奧爾基·弗倫斯努
Mihaela Loghin,米哈埃拉·洛金
Lucian Mureșan,祿嘉·穆列尚
Paul Niculescu-Mizil,保罗·尼古列斯库-米齐尔
Cristian Chivu,克里斯蒂安·基伏
Diana Mocanu,迪亚娜·莫卡努
Maricica Puică,玛丽奇卡·普伊克
Adrian Voinea,阿德里安·沃伊內亞
Camelia Potec,卡梅利娅·波泰克
Walter Zenga,沃尔特·曾加
Gheorghe Gheorghiu-Dej,格奥尔基·乔治乌-德治
Zoia Ceaușescu,佐娅·齐奥塞斯库
Anișoara Cușmir-Stanciu,阿尼什瓦拉·库什米尔-斯坦丘
Mihaela Peneș,米哈埃拉·佩内什
Petru Lucinschi,彼得魯·盧欽斯基
Adrian Ilie,阿德里安·伊利耶
Daniel Niculae,达尼埃尔·尼古拉
Ion Gheorghe Maurer,扬·格奥尔基·毛雷尔
Vasile Iorga,瓦西里·约尔加
Emeric Jenei,埃梅里克·热内伊
Victor Ciorbea,维克托·乔尔贝亚
Lia Manoliu,莉娅·马诺柳
Adrian Popescu (fotbalist),阿德里安·波佩斯库
Stefan Hell,斯特凡·赫尔
Adrian Ungur,阿德里安·烏格
Loredana Boboc,洛雷达娜·博博克
Nana Falemi,納拿·拿加斯森
Marius Urzică,马里乌斯·乌尔济克
Nicolae Dobrin,尼古拉·多布林
Andreea Isărescu,安德烈娅·伊瑟雷斯库
Adrian Cristea (fotbalist),阿德里安·克里斯蒂亞
Bogdan Stelea,波格丹·斯泰莱亚
Petre Dumitrescu,彼得·杜米特雷斯库
Carol Lambrino,卡罗尔·拉姆布林诺
Doina Stăiculescu,多依娜·斯特伊库列斯库
Daniel Popescu,达尼埃尔·波佩斯库
Răzvan Șelariu,勒兹万·谢拉留
Maria Olaru,玛丽亚·奥拉鲁
Ioan Silviu Suciu,伊万·西尔维乌·苏丘
Cristian Dănălache,克里斯蒂安·达纳拉赫
Dorin Goian,多林·戈伊安
Marius Niculae,马里乌斯·尼古拉
Iosif Czako,曹科·约瑟夫
Vasile Luca,瓦西列·卢卡
Mihai Pintilii,米哈伊·平蒂利
Lavinia Agache,拉维尼娅·阿加凯
Mihaela Stănuleț,米哈埃拉·斯特努莱茨
Laura Cutina,劳拉·库蒂纳
Cristina Grigoraș,克里斯蒂娜·格里戈拉什·(体操运动员)
Nicu Vlad,尼库·弗拉德
Basarab Panduru,巴萨拉布·潘杜鲁
Emeric Dembroschi,埃梅里克·登布罗夫斯基
Adalbert Deșu,阿达尔贝特·德舒
Dănuț Lupu,德努茨·卢普
Petre Dumitru,彼得·杜米特鲁
Gheorghe Rășinaru,格奥尔基·勒希纳鲁
Dumitru Moraru,杜米特鲁·莫拉鲁
George Enescu,乔治·埃内斯库
Hermann Oberth,赫尔曼·奥伯特
Gregor von Rezzori,格雷戈尔·冯·雷佐里
Mugur Isărescu,穆古尔·伊瑟雷斯库
Viorica Viscopoleanu,维奥丽卡·维斯科波莱亚努
Gheorghe Benția,格奥尔基·本茨亚
Dorel Simion,多雷尔·西米翁
Dan Potra,达恩·波特拉
Andrei Alexandrescu,安德烈·亞歷山德雷斯庫
Radu Jude,拉杜·裘德
Gheorghe Tătaru,格奥尔基·特塔鲁
Cristian Săpunaru,克里斯蒂安·瑟普纳鲁
Ilie Năstase,伊利耶·納斯塔塞
Răzvan Cociș,勒兹万·科奇什
Manea Mănescu,马尼亚·曼内斯库
George Lusztig,喬治·盧斯蒂格
Radu Niculescu (fotbalist),拉杜·尼古利斯古
Ștefan Rusu,斯特凡·鲁苏
Saul Steinberg,索尔·斯坦伯格
Nicolae Dică,尼古拉·迪克
Vasile Stângă,瓦西里·斯滕格
Alexandru Neagu (fotbalist),亚历山德鲁·内亚古
Liviu Ciobotariu,利维乌·乔博塔留
Mihai Chițac,米哈伊·赤塔克
Ioan Ovidiu Sabău,伊万·萨伯乌
Ion Lăpușneanu,扬·勒普什内亚努
Florin Prunea,弗洛林·普鲁内亚
Marcel Coraș,马切尔·科拉什
Elemér Kocsis,科奇什·埃莱梅尔
Emil Săndoi,埃米尔·森多伊
Noemi Lung,诺埃米·伦格
Teohari Georgescu,特奥哈里·乔治斯库
Gheorghe Berceanu,格奥尔基·贝尔恰努
Ovidiu Stîngă,奥维迪乌·斯滕格
Ștefan Kovács,史提芬·高華斯
Ștefan Preda,斯特凡·普雷达
Ștefan Barbu,斯特凡·巴尔布
Ștefan Dobay,斯特凡·多巴伊
Ion Draica,扬·德拉伊卡
Ion Țiriac,伊翁·提里亞克
Andrei Socaci,安德烈·索卡奇
Laurențiu Dumănoiu,劳伦丘·杜默诺尤
Loredana Dinu,洛雷达娜·迪努
Marcel Glăvan,马塞尔·格勒万
Ioana Olteanu,伊万娜·奥尔泰亚努
Sanda Toma (canotaj),珊达·托马·(赛艇运动员)
Rodica Arba,罗迪卡·阿尔巴
Veronica Cochela-Cogeanu,韦罗妮卡·科凯拉
Dorinel Munteanu,多里内尔·蒙泰亚努
Elena Lupescu,玛格达·卢佩斯库
Mircea Geoană,米尔恰·杰瓦讷
Dumitru Armășel,杜米特鲁·阿尔默谢尔
Gheorghe Apostol,格奥尔基·阿波斯托尔
Dacian Cioloș,達奇安·喬洛什
Costel Pantilimon,哥斯度·彭迪利蒙
Silvia Stroescu,西尔维娅·斯特罗埃斯库
Florența Mihai,弗洛伦察·米哈伊
Crin Antonescu,克林·安东内斯库
Silviu Lung,西尔维乌·伦格
Paul Codrea,保罗·科德雷亚
Dorin Mateuț,多林·马泰乌茨
Armand Călinescu,阿曼德·克利内斯库
Mihai I al României,米哈伊一世
Vasile Andrei,瓦西里·安德烈
Srgian Luchin,斯德揚·盧欽
Leonard Doroftei,莱昂纳德·多罗夫泰伊
Lucian Marinescu,卢奇安·马里内斯库
Ion Monea,扬·莫内亚
Ion Panțuru,扬·潘楚鲁
Valerică Găman,瓦列里克·格曼
Petre Dicu,彼得·迪库
Raul Rusescu,勞爾·魯塞斯庫
Victor Dolipschi,维克托·多利普斯基
Romulus Gabor,罗穆卢斯·加博尔
Alexandru Chipciu,亞歷山德魯·奇普丘
Ion Hobana,揚·霍巴納
Cătălin Fercu,卡他林·費庫
Camelia Macoviciuc,卡梅利娅·马科维丘克
Marius Bilașco,马里乌斯·比拉什科
Nicolae Neagoe,尼古拉·内亚戈耶
Corneliu Robe,科尔内留·罗贝
Mircea Irimescu,米尔恰·伊里梅斯库
Erik Lincar,埃里克·林卡尔
Vasile Milea,瓦西里·米列亚
Gheorghe Ciolac,格奥尔基·乔拉克
Ștefan Andrei,斯特凡·安德烈
Mircea Cărtărescu,米尔恰·克尔特雷斯库
Emilia Eberle,埃米莉娅·埃贝莱
Melita Rühn,梅丽塔·吕恩
Florența Crăciunescu,弗洛伦察·克勒丘内斯库
Simona Păucă,西蒙娜·珀乌克
Virgil Trofin,维尔吉尔·特罗芬
Fița Lovin,菲察·洛温
Elizabeta Samara,伊丽莎白·萨马拉
Iulian Vlad,尤利安·弗拉德
Ghiță Licu,吉策·利库
Anca Grigoraș,安卡·格里戈拉什
Dumitrița Turner,杜米特里察·图尔纳
Teodora Ungureanu,特奥多拉·温古雷亚努
Mariana Constantin,玛丽安娜·康斯坦丁
Gabriela Trușcă,加布里埃拉·特鲁什克
Francisc Horvath,弗朗奇斯克·霍瓦特
Dumitru Prunariu,杜米特鲁·普鲁纳留
Liliana Gafencu,利利亚娜·加芬库
Maria Golopența-Alexandru,玛丽亚·亚历山德鲁
Nicolae Militaru,尼古拉·米利塔鲁
Dragoș Grigore,德拉戈什·格里戈雷
Dan Irimiciuc,达恩·伊里米丘克
Nicolao Dumitru,尼克勞·杜米特魯
Cornel Penu,科尔内尔·佩努
Mirela Țugurlan,米蕾拉·楚古尔兰
Gina Gogean,吉娜·戈吉安
Dan Burincă,达恩·布林克
Alexandra Marinescu,亚历山德拉·马里内斯库
Ionela Loaieș,约内拉·洛阿耶什
Nicolae Ungureanu,尼古拉·温古雷亚努
Radu Voina,拉杜·沃伊纳
Vasile Chiroiu,瓦西里·基罗尤
Mihai Ivăncescu,米哈伊·伊文切斯库
Stere Adamache,斯泰雷·阿达马凯
Mihai Mocanu,米哈伊·莫卡努
Iosif Rotariu,约瑟夫·罗塔留
Nae Ionescu,纳耶·约内斯库
Leon Rotman,列昂·罗特曼
Gheorghe Gruia,格奥尔基·格鲁亚
Alexandru Bourceanu,亞歷山德魯·鮑爾切魯
Rică Răducanu,勒杜卡努·尼古拉
Mărioara Popescu,马里瓦拉·波佩斯库
Cristieana Cojocaru,克里斯蒂亚娜·科若卡鲁
Valeria Bufanu,瓦莱里娅·什特凡内斯库
Claudia Presăcan,克劳迪娅·普雷瑟坎
Henri Rang,亨利·兰格
Angela Alupei,安杰拉·阿卢佩伊
David Wechsler,大卫·韦克斯勒
Andrei Prepeliță,安德烈·普雷佩利策
Roland Gunnesch,罗兰·古奈什
Rodica Dunca,罗迪卡·敦卡
Ioana Badea,伊万娜·巴代亚
Dragomir Cioroslan,德拉戈米尔·乔罗斯兰
Andrei Igorov,安德烈·伊戈罗夫
Călin Peter Netzer,卡林·皮特·内策尔
Petre Capusta,彼得·卡普斯塔
Bănel Nicoliță,伯内尔·尼科利策
Mirel Rădoi,米雷爾·拉多伊
Sebastian Stan,賽巴斯汀·斯坦
Gabriel Torje,加布里埃爾·托爾熱
Florea Dumitrache,弗洛雷亚·杜米特拉凯
Flavius Domide,弗拉维乌斯·多米德
Ion Cernea,扬·切尔内亚
Georgeta Gabor,杰奥尔杰塔·加博尔
Florin Gardoș,弗洛林·加多斯
Florin Vlaicu,弗羅林·弗拉伊庫
Florin Mergea,弗洛林·梅爾賈
Răzvan Martin,勒兹万·马丁
Roxana Cocoș,罗克萨娜·科科什
Adrian Popa,阿德里安·波帕
Mircea Fulger,米尔恰·富尔杰
Iulian Raicea,尤利安·拉伊恰
Sonia Iovan-Inovan,索尼娅·约万
George Georgescu,佐治·佐治斯古
Cornelia Sideri,科尔内利娅·西代里
Uta Poreceanu-Schlandt,乌塔·波雷恰努
Daniela Sofronie,尼科莱塔·达妮埃拉·绍夫罗涅
Alexandra Eremia,亚历山德拉·埃雷米亚
Horia Tecău,霍里亞·特卡烏
János Fazekas,亚诺什·法泽卡什
Gavril Balint,加比·巴林特
Ilie Dumitrescu,伊利·杜米迪斯古
Florentin Petre,弗洛伦廷·彼得
Oana Ban,瓦娜·巴恩
Vanda Hădărean,万达·赫德雷安
Florin Zalomir,弗洛林·扎洛米尔
Tiberiu Dolniceanu,蒂贝留·多尔尼恰努
Valentin Silaghi,瓦伦丁·西拉吉
Gelu Radu,杰卢·拉杜
Viorel Talapan,维奥雷尔·塔拉潘
Iuliu Maniu,尤柳·马纽
Oleg Moldovan,奥列格·莫尔多万
Mircea Dobrescu,米尔恰·多布雷斯库
Leonte Răutu,列昂廷·拉乌图
Gheorghe Mureșan,格奥尔基·穆雷桑
Ion I.C. Brătianu,扬·约内尔·布勒蒂亚努
Horațiu Mălăele,霍拉蒂乌·马拉埃雷
Elisabeta Polihroniade,伊莉莎白·波莉羅妮雅德
Nicolae Mărăscu,尼古拉·默勒斯库
Teodor Florian,特奥多尔·弗洛里安
Ion Geantă,扬·杰安特
Adelina Cojocariu,阿德利娜·博古什
Mirela Pașca,米蕾拉·帕什卡
"Sofia, Principesă a României",索菲亞公主·(羅馬尼亞)
Cristina Bontaș,克里斯蒂娜·邦塔什
Maria Neculiță,玛丽亚·内库利策
Boris Ștefanov,鲍里斯·斯特凡诺夫
Viorica Dumitru,维奥丽卡·杜米特鲁
Otilia Bădescu,奥蒂莉亚·巴蒂斯库
Ion Mihai Pacepa,扬·米哈伊·帕切帕
Nicușor Stanciu,尼古拉·斯坦丘
Nicu Ceaușescu,尼库·齐奥塞斯库
Lajos Sătmăreanu,绍特马里·拉约什
Gheorghe Brandabura,格奥尔基·布兰达布拉
Gheorghe Liliac,格奥尔基·利利亚克
Sabin Ilie,沙賓·伊利耶
Gheorghe Megelea,格奥尔基·梅杰莱亚
Gheorghe Mihali,格奥尔基·米哈利
Marin Ceaușescu,馬林·壽西斯古
Andreea Răducan,安德烈娅·勒杜坎
Emil Bodnăraș,埃米尔·波德纳拉希
Claudiu Răducanu,克劳迪尤·拉杜卡努
Cosmin Olăroiu,科斯明·奥拉罗尤
Ioan Pop (sportiv),伊万·波普
Alexandru Chiculiță,亚历山德鲁·基库利策
Alexandru Nilca,亚历山德鲁·尼尔卡
Marin Mustață,马林·穆斯塔策
Corneliu Marin,科尔内尔·马林
Simion Ismailciuc,西米翁·伊斯梅尔丘克
Gabriel Popescu,盖布瑞·波佩斯库
Vasile Dumitrescu,瓦西里·杜米特雷斯库
Albert Saritov,阿尔贝特·萨里托夫
Anișoara Minea-Sorohan,阿尼什瓦拉·米内亚
Dragoș Neagu,德拉戈什·内亚古
Mihai Zafiu,米哈伊·扎菲乌
Csaba Gal,明雅·塞巴·加爾
Olga Homeghi,奥尔加·霍梅吉
Mirela Lavric,米蕾拉·拉夫里克
Ladislau Raffinsky,拉芬斯基·拉斯洛
Octavian Chihaia,奧達維恩·捷凱亞
Radu Lupu,拉杜·鲁普
Rodion Cămătaru,罗迪翁·克默塔鲁
Nicolae Kovács,科瓦奇·米克洛什
Cosmina Stratan,科斯米娜·斯特拉坦
Gogu Rădulescu,格奥尔基·勒杜列斯库
Gheorghe Pană,格奥尔基·帕纳
Alexandru Sirițeanu,亚历山德鲁·西里采亚努
Dan Grecu,达恩·格雷库
Simona Gherman,西蒙娜·盖尔曼
Adriana Bazon-Chelariu,阿德里安娜·巴宗
Alexandru Bârlădeanu,亚历山德鲁·伯尔勒迪亚努
Ana Pascu,安娜·帕斯库
Anamaria Vartolomei,安娜瑪麗亞·沃特魯梅
Olga Szabó-Orbán,绍博-欧尔班·奥尔加
Augustin Buzura,奥古斯汀·布祖拉
Andrei Bărbulescu,安德烈·伯尔布列斯库
Andrei Glanzmann,安德烈·格兰茨曼
Ioachim Moldoveanu,约阿基姆·莫尔多韦亚努
Iosif Sîrbu,约瑟夫·瑟尔布
Ion Alexe,扬·阿列克谢
Ion Adrian Zare,扬·阿德里安·扎雷
Nicușor Eșanu,尼库绍尔·埃沙努
Alexandru Moghioroș,亚历山德鲁·莫吉奥罗什
Alexandru Drăghici,亚历山德鲁·德勒吉奇
Grigore Preoteasa,格雷戈里·普雷奥蒂亚萨
Vilmoș Szabo,绍博·维尔莫什
Mircea David (fotbalist),米尔恰·达维德
Constantin Stanciu,康斯坦丁·斯坦丘
Constantin Pârvulescu,康斯坦丁·珀尔伏列斯库
Ion Țăranu,扬·策拉努
Ion Vlădoiu,扬·弗勒多尤
Ionel Augustin,约内尔·奥古斯丁
Ion Bogdan (fotbalist),伊万·波格丹
Ionel Drîmbă,约内尔·德伦伯
Ion Baciu (luptător),扬·巴丘
Mihai Vardală,米哈伊·瓦尔达勒
Sorin Mihăilescu,索林·米赫伊列斯库
Ion Gârleșteanu,扬·格尔莱什泰亚努
Alin Chița,艾連·科恩·基察
Alin Alexuc-Ciurariu,阿林·阿列克苏克-丘拉留
Sterian Soare,索阿雷·斯泰里安
Paul Vidrașcu,保罗·维德拉什库
Dumitru Volvoreanu,杜米特鲁·沃尔沃雷亚努
Mircea Sfetescu,米尔恰·斯费泰斯库
Iosif Nemeș,约瑟夫·内梅什
Eugen Sfetescu,欧金·斯费泰斯库
Paul Nedelcovici,保罗·内德尔科维奇
Atanasie Tănăsescu,阿塔纳谢·特讷塞斯库
Teodor Marian,特奥多尔·马里安
Cornel Dinu,科尔内尔·迪努
Corneliu Papură,科尔内柳·帕普拉
Constantin Dăscălescu,康斯坦丁·德斯克列斯库
Cosmin Moți,科斯明·莫齐
Mircea Rednic,米尔恰·雷德尼克
