gerónimo,제로니모,jeronimo
balenziaga,발렌시아가,balrensiaga
amancio,아만시오,amansio
galdós,갈도스,galdoseu
gonzalo,곤살로,gonsalro
alarcón,알라르콘,alrareukon
jaume,자우메,jaume
colletserra,코예트세라,koyeteusera
crespo,크레스포,keureseupo
jesé,헤세,hese
urdangarin,우르단가린,ureudangarin
bartolomé,바르톨로메,bareutolrome
esteban,에스테반,eseuteban
murillo,무리요,muriyo
segovia,세고비아,segobia
raymond,레몽,remong
domenech,도메네크,domenekeu
aguilera,아길레라,agilrera
gaspar,가스파르,gaseupareu
casemiro,카제미루,kajemiru
domènec,도메네크,domenekeu
balmanya,발마냐,balmanya
cea,세아,sea
verdasco,베르다스코,bereudaseuko
bosé,보세,bose
gabri,가브리,gabeuri
jon,혼,hon
andoni,안도니,andoni
goikoetxea,고이코에체아,goikoecea
aleix,알레시,alresi
vidal,비달,bidal
quevedo,케베도,kebedo
moyá,모야,moya
pau,파우,pau
gasol,가솔,gasol
gregorio,그레고리오,geuregorio
manzano,만사노,mansano
abalo,아발로,abalro
vizcaíno,비스카이노,biseukaino
otero,오테로,otero
josep,주제프,jujepeu
escolà,에스콜라,eseukolra
falla,파야,paya
fernándezcavada,페르난데스카바다,pereunandeseukabada
grimaldo,그리말도,geurimaldo
benicio,베니시오,benisio
senna,세나,sena
rexach,렉사치,regsaci
xabi,샤비,syabi
farías,파리아스,pariaseu
gurpegi,구르페기,gureupegi
ferrán,페란,peran
corominas,코로미나스,korominaseu
postigo,포스티고,poseutigo
eva,에바,eba
elcano,엘카노,elkano
ismael,이스마엘,iseumael
urzaiz,우르사이스,ureusaiseu
baltasar,발타사르,baltasareu
gracián,그라시안,geurasian
ibai,이바이,ibai
guti,구티,guti
muñoz,무뇨스,munyoseu
valverde,발베르데,balbereude
amorós,아모로스,amoroseu
valdo,발도,baldo
huélamo,우엘라모,uelramo
caparrós,카파로스,kaparoseu
lopo,로포,ropo
tomás,토마스,tomaseu
heriberto,에리베르토,eribereuto
calatayud,칼라타유드,kalratayudeu
riesgo,리에스고,rieseugo
azaña,아사냐,asanya
riego,리에고,riego
bécquer,베케르,bekereu
molowny,몰로니,molroni
albert,알베르트,albereuteu
rocas,로카스,rokaseu
manu,마누엘,manuel
artigas,아르티가스,areutigaseu
tosar,토사르,tosareu
hierro,이에로,iero
farnesio,파르네세,pareunese
nando,난도,nando
mayorga,마요르가,mayoreuga
eduardo,에두아르도,eduareudo
noriega,노리에가,noriega
habas,아바스,abaseu
manolete,마놀레테,manolrete
eguiazábal,에기아사발,egiasabal
puerta,푸에르타,puereuta
las,라스,raseu
casas,카사스,kasaseu
hombrados,옴브라도스,ombeuradoseu
pahiño,파이뇨,painyo
entrerríos,엔트레리오스,enteurerioseu
gonzalvo,곤살보,gonsalbo
baena,바에나,baena
bayona,바요나,bayona
porta,포르타,poreuta
casals,카살스,kasalseu
buenaventura,부에나벤투라,buenabentura
durruti,두루티,duruti
chao,차오,cao
orellana,오레야나,oreyana
juanmi,후안미,huanmi
espronceda,에스프론세다,eseupeuronseda
zurbarán,수르바란,sureubaran
mercedes,메르세데스,mereusedeseu
sampietro,삼피에트로,sampieteuro
poli,이폴리토,ipolrito
rincón,링콘,ringkon
quincoces,킹코세스,kingkoseseu
iribar,이리바르,iribareu
galarreta,갈라레타,galrareta
torre,토레,tore
eusebio,에우세비오,eusebio
sacristán,사크리스탄,sakeuriseutan
negredo,네그레도,negeuredo
sainz,사인스,sainseu
lennie,레니에,renie
palop,팔로프,palropeu
oier,오이에르,oiereu
olazábal,올라사발,olrasabal
romà,로마,roma
forns,폰스,ponseu
bosque,보스케,boseuke
estanislao,에스타니슬라오,eseutaniseulrao
argote,아르고테,areugote
lasa,라사,rasa
muguerza,무게르사,mugereusa
herrerín,에레린,ererin
red,레드,redeu
leonor,레오노르,reonoreu
borbón,보르본,boreubon
tommy,토미,tomi
robredo,로브레도,robeuredo
ander,안데르,andereu
iturraspe,이투라스페,ituraseupe
bruno,브루노,beuruno
mora,모라,mora
azahara,아사아라,asaara
willy,윌리,wilri
toledo,톨레도,tolredo
mollà,모야,moya
corino,코리노,korino
zubizarreta,수비사레타,subisareta
barrufet,바루페트,barupeteu
munitis,무니티스,munitiseu
xavier,사비에르,sabiereu
montsalvatge,몬살바헤,monsalbahe
rufete,루페테,rupete
alfaro,알파로,alparo
ginés,히네스,hineseu
ion,이온,ion
gálvez,갈베스,galbeseu
artola,아르톨라,areutolra
míchel,미첼,micel
salgado,살가도,salgado
soldado,솔다도,soldado
andreu,안드레우,andeureu
fontàs,폰타스,pontaseu
aitor,아이토르,aitoreu
karanka,카랑카,karangka
buero,부에로,buero
vallejo,바예호,bayeho
blasco,블라스코,beulraseuko
ibáñez,이바녜스,ibanyeseu
sáez,사에스,saeseu
ramallets,라마예츠,ramayeceu
caro,카로,karo
solozábal,솔로사발,solrosabal
góngora,공고라,gonggora
pío,피오,pio
baroja,바로하,baroha
koldo,콜도,koldo
ozores,오소레스,osoreseu
velasco,벨라스코,belraseuko
damas,다마스,damaseu
imanol,이마놀,imanol
agirretxe,아기레체,agirece
jarque,하르케,hareuke
vilanova,빌라노바,bilranoba
roxas,로하스,rohaseu
ugarte,우가르테,ugareute
ikechukwu,이케추쿠,ikecuku
uche,우체,uce
victorio,빅토리오,bigtorio
machado,마차도,macado
vladímirovna,블라디미로브나,beulradimirobeuna
románova,여대공,yeodaegong
ignasi,이그나시,igeunasi
miquel,미켈,mikel
marisol,마리솔,marisol
ribeiro,리베이로,ribeiro
roger,로헤르,rohereu
junyent,후니엔트,hunienteu
polo,폴로,polro
paulino,파울리노,paulrino
escudero,에스쿠데로,eseukudero
westendorp,웨스텐도르프,weseutendoreupeu
pesudo,페수도,pesudo
marquina,마르퀴나,mareukwina
amaia,아마이아,amaia
montero,몬테이로,monteiro
pompeu,폼페우,pompeu
fabra,파브라,pabeura
bernardino,베르나디노,bereunadino
sahagún,사아군,saagun
sergi,세르지,sereuji
claramunt,클라라문트,keulraramunteu
salva,살바,salba
iriarte,이리아르테,iriareute
luisa,루이사,ruisa
saboya,왕녀,wangnyeo
fortuny,포르투니,poreutuni
laboa,라보아,raboa
goya,고야,goya
elsa,엘사,elsa
pataky,파타키,pataki
demetrio,데메트리오,demeteurio
massiel,마시엘,masiel
arnelas,아르넬라스,areunelraseu
ballesta,바예스타,bayeseuta
armas,아르마스,areumaseu
nebrija,네브리하,nebeuriha
geraldine,제럴딘,jereoldin
chaplin,채플린,caepeulrin
cristina,크리스티나,keuriseutina
cristóbal,크리스토발,keuriseutobal
balenciaga,발렌시아가,balrensiaga
madariaga,마다리아가,madariaga
amo,아모,amo
joel,호엘,hoel
badenes,바데네스,badeneseu
ziganda,시간다,siganda
fele,펠레,pelre
marculeta,마르쿨레타,mareukulreta
alicia,알리시아,alrisia
larrocha,라로차,raroca
coixet,코셰트,kosyeteu
oreiro,오레이로,oreiro
antonia,안토니아,antonia
olmo,올모,olmo
sadurní,사두르니,sadureuni
arsenio,아르세니오,areusenio
marrero,일라리오,ilrario
ochotorena,오초토레나,ocotorena
marta,마르타,mareuta
baldó,발도,baldo
yubero,유베로,yubero
sanmao,싼마오,ssanmao
sanz,산스,sanseu
ormaetxea,오르마에체아,oreumaecea
àstrid,아스트리드,aseuteurideu
bergèsfrisbey,베르제프리스베,bereujepeuriseube
severo,세베로,sebero
watling,와틀링,wateulring
verdú,베르두,bereudu
adelina,아델리나,adelrina
patti,파티,pati
nathalia,나탈리아,natalria
ramos,라모스,ramoseu
darío,다리오,dario
oubiña,오우비냐,oubinya
ventolrà,벤톨라,bentolra
figueras,피게라스,pigeraseu
piera,피에라,piera
puga,푸가,puga
eulogio,에울로히오,eulrohio
gárate,가라테,garate
ferran,페란,peran
olivella,올리베야,olribeya
pastora,파스토라,paseutora
carbonero,카르보네로,kareubonero
piru,아구스틴,aguseutin
gainza,가인사,gainsa
maura,마우라,maura
sabino,사비노,sabino
barinaga,바리나가,barinaga
delgado,델가도,delgado
gervasio,헤르바시오,hereubasio
deferr,데페르,depereu
lindo,린도,rindo
cisma,시스마,siseuma
tendillo,텐디요,tendiyo
landa,란다,randa
george,조지,joji
santayana,산타야나,santayana
trueba,트루에바,teurueba
echanove,에차노브,ecanobeu
belén,벨렌,belren
rueda,루에다,rueda
marisa,마리사,marisa
paredes,파레데스,paredeseu
chris,크리스,keuriseu
marquette,마켓,makes
ivana,이바나,ibana
baquero,바케로,bakero
maria,마리아,maria
fusté,푸스테,puseute
ocio,오시오,osio
segarra,세가라,segara
viñes,비네스,bineseu
iraragorri,이라라고리,iraragori
bru,브루,beuru
palomo,팔로모,palromo
lorenzo,로렌소,rorenso
serra,세라,sera
kortajarena,코르타하레나,koreutaharena
gorostiza,고로스티사,goroseutisa
iñigo,이니고,inigo
cerio,세리오,serio
ipiña,이피냐,ipinya
manel,마누엘,manuel
estiarte,에스티아르테,eseutiareute
iriondo,이리온도,iriondo
marianín,마리아닌,marianin
elvira,엘비라,elbira
cassadó,카사도,kasado
nogués,노게스,nogeseu
zambudio,삼부디오,sambudio
ibárruri,이바루리,ibaruri
fran,프란,peuran
yeste,예스테,yeseute
igor,이고르,igoreu
gabilondo,가빌론도,gabilrondo
koikili,코이킬리,koikilri
lertxundi,레르춘디,rereucundi
erice,에리세,erise
ovando,오반도,obando
elena,엘레나,elrena
anaya,아나야,anaya
cassou,카수,kasu
plaza,플라사,peulrasa
niurka,니우르카,niureuka
montalvo,몬탈보,montalbo
kiko,키코,kiko
casilla,카시야,kasiya
lola,롤라,rolra
fuster,푸스터,puseuteo
gorka,고르카,goreuka
elustondo,엘루스톤도,elruseutondo
ascanio,아스카니오,aseukanio
sforza,스포르차,seuporeuca
malena,말레나,malrena
alterio,알테리오,alterio
ciriaco,시리아코,siriako
errasti,에라스티,eraseuti
kike,키케,kike
sola,솔라,solra
olivares,올리바레스,olribareseu
pako,파코,pako
ayestarán,아예스테란,ayeseuteran
donoso,도노소,donoso
juanele,후아넬레,huanelre
florentino,플로렌티노,peulrorentino
assumpta,아숨프타,asumpeuta
serna,세르나,sereuna
preysler,프레이슬레르,peureiseulrereu
colomer,콜로메르,kolromereu
keylor,케일로르,keilroreu
etura,에투라,etura
serrano,세라노,serano
narciso,나르시소,nareusiso
yepes,예페스,yepeseu
satrústegui,사트루스테기,sateuruseutegi
ruth,루트,ruteu
denís,데니스,deniseu
chéryshev,체리셰프,cerisyepeu
suso,수소,suso
buyo,부요,buyo
amaro,아마로,amaro
pargo,파고,pago
osmar,오스마르,oseumareu
rosendo,로센도,rosendo
marichalar,마리차라르,maricarareu
iglesia,이글레시아,igeulresia
gaizka,가이스카,gaiseuka
toquero,토케로,tokero
aurtenetxe,아우르테네체,aureutenece
falque,팔케,palke
patxi,파치,paci
puñal,푸냘,punyal
veiga,베이가,beiga
abelardo,아벨라르도,abelrareudo
tabales,타발레스,tabalreseu
aranburu,아란부루,aranburu
aragonés,아라고네스,aragoneseu
etxebarria,에체바리아,ecebaria
roque,로케,roke
olsen,올센,olsen
arbeloa,아르벨로아,areubelroa
conchita,콘치타,koncita
supervía,스페르비아,seupereubia
garay,가라이,garai
urruticoechea,우루티코에체아,urutikoecea
rosario,로사리오,rosario
montoya,몬토야,montoya
arza,아르사,areusa
arocha,아로차,aroca
caballero,카바예로,kabayero
castaño,카스타뇨,kaseutanyo
ustaritz,우스타리츠,useutariceu
aldekoaotalora,알데코아오탈로라,aldekoaotalrora
alexanco,알렉상코,alregsangko
escolar,에스콜라르,eseukolrareu
mendoza,멘도사,mendosa
xabier,샤비에르,syabiereu
etxeita,에체이타,eceita
nsue,은수에,eunsue
lafita,라피타,rapita
azorín,아소린,asorin
chica,치카,cika
gavilán,가빌란,gabilran
tejero,테제로,tejero
celestino,셀레스티노,selreseutino
mutis,무티스,mutiseu
zubieta,수비에타,subieta
sor,소르,soreu
yon,욘,yon
edurne,에두르네,edureune
pasaban,파사반,pasaban
peiró,페이로,peiro
larroca,라로카,raroka
juncosa,훙코사,hungkosa
alexandre,알렉산드레,alregsandeure
juanma,후안마,huanma
lillo,리요,riyo
chikilicuatre,치킬리쿠아트레,cikilrikuateure
lotina,로티나,rotina
silke,실케,silke
rial,리알,rial
naranjo,나랑호,narangho
forlán,포를란,poreulran
salamanca,살라망카,salramangka
garitano,가리타노,garitano
perea,페레아,perea
juanín,후아닌,huanin
najwa,나와,nawa
nimri,님리,nimri
loles,롤레스,rolreseu
vavá,루시아노,rusiano
ii,산체스,sanceseu
ariadna,아리아드나,ariadeuna
iraizoz,이라이소스,iraisoseu
soledad,솔레다드,solredadeu
miranda,미란다,miranda
zoco,소코,soko
kiti,키티,kiti
mánver,만베르,manbereu
chus,추스,cuseu
lampreave,람프레아베,rampeureabe
pi,피,pi
margall,마르갈,mareugal
laforet,라포레,rapore
esther,에스테르,eseutereu
cañadas,카냐다스,kanyadaseu
pilar,필라르,pilrareu
brigitte,브리히테,beurihite
yagüe,야궤,yagwe
eloy,엘로이,elroi
olaya,올라야,olraya
angy,앙히,anghi
san,산,san
parages,파라헤스,paraheseu
miriam,미리암,miriam
torroja,토로하,toroha
pujalte,푸할테,puhalte
casares,카자레스,kajareseu
cañizares,카니사레스,kanisareseu
paloma,팔로마,palroma
miramontes,미라몬테스,miramonteseu
concha,콘차,konca
daisy,데이지,deiji
rosana,로사나,rosana
yolanthe,욜란테,yolrante
sneijdercabau,스네이더르카바우,seuneideoreukabau
dafne,다프네,dapeune
dolera,돌레라,dolrera
pere,페레,pere
solé,솔레,solre
sanchís,산치스,sanciseu
herrero,에레로,erero
igoa,이고아,igoa
resines,레시네스,resineseu
homar,호마르,homareu
carmelo,카르멜로,kareumelro
cedrún,세드룬,sedeurun
laia,라이아,raia
marull,마룰,marul
celso,셀소,selso
bugallo,부갈로,bugalro
infante,인판테,inpante
velencoso,벨렝코소,belrengkoso
coronado,코로나도,koronado
beñat,베냐트,benyateu
rafinha,하파에우,hapaeu
amr,암르,amreu
waked,와케드,wakedeu
zárraga,사라가,saraga
capillas,카필라,kapilra
borrachero,보라체로,boracero
bodo,보도,bodo
illgner,일그너,ilgeuneo
severiano,세베,sebe
ballesteros,바예스테로스,bayeseuteroseu
sardà,사르다,sareuda
basora,바소라,basora
leopoldo,레오폴도,reopoldo
calvosotelo,칼보소텔로,kalbosotelro
amenábar,아메나바르,amenabareu
calderé,칼데레,kaldere
nariño,나리뇨,narinyo
jeffrén,헤프렌,hepeuren
juande,후안데,huande
jennifer,헤니페르,henipereu
poncela,폰셀라,ponselra
echegui,에체기,ecegi
verbeke,베르베케,bereubeke
mompou,몸포우,mompou
torrent,토렌트,torenteu
carolina,카롤리나,karolrina
marín,마린,marin
gago,가고,gago
tapia,타피아,tapia
karra,카라,kara
elejalde,엘레할데,elrehalde
granero,그라네로,geuranero
giráldez,히랄데스,hiraldeseu
toño,안토니오,antonio
josu,호수,hosu
urrutia,우루티아,urutia
nerea,네레아,nerea
eladio,엘라디오,elradio
ontoria,온토리아,ontoria
llama,야마,yama
botto,보토,boto
clotet,클로테트,keulroteteu
rico,리코,riko
dueñas,두에냐스,duenyaseu
forqué,포르케,poreuke
óliver,올리베르,olribereu
valero,발레로,balrero
arly,알리,alri
jover,조버,jobeo
eve,이브,ibeu
gordon,고든,godeun
oona,우나,una
celades,셀라데스,selradeseu
guasch,과스크,gwaseukeu
nora,노라,nora
jenner,제너,jeneo
pondal,폰달,pondal
àngel,앙헬,anghel
voro,보로,boro
marsé,마르세,mareuse
severino,세베리노,seberino
reija,레이하,reiha
furiase,푸리아세,puriase
cadalso,카달소,kadalso
russell,러셀,reosel
leire,레이레,reire
bassols,바솔스,basolseu
berceo,베르세오,bereuseo
saura,사우라,saura
plisétskaya,플리세츠카야,peulriseceukaya
líster,리스테르,riseutereu
mendilibar,멘딜리바르,mendilribareu
abajo,아바호,abaho
mestre,메스트레,meseuteure
herzog,헤르소흐,hereusoheu
orlandi,오를란디,oreulrandi
pasieguito,파시에기토,pasiegito
casona,카소나,kasona
aitana,아이타나,aitana
sánchezgijón,산체스히혼,sanceseuhihon
fresnadillo,프레스나디요,peureseunadiyo
pardeza,파르데사,pareudesa
yarovenko,야로벤코,yarobenko
gordillo,고르디요,goreudiyo
gallego,가예고,gayego
chendo,첸도,cendo
haritz,하리츠,hariceu
garde,가르테,gareute
benegas,베네기스,benegiseu
saúl,사울,saul
ñíguez,니게스,nigeseu
sesúmaga,세수마가,sesumaga
fernán,페르난,pereunan
amparo,암파로,amparo
rivelles,리베예스,ribeyeseu
mariño,마리뇨,marinyo
vero,베로니카,beronika
boquete,보케테,bokete
manuela,마누엘라,manuelra
sastre,사스트레,saseuteure
fresnedoso,프레스네도소,peureseunedoso
darín,다린,darin
delfí,델피,delpi
geli,젤리,jelri
azpilicueta,아스필리쿠에타,aseupilrikueta
granados,그라나도스,geuranadoseu
albelda,알벨다,albelda
mendieta,멘디에타,mendieta
alós,알로스,alroseu
denis,데니스,deniseu
o'callaghan,오칼랴간,okalryagan
ladislao,쿠벌러,kubeolreo
kubala,라슬로,raseulro
unai,우나이,unai
emery,에메리,emeri
tirso,티르소,tireuso
lina,리나,rina
romay,로메이,romei
eduard,에두아르드,eduareudeu
lombán,롬반,romban
denia,데니아,denia
iván,이반,iban
helguera,엘게라,elgera
lasso,라소,raso
meade,미드,mideu
polvorosa,폴보로사,polborosa
grigori,그리고리,geurigori
sokolov,소콜로프,sokolropeu
rabanne,라반,raban
sert,세르트,sereuteu
marías,마리아스,mariaseu
yohana,요아나,yoana
isidro,이시드로,isideuro
lángara,랑가라,ranggara
botía,보티아,botia
nacho,나초,naco
streignard,스트레이그나드,seuteureigeunadeu
eto'o,에토,eto
valdano,발다노,baldano
ruy,루이,rui
beatriz,베아트리스,beateuriseu
luengo,루엥고,ruenggo
bisbal,비스발,biseubal
mabel,마벨,mabel
bigas,비가스,bigaseu
maxi,막시,magsi
urquiaga,우르키아가,ureukiaga
blas,블라스,beulraseu
nieves,니브즈,nibeujeu
baraja,바라하,baraha
torroba,토로바,toroba
alejo,알레조,alrejo
sauras,사우라스,sauraseu
marian,마리안,marian
ferenc,푸슈카시,pusyukasi
puskás,페렌츠,perenceu
mariscal,마리스칼,mariseukal
wagener,와헤네르,wahenereu
rivaldo,히바우두,hibaudu
santaló,산탈로,santalro
arrabal,아라발,arabal
antón,안톤,anton
lamazares,라마자레스,ramajareseu
castells,카스텔,kaseutel
adán,아단,adan
carreras,카레라스,kareraseu
joseba,호세바,hoseba
etxeberria,에체베리아,eceberia
robledo,로블레도,robeulredo
valeri,발레리,balreri
karpin,카르핀,kareupin
mulvoy,멀보이,meolboi
ten,텐,ten
túñez,투녜스,tunyeseu
gento,헨토,hento
losada,로사다,rosada
bartra,바르트라,bareuteura
valerón,발레론,balreron
bruguera,브루게라,beurugera
santamaría,산타마리아,santamaria
andréi,안드레이,andeurei
xepkin,셉킨,sebkin
garcilaso,가르실라소,gareusilraso
luque,루케,ruke
laporta,라포르타,raporeuta
olivier,올리비에,olribie
martinez,마르티네즈,mareutinejeu
thomas,토마스,tomaseu
christiansen,크리스티안센,keuriseutiansen
irureta,이루레타,irureta
moneo,모네오,moneo
philippe,필리피,pilripi
coutinho,코치뉴,kocinyu
coates,코아테스,koateseu
aranzubia,아란수비아,aransubia
alcácer,알카세르,alkasereu
unax,유나,yuna
ugalde,유가데,yugade
deusto,데우스토,deuseuto
abascal,아바스칼,abaseukal
pacheco,파체코,paceko
sandro,산드로,sandeuro
rosell,로셀,rosel
largo,라르고,rareugo
camarón,카마롱,kamarong
isla,이슬라,iseulra
miñambres,미냠브레스,minyambeureseu
marcelino,마르셀리노,mareuselrino
toral,토랄,toral
pastor,파스토르,paseutoreu
melitón,멜리톤,melriton
manzanas,만사나스,mansanaseu
kortabarria,코르타바리아,koreutabaria
zubillaga,수비야가,subiyaga
telmo,텔모,telmo
zarra,사라,sara
horno,오르노,oreuno
rudy,루디,rudi
serrat,세라,sera
negrín,네그린,negeurin
tamudo,타무도,tamudo
baños,바뇨스,banyoseu
borrell,보렐,borel
pochettino,포체티노,pocetino
carrero,카레로,karero
muniesa,무니에사,muniesa
arango,아랑고,aranggo
collar,코야르,koyareu
moncho,몬초,monco
larrañaga,라라냐가,raranyaga
raimundo,라이문도,raimundo
lezama,레사마,resama
tárrega,타레가,tarega
serge,세르주,sereuju
ibaka,이바카,ibaka
angulo,앙굴로,anggulro
leonardo,레오나르도,reonareudo
cilaurren,실라우렌,silrauren
eizaguirre,에이사기레,eisagire
niceto,니세토,niseto
alcalázamora,알칼라사모라,alkalrasamora
zúñiga,수니가,suniga
mérida,메리다,merida
viera,비에라,biera
genar,헤나르,henareu
andrinua,안드리누아,andeurinua
carballo,카르바요,kareubayo
galiardo,게리아도,geriado
asenjo,아셍호,asengho
amorebieta,아모레비에타,amorebieta
comamala,코마말라,komamalra
capel,카펠,kapel
feliciano,펠리시아노,pelrisiano
rivilla,리비야,ribiya
yū,시로타,sirota
shirota,유,yu
mary,메리,meri
riverola,리베롤라,riberolra
torralba,토랄바,toralba
zurutuza,수루투사,surutusa
mayo,마요,mayo
parra,파라,para
pichi,피치,pici
pierre,피에르,piereu
webó,웨보,webo
aguirresarobe,아기레사로베,agiresarobe
reñones,레뇨네스,renyoneseu
paqui,파키,paki
veza,베사,besa
gimeno,히메노,himeno
vives,비베스,bibeseu
urkiaga,우르키아가,ureukiaga
bienzobas,비엔소바스,biensobaseu
manjarín,망하린,mangharin
fede,페데,pede
saiz,사이스,saiseu
elduayen,엘두아옌,elduayen
corberó,코르베로,koreubero
bofill,보필,bopil
garbajosa,가르바호사,gareubahosa
lazcano,라스카노,raseukano
galán,갈란,galran
caycedo,카이세도,kaisedo
aroa,아로아,aroa
ufarte,우파르테,upareute
belsué,벨수에,belsue
campo,캄포,kampo
nenê,네네,nene
pernía,페르니아,pereunia
zabalo,사발로,sabalro
corredera,코레데라,koredera
vergés,베르헤스,bereuheseu
savall,사발,sabal
miera,미에라,miera
vadillo,바디요,badiyo
mirtha,미르타,mireuta
legrand,르그랑,reugeurang
abel,아벨,abel
resino,레시노,resino
córdoba,코르도바,koreudoba
hontiyuelo,온티유엘로,ontiyuelro
garzón,가르손,gareuson
iraola,이라올라,iraolra
turina,투리나,turina
quim,킴,kim
torra,투라,tura
mariola,마리올라,mariolra
pedroche,페드로체,pedeuroce
india,인디아,india
querejeta,퀘레헤타,kwereheta
grosso,그로소,geuroso
codina,코디나,kodina
cardeñosa,카르데뇨사,kareudenyosa
uría,우리아,uria
belbel,벨벨,belbel
dauder,도더,dodeo
léo,레오,reo
baptistão,밥티스탕,babtiseutang
garaizabal,가라이사발,garaisabal
mari,마리,mari
bakero,바케로,bakero
orbaiz,오르바이스,oreubaiseu
íngrid,잉그리드,inggeurideu
lapetra,라페트라,rapeteura
sáenz,사엔스,saenseu
urtubi,우르투비,ureutubi
kira,키라,kira
portugal,포르투갈,poreutugal
belauste,벨라우스테,belrauseute
bastón,바스톤,baseuton
zorrilla,소리야,soriya
esnaola,에스나올라,eseunaolra
naschy,나쉬,naswi
abraham,아브라함,abeuraham
mateo,마테오,mateo
marsal,마르살,mareusal
mel,멜,mel
campanal,캄파날,kampanal
isidoro,이시도로,isidoro
biosca,비오스카,bioseuka
antúnez,안투네스,antuneseu
valiño,발리뇨,balrinyo
glaría,글라리아,geulraria
lecue,레쿠에,rekue
campaña,캄파냐,kampanya
liaño,리아뇨,rianyo
tejera,테헤라,tehera
rabal,라발,rabal
cantalejo,칸탈레호,kantalreho
fidel,피델,pidel
uriarte,우리아르테,uriareute
santisteban,산티스테반,santiseuteban
almudena,알무데나,almudena
cugat,쿠가트,kugateu
gai,가이,gai
assulin,아술린,asulrin
luciano,루시아노,rusiano
vietto,비에토,bieto
fuente,푸엔테,puente
puchades,푸차데스,pucadeseu
penedo,페네도,penedo
lacalle,라카예,rakaye
aranzabal,아란사발,aransabal
cánovas,카노바스,kanobaseu
fermín,페르민,pereumin
cacho,카초,kaco
barjuan,바르후안,bareuhuan
monreal,몬레알,monreal
miki,미키,miki
roqué,로케,roke
samitier,사미티에르,samitiereu
setién,세티엔,setien
engonga,엥공가,enggongga
