lech,레흐,reheu
kaczorowska,카초로프스카,kacoropeuseuka
sąsiada,송시아다,songsiada
pecślesicka,페츠실레시츠카,peceusilresiceuka
gzyra,그지라,geujira
woźniakstarak,보지니아크스타라크,bojiniakeuseutarakeu
kazejak,카제야크다비트,kajeyakeudabiteu
kalczyńska,칼친스카,kalcinseuka
więdłocha,비엥드워하,biengdeuweoha
żukowski,주코프스키,jukopeuseuki
sztybor,슈티보르,syutiboreu
brzęczyszczykiewicz,브젱치슈치키에비치,beujengcisyucikiebici
powierza,포비에자,pobieja
nowosielski,노보시엘스키,nobosielseuki
rafalska,라팔스카,rapalseuka
zalewska,잘레프스카,jalrepeuseuka
romanowska,로마노프스카,romanopeuseuka
woźniak,보지니아크,bojiniakeu
wyszkowski,비슈코프스키,bisyukopeuseuki
wendzikowska,벤지코프스카,benjikopeuseuka
streżyńska,스트레진스카,seuteurejinseuka
szarek,샤레크,syarekeu
komarnickaklynstra,코마르니츠카,komareuniceuka
pawlikowska,파블리코프스카,pabeulrikopeuseuka
królikiewicz,크롤리키에비치,keurolrikiebici
świecka,시비에츠카,sibieceuka
królikowski,크룰리코프스키,keurulrikopeuseuki
kwiatkowska,크비아트코프스카,keubiateukopeuseuka
rowicka,로비츠카,robiceuka
wyrodek,비로데크,birodekeu
kuryło,쿠리워,kuriweo
bogusław,보구스와프,boguseuwapeu
baniak,바니아크,baniakeu
skibińska,스키빈스카,seukibinseuka
paradowski,파라도프스키,paradopeuseuki
rączkowski,롱치코프스키,rongcikopeuseuki
dziurman,지우르만,jiureuman
skarbekmalczewski,스카르베크말체프스키,seukareubekeumalcepeuseuki
ferdynand,페르디난트,pereudinanteu
wielowieyska,비엘로비에이스카,bielrobieiseuka
arciszewskamielewczyk,아르치셰프스카미엘레프치크,areucisyepeuseukamielrepeucikeu
witańska,비탄스카,bitanseuka
szyszko,시슈코,sisyuko
krzyżowski,크시조프스키,keusijopeuseuki
brudny,브루드니,beurudeuni
paradowicz,파라도비치,paradobici
andrzejak,안제야크,anjeyakeu
chrostowski,흐로스토프스키,heuroseutopeuseuki
sutkowski,수트코프스키,suteukopeuseuki
żeromski,제롬스키,jeromseuki
szczepan,슈체판,syucepan
twardoch,트바르도흐,teubareudoheu
fabijański,파비얀스키,pabiyanseuki
wargocka,바르고츠카,bareugoceuka
ciachorowski,치아호로프스키,ciahoropeuseuki
grodzki,그로츠키,geuroceuki
cugowski,추고프스키,cugopeuseuki
mandes,만데스,mandeseu
władyka,브와디카,beuwadika
organek,오르가네크,oreuganekeu
schuchardt,슈하르트,syuhareuteu
mecwaldowski,메츠발도프스키,meceubaldopeuseuki
chomicki,호미츠키,homiceuki
wołek,보웨크,bowekeu
tymon,티몬,timon
tymański,티만스키,timanseuki
waglewski,바글레프스키,bageulrepeuseuki
stawowy,스타보비,seutabobi
wencel,벤첼,bencel
szcześniak,헤밍웨이,hemingwei
szczepkowski,슈쳅코프스키,syucebkopeuseuki
łabonarska,와보나르스카,wabonareuseuka
kowalski,코발스키,kobalseuki
chlondowski,흘론도프스키,heulrondopeuseuki
karpowicz,카르포비치,kareupobici
wojnarowski,보이나로프스키,boinaropeuseuki
pakleza,파클레자,pakeulreja
koprowska,코프로프스카,kopeuropeuseuka
mańkowski,만코프스키,mankopeuseuki
starowicz,스타로비치,seutarobici
wodecki,보데츠키,bodeceuki
warzecha,바제하,bajeha
wittmichałowski,비트미하워프스키,biteumihaweopeuseuki
banaszkiewicz,바나슈키에비치,banasyukiebici
jeremi,예레미,yeremi
przybora,프시보라,peusibora
jodko,요트코,yoteuko
krzaklewski,크샤클레프스키,keusyakeulrepeuseuki
wiktorowicz,빅토로비치,bigtorobici
gadulanka,가둘란카,gadulranka
łakomska,와콤스카,wakomseuka
koszałka,코샤우카,kosyauka
łukaszewski,우카셰프스키,ukasyepeuseuki
wolfke,볼프케,bolpeuke
wesołowski,베소워프스키,besoweopeuseuki
aleksandrowiczkrasko,크라스코,keuraseuko
żulczyk,줄치크,julcikeu
tombiński,톰빈스키,tombinseuki
grabiec,그라비에츠,geurabieceu
blumenfeld,블루멘펠트,beulrumenpelteu
ardanowski,아르다노프스키,areudanopeuseuki
józefowicz,유제포비치,yujepobici
jolanta,욜란타,yolranta
fraszyńska,프라신스카,peurasinseuka
jastrzębowski,야스트솅보프스키,yaseuteusyengbopeuseuki
łodyński,워딘스키,weodinseuki
szczerbic,슈체르비츠,syucereubiceu
jędrzej,옌제이,yenjei
krakowski,크라코프스키,keurakopeuseuki
dziedzina,지에지나,jiejina
kuszewski,쿠셰프스키,kusyepeuseuki
kawalec,카발레츠,kabalreceu
rosnowska,로스노프스카,roseunopeuseuka
piechociński,피에호친스키,piehocinseuki
pospieszalski,포스피에샬스키,poseupiesyalseuki
boruta,보루타,boruta
pochanke,포한케,pohanke
świtkowski,시비트코프스키,sibiteukopeuseuki
sawka,사프카,sapeuka
mikołajewski,미코와예프스키,mikowayepeuseuki
gniewkowska,그니에프코프스카,geuniepeukopeuseuka
maciąg,마치옹크,maciongkeu
kalczyński,칼친스키,kalcinseuki
konecki,코네츠키,koneceuki
olesiak,올레시아크,olresiakeu
ożóg,오주크,ojukeu
dudagwiazda,두다그비아즈다,dudageubiajeuda
fabicka,파비츠카,pabiceuka
koroniewska,코로니에프스카,koroniepeuseuka
osyda,오시다,osida
halejcio,할레이치오,halreicio
orleańska,오를레안스카,oreulreanseuka
zimnoch,짐노흐,jimnoheu
szczerski,슈체르스키,syucereuseuki
klaudiusz,클라우디우시,keulraudiusi
schmidt,미후카,mihuka
sikała,시카와,sikawa
zakościelny,자코시치엘니,jakosicielni
kalita,칼리타,kalrita
wieczorek,비에초레크,biecorekeu
mołek,모웨크,mowekeu
marieta,마리에타,marieta
żukowska,주코프스카,jukopeuseuka
orłowski,오르워프스키,oreuweopeuseuki
grąziowska,그롱지오프스카,geurongjiopeuseuka
kłoczko,클로츠코,keulroceuko
piekarczyk,피에카르치크,piekareucikeu
marina,마리나,marina
łuczenkoszczęsna,우첸코,ucenko
pawłowicz,파브워비치,pabeuweobici
masny,마스니,maseuni
waligórska,발리구르스카,balrigureuseuka
szczerkowska,슈체르코프스카,syucereukopeuseuka
szczerbowska,슈체르보프스카,syucereubopeuseuka
frykowska,프리코프스카,peurikopeuseuka
skwarnicki,스크바르니츠키,seukeubareuniceuki
bitner,비트네르,biteunereu
czubaszek,추바셰크,cubasyekeu
chyrzyński,히진스키,hijinseuki
gradowski,그라도프스키,geuradopeuseuki
ścisłowicz,시치스워비치,siciseuweobici
hycnar,히츠나르,hiceunareu
koterbska,코테르프스카,kotereupeuseuka
jaroszyński,야로신스키,yarosinseuki
kierwiński,키에르빈스키,kiereubinseuki
wasiak,바시아크,basiakeu
świder,시비데르,sibidereu
gracz,그라치,geuraci
kwaśny,크바시니,keubasini
mastalerek,마스탈레레크,maseutalrerekeu
najman,나이만,naiman
lurczyński,루르친스키,rureucinseuki
karpiński,카르핀스키,kareupinseuki
struk,스트루크,seuteurukeu
szejnert,셰이네르트,syeinereuteu
rozenekmajdan,로제네크,rojenekeu
pieńkowska,피엔코프스카,pienkopeuseuka
smoleński,스몰렌스키,seumolrenseuki
wakarecy,바카레치,bakareci
dworczyk,드보르치크,deuboreucikeu
czernecki,체르네츠키,cereuneceuki
januszewski,야누셰프스키,yanusyepeuseuki
kruk,크룩,keurug
hołdys,호우디스,houdiseu
sołubianka,소우비안카,soubianka
rolnicki,롤니츠키,rolniceuki
dryl,드릴,deuril
szlachetka,슐라헤트카,syulraheteuka
bratkowska,브라트코프스카,beurateukopeuseuka
rożek,로제크,rojekeu
czyżewski,치제프스키,cijepeuseuki
teclaf,테츨라프,teceulrapeu
mochnaczewski,모흐나체프스키,moheunacepeuseuki
kapliński,카플린스키,kapeulrinseuki
najsztub,나이슈투프,naisyutupeu
sarzyńska,사진스카,sajinseuka
patryk,파트리크,pateurikeu
jaki,야키,yaki
lydia,리디아,ridia
benecke,베네케,beneke
swend,스벤트,seubenteu
milwiwbaron,밀비프바론,milbipeubaron
siejka,시에이카,sieika
żyżelewicz,지젤레비치,jijelrebici
miłka,미우카,miuka
malzahn,말잔,maljan
kamczyk,캄치크,kamcikeu
mikołaj,미코와이,mikowai
roznerski,로즈네르스키,rojeunereuseuki
janoszek,야노셰크,yanosyekeu
szomańska,쇼만스카,syomanseuka
zawierucha,자와이어처,jawaieoceo
helena,헬레나,helrena
duniczniwińska,두니치니빈스카,dunicinibinseuka
stippa,스티파,seutipa
zwierzyńska,즈비에진스카,jeubiejinseuka
grzywińska,그지빈스카,geujibinseuka
malczewski,말체프스키,malcepeuseuki
bernatowicz,베르나토비치,bereunatobici
ciura,치우라,ciura
szewiński,셰빈스키,syebinseuki
kalicka,칼리츠카,kalriceuka
sykutjeżyna,시쿠트예지나,sikuteuyejina
jagiełło,야기에워,yagieweo
poljański,폴랸스키,polryanseuki
szomański,쇼만스키,syomanseuki
pawłowska,파블로프스카,pabeulropeuseuka
domagała,도마가와,domagawa
bonda,본다,bonda
zaremska,자렘스카,jaremseuka
tanajno,타나이노,tanaino
smołowik,스모워비크,seumoweobikeu
snopek,스노페크,seunopekeu
gierekciaciura,기에레크치아치우라,gierekeuciaciura
popiel,포피엘,popiel
kolarski,콜라르스키,kolrareuseuki
kubicka,쿠비카,kubika
hescheles,헤스헬레스,heseuhelreseu
stramowski,스트라모프스키,seuteuramopeuseuki
czarnek,차르네크,careunekeu
smoleńskakwiatkowska,스몰렌스카크비아트코프스카,seumolrenseukakeubiateukopeuseuka
augustynowska,아우구스티노프스카,auguseutinopeuseuka
gasiukpihowicz,가시우크피호비치,gasiukeupihobici
piaskowska,피아스코프스카,piaseukopeuseuka
hennigkloska,헨니크클로스카,hennikeukeulroseuka
lieder,리에데르,riedereu
łapiński,와핀스키,wapinseuki
golbik,골비크,golbikeu
szymanowskalenartowicz,시마노프스카레나르토비치,simanopeuseukarenareutobici
stankiewicz,스탄키에비치,seutankiebici
kwiecień,크비에치엔,keubiecien
pudłowski,푸드워프스키,pudeuweopeuseuki
marchewka,마르헤프카,mareuhepeuka
ogarekczoj,오가레크초이,ogarekeucoi
suchoń,수혼,suhon
misiło,미시워,misiweo
scheuringwielgus,쇼이링비엘구스,syoiringbielguseu
szłapka,슈왑카,syuwabka
szramka,슈람카,syuramka
ścigaj,시치가이,sicigai
rzepecki,제페츠키,jepeceuki
rzymkowski,짐코프스키,jimkopeuseuki
sachajko,사하이코,sahaiko
stonoga,스토노가,seutonoga
kornelia,코르넬리아,koreunelria
zembaczyński,젬바친스키,jembacinseuki
woźniacka,보즈니아키,bojeuniaki
długi,드우기,deuugi
całka,차우카,cauka
remigiusz,레미기우시,remigiusi
obajtek,오바이테크,obaitekeu
oświeciński,오시비에친스키,osibiecinseuki
ostaszewski,오스타셰프스키,oseutasyepeuseuki
gradkowski,그라트코프스키,geurateukopeuseuki
zborowska,즈보로프스카,jeuboropeuseuka
dzieduszycki,지에두시스키,jiedusiseuki
ciupa,치우파,ciupa
andryszak,안드리샤크,andeurisyakeu
surma,수르마,sureuma
kijowski,키조프스키,kijopeuseuki
emilewicz,에밀레비치,emilrebici
śmiszek,시미셰크,simisyekeu
szpetmański,슈페트만스키,syupeteumanseuki
ciapała,치아파와,ciapawa
krompiec,크롬피에츠,keurompieceu
celt,첼트,celteu
chwalińska,흐발린스카,heubalrinseuka
styszyński,스티신스키,seutisinseuki
buko,부코,buko
kopeć,코페치,kopeci
dominik,도미니크,dominikeu
rozkrut,로스크루트,roseukeuruteu
terpińska,테르핀스카,tereupinseuka
lemieszewski,레미에쉐브스키,remieswebeuseuki
zawiałow,자비아워프,jabiaweopeu
czerwijowska,체르비요프스카,cereubiyopeuseuka
opozda,오포즈다,opojeuda
kryszczyńska,크리슈친스카,keurisyucinseuka
orliński,오를린스키,oreulrinseuki
ciebień,체벤,ceben
domańska,도만스카,domanseuka
milena,밀레나,milrena
suszyńska,수신스카,susinseuka
szymańska,시만스카,simanseuka
cichocki,치호츠키,cihoceuki
jankowska,얀코프스카,yankopeuseuka
czarnecki,차르네츠키,careuneceuki
terpiłowska,테르피워프스카,tereupiweopeuseuka
stormowska,스토르모프스카,seutoreumopeuseuka
adamska,아담스카,adamseuka
czerczuk,체르추크,cereucukeu
gałuszewska,가우셰프스카,gausyepeuseuka
adrianna,아드리안나,adeurianna
kalska,칼스카,kalseuka
łukaszewska,우카셰프스카,ukasyepeuseuka
grudzińska,그루진스카,geurujinseuka
krefft,크레프트,keurepeuteu
kołodziejski,코워지에이스키,koweojieiseuki
inglot,인글로트,ingeulroteu
manowska,마노프스카,manopeuseuka
krzan,크샨,keusyan
knoch,부이치크,buicikeu
rdest,르데스트,reudeseuteu
lukasz,우카시,ukasi
kuczynski,쿠친스키,kucinseuki
dulkiewicz,둘키에비치,dulkiebici
konieczek,코니에체크,koniecekeu
flagagieruszyńska,플라가기에루신스카,peulragagierusinseuka
sosna,소스나,soseuna
diane,디아네,diane
sellier,셀리에,selrie
kaleta,칼레타,kalreta
lipińska,리핀스카,ripinseuka
zambrzycka,잠브지츠카,jambeujiceuka
mateo,마테오,mateo
klimowicz,클리모비치,keulrimobici
lutosławska,루토스와프스카,rutoseuwapeuseuka
kawulski,카불스키,kabulseuki
teoniki,테오니키,teoniki
rożynek,로지네크,rojinekeu
tatiana,타티아나,tatiana
elsner,엘스네르,elseunereu
meronk,메론크,meronkeu
dylewski,딜레프스키,dilrepeuseuki
białowąs,비아워봉스,biaweobongseu
skrzydlewski,스크시들레프스키,seukeusideulrepeuseuki
wędzikowska,벵지코프스카,bengjikopeuseuka
adriana,아드리아나,adeuriana
achcińska,아흐친스카,aheucinseuka
bielawska,비에라프스카,bierapeuseuka
musiałowski,무시아워프스키,musiaweopeuseuki
kowal,코발,kobal
czuba,추바,cuba
frejlak,프레이라크,peureirakeu
łasowski,라소스키,rasoseuki
sierzputowski,시에슈푸토프스키,siesyuputopeuseuki
margot,마르고트,mareugoteu
brunon,브루논,beurunon
bryliński,브릴린스키,beurilrinseuki
górska,구르스카,gureuseuka
pietras,피에트라스,pieteuraseu
witusikperkowska,위투식페르코프스카,witusigpereukopeuseuka
oliwia,올리비아,olribia
bieniuk,비에니우크,bieniukeu
ochman,오크만,okeuman
niewiński,니에빈스키,niebinseuki
fuliński,풀린스키,pulrinseuki
jann,잔,jan
owińska,오빈스카,obinseuka
kluczbork,클루치보르크,keulruciboreukeu
swarzędz,스바젱츠,seubajengceu
pobiedziska,포비에지스카,pobiejiseuka
szamotuły,샤모투위,syamotuwi
puszczykowo,푸슈치코보,pusyucikobo
luboń,루본,rubon
września,브제시니아,beujesinia
szczebrzeszyn,슈체브제신,syucebeujesin
koło,코워,koweo
polskorosyjskie,관계,gwangye
świebodzin,시비에보진,sibiebojin
świecie,스비에치에,seubiecie
pyrzyce,피지체,pijice
garwolin,가르볼린,gareubolrin
żarów,자루프,jarupeu
grójec,그루예츠,geuruyeceu
żórawina,주라비나,jurabina
koleje,돌니실롱스크의,dolnisilrongseukeuyi
dolnośląskie,철도,ceoldo
sulechów,술레후프,sulrehupeu
pińczów,핀추프,pincupeu
hajnówka,하이누프카,hainupeuka
polskowęgierskie,관계,gwangye
fabryka,오스카,oseuka
emalia,쉰들러의,swindeulreoyi
oskara,에나멜,enamel
schindlera,공장,gongjang
długopolezdrój,드우고폴레즈드루이,deuugopolrejeudeurui
kaszuby,카슈비아,kasyubia
krasnystaw,크라스니스타프,keuraseuniseutapeu
nidzica,니지차,nijica
pabianice,파비아니체,pabianice
puławy,푸와비,puwabi
poddębice,포뎅비체,podengbice
żnin,주닌,junin
ryn,린,rin
wypadek,슈체코치니,syucekocini
kolejowy,열차,yeolca
nowe,노베,nobe
aleksandrów,알렉산드루프,alregsandeurupeu
kujawski,쿠야프스키,kuyapeuseuki
myślenice,미실레니체,misilrenice
zdany,즈다느,jeudaneu
iłowa,이워바,iweoba
stęszew,스텡셰프,seutengsyepeu
arkady,쿠비치키,kubiciki
kubickiego,아케이드,akeideu
gryfice,그리피체,geuripice
ćmielów,치미엘루프,cimielrupeu
kartuzy,카르투지,kareutuji
zduńska,즈둔스카,jeudunseuka
wola,볼라,bolra
skarżyskokamienna,스카르지스코카미엔나,seukareujiseukokamienna
burmistrz,수령,suryeong
wągrowiec,봉그로비에츠,bonggeurobieceu
siedliszcze,시에들리슈체,siedeulrisyuce
energa,에네르가,enereuga
klecina,클레치나,keulrecina
jordanów,요르다누프,yoreudanupeu
zelów,젤루프,jelrupeu
łuski,어린,eorin
połczynzdrój,포우친즈드루이,poucinjeudeurui
wschowa,프스호바,peuseuhoba
szczuczyn,슈추친,syucucin
mońki,몬키,monki
śląskie,철도,ceoldo
mszana,므샤나,meusyana
dolna,돌나,dolna
legionowo,레기오노보,regionobo
oława,오와바,owaba
szydłowiec,시드워비에츠,sideuweobieceu
granica,러시아폴란드,reosiapolrandeu
polskorosyjska,국경,guggyeong
granice,폴란드의,polrandeuyi
piaseczno,피아세치노,piasecino
otwock,오트보츠크,oteuboceukeu
krotoszyn,크로토신,keurotosin
mikołajki,미콜라이키,mikolraiki
kościerzyna,코시치에지나,kosiciejina
rytro,르트로,reuteuro
węgorzewo,벵고제보,benggojebo
premierzy,폴란드의,polrandeuyi
lidzbark,리즈바르크,rijeubareukeu
warmiński,바르민스키,bareuminseuki
starachowice,스타라호비체,seutarahobice
bardo,바르도,bareudo
komorniki,코모르니키,komoreuniki
przysucha,프시수하,peusisuha
newag,네바그,nebageu
wojcieszów,보이치에슈프,boiciesyupeu
drezdenko,드레즈덴코,deurejeudenko
kcynia,크치니아,keucinia
pruszcz,프루스크,peuruseukeu
gdański,그단스키,geudanseuki
grybów,그르부프,geureubupeu
kozienice,코지에니체,kojienice
chełmża,헤움자,heumja
gołdap,고우다프,goudapeu
białobrzegi,비알로브제기,bialrobeujegi
olecko,올레츠코,olreceuko
kąty,콩트,kongteu
biedronka,비에드론카,biedeuronka
bieżuń,비에준,biejun
szczytno,슈치트노,syuciteuno
gniewino,그니에비노,geuniebino
gietrzwałd,기에트슈바우트,gieteusyubauteu
boboszów,보보슈프,bobosyupeu
tymbark,틈바르크,teumbareukeu
międzylesie,미엥즐레시에,miengjeulresie
miss,미스,miseu
grunwald,그룬발트,geurunbalteu
olsztynek,올슈티네크,olsyutinekeu
zwierzyniec,즈비에지니에츠,jeubiejinieceu
krzyżtopór,크리지즈토푸르,keurijijeutopureu
suchedniów,수헤드니우프,suhedeuniupeu
kolegium,유럽,yureob
europejskie,대학교,daehaggyo
modlin,공항,gonghang
zagłębia,자그웽비아,jageuwengbia
łososina,워소시나,weososina
polskosłowacka,국경,guggyeong
polskoczeska,국경,guggyeong
orkiestra,바르샤바,bareusyaba
symfoniczna,국립,gugrib
filharmonii,필하모니,pilhamoni
narodowej,관현악단,gwanhyeonagdan
szczeciński,대학교,daehaggyo
lubelskie,루벨스키에,rubelseukie
kultura,폴란드의,polrandeuyi
prężynka,프렝진카,peurengjinka
domaszków,도마슈쿠프,domasyukupeu
medyka,메디카,medika
nałęczów,나웽추프,nawengcupeu
niepruszewo,니에프루셰보,niepeurusyebo
konina,코니나,konina
polskolitewska,국경,guggyeong
białowieża,비아워비에자,biaweobieja
listy,음악,eumag
przebojów,차트,cateu
lanckorona,란츠코로나,ranceukorona
tyniec,트니에츠,teunieceu
mały,마우으,maueu
przeźmierowo,프셰지미에로보,peusyejimierobo
lusowo,루소보,rusobo
polskobiałoruska,국경,guggyeong
pełkinie,페우키니에,peukinie
polskoukraińska,국경,guggyeong
żabka,자브카,jabeuka
wylatowo,블라토보,beulratobo
antoniówka,안토니우프카,antoniupeuka
kozłówka,코주프카,kojupeuka
baranowo,바라노보,baranobo
brodnia,브로드니아,beurodeunia
górna,구르나,gureuna
chojnata,호이나타,hoinata
chochołów,호호우프,hohoupeu
sułoszowa,수워쇼바,suweosyoba
emilcin,에밀친,emilcin
domasław,도마스와프,domaseuwapeu
grudza,그루자,geuruja
ogrodniczki,오그로드니치키,ogeurodeuniciki
bobrówka,보브루프카,bobeurupeuka
koninki,코닌키,koninki
kośmin,코시민,kosimin
małuszów,마우슈프,mausyupeu
potrzanowo,포트샤노보,poteusyanobo
teyon,테이온,teion
wikidot,위키닷,wikidas
sędziejowice,셍지에요비체,sengjieyobice
więckowice,비엥츠코비체,biengceukobice
turbacz,투르바츠,tureubaceu
wysocko,비소츠코,bisoceuko
żernica,제르니차,jereunica
zborowo,즈보로보,jeuborobo
świebodów,시비에보두프,sibiebodupeu
fundacja,노틸러스,notilreoseu
nautilus,재단,jaedan
strzeżenice,스트셰제니체,seuteusyejenice
wartogłowiec,바르토그워비에츠,bareutogeuweobieceu
ambasada,주,ju
hiszpanii,폴란드,polrandeu
polsce,대사관,daesagwan
lewiatan,레비아탄,rebiatan
partynice,파르트니체,pareuteunice
porębianka,포렝비안카,porengbianka
instytut,국제,gugje
spraw,관계,gwangye
międzynarodowych,연구원,yeonguweon
towarzystwo,화학,hwahag
chemiczne,협회,hyeobhoe
polskoszwedzka,국경,guggyeong
polskoduńska,국경,guggyeong
polskoniemiecka,국경,guggyeong
małopolskie,철도,ceoldo
grupa,군비,gunbi
zbrojeniowa,그룹,geurub
obrony,수호,suho
demokracji,위원회,wiweonhoe
teren,노비송치,nobisongci
skansenu,민속촌,minsogcon
huragan,폭풍,pogpung
alex,알렉스,alregseu
zabytki,소스노비에츠의,soseunobieceuyi
sosnowcu,기념물,ginyeommul
eunice,유니스,yuniseu
warsaw,바르샤바,bareusyaba
bielskobiala,비엘스코비아와,bielseukobiawa
europe,유럽,yureob
miejski,미에이스키,mieiseuki
usedom,우제돔,ujedom
island,섬,seom